dish_id,name,primary_cuisine,E_composite,E_carbon,E_water,E_energy,E_land,log_E,cook_method,n_ingredients,total_grams,source,H_mean,H_bert
ackee_saltfish,ackee_saltfish,Caribbean,0.1433060611967514,1.1,273.725,0.5,,-1.9427726477867475,saute,,,expanded,7.7129,7.34
adobo,adobo,Filipino,0.3579650820887343,2.0755,992.99,1.2,,-1.0273198334033762,braise,,,expanded,3.6628,7.1536
aji_de_gallina,aji_de_gallina,South American,0.18046022546159265,1.872,1053.4300000000003,0.4,,-1.7122448830449977,simmer,,,expanded,7.0785,7.5229
al_pastor,al_pastor,Mexican,0.23831998669462062,1.831,1288.7500000000002,0.6,,-1.4341410264070018,grill,,,expanded,7.9826,7.3924
aloo_gobi,aloo_gobi,Indian,0.1268355027746573,0.4946,164.88,0.5,,-2.0648642858325768,stir_fry,,,expanded,8.5603,7.3359
anticucho,anticucho,South American,0.5207022495314985,12.3135,3126.545,0.6,,-0.6525768986161659,grill,,,expanded,6.1642,7.3393
arancini,arancini,Italian,0.29717381527661235,1.976,747.29,1.0,,-1.213438074742013,deep_fry,,,expanded,5.9359,7.4578
arepa,arepa,South American,0.14847759020030057,1.1205,354.4699999999999,0.5,,-1.9073212398691854,pan_fry,,,expanded,8.5603,7.6274
arroz_con_pollo,arroz_con_pollo,Caribbean,0.20936913829981707,2.3725,1398.8249999999998,0.4,,-1.5636563729746846,simmer,,,expanded,7.2606,7.2726
asado,asado,South American,0.6131617625093438,15.2865,3854.4,0.6,,-0.4891264912194729,grill,,,expanded,4.9488,7.5207
baba_ganoush,baba_ganoush,Mediterranean,0.21590861851458268,0.6891,485.7,0.8,,-1.5329000232466188,unknown,,,original,7.3074,7.495
bacalhau,bacalhau,Portuguese,0.24784665761120794,1.7759999999999998,720.66,0.8,,-1.3949450401372172,bake,,,expanded,6.7438,7.5148
bak_kut_teh,bak_kut_teh,Indonesian,0.18971535821689642,1.6685,1263.8900000000003,0.4,,-1.6622304447653378,simmer,,,expanded,4.3571,6.8786
baklava,baklava,Mediterranean,0.2550861893169441,1.2435,987.8,0.8,,-1.366153793610588,unknown,,,original,7.628,7.48
banh_mi,banh_mi,Vietnamese,0.23696583017463793,1.1665,706.3,0.8,,-1.4398393247197543,unknown,,,original,6.8396,7.249
banh_xeo,banh_xeo,Vietnamese,0.17705595039148503,1.5539000000000005,712.77,0.5,,-1.7312894924519266,pan_fry,,,expanded,5.2167,7.1571
beef_bourguignon,beef_bourguignon,French,0.6822684736151706,13.068,3390.9,1.2,,-0.38233204227376894,unknown,,,original,8.9939,7.344
beef_tartare,beef_tartare,French,0.36033716525573317,11.0205,3030.125,0.0,,-1.020715115685345,raw,,,expanded,4.3571,7.6015
bibimbap,bibimbap,Korean,0.335943062592374,6.316,2058.8,0.5,,-1.090813589948635,unknown,,,original,5.4794,7.176
biltong,biltong,African,0.38179899515448906,12.0195,3114.25,0.0,,-0.9628609995575229,raw,,,expanded,4.3571,7.9368
birria,birria,Mexican,0.6667441677598086,12.760500000000002,3216.055,1.2,,-0.4053488632251497,braise,,,expanded,7.5688,7.432
biryani,biryani,Indian,0.29523284405946065,2.5269,1305.9,0.8,,-1.2199909320807683,unknown,,,original,7.8317,6.789
blini,blini,Russian,0.1491767863819047,0.918,421.755,0.5,,-1.9026231905700781,pan_fry,,,expanded,4.6633,7.5421
boat_noodles,boat_noodles,Thai,0.24265229487166592,4.533500000000001,1361.3000000000002,0.4,,-1.4161257456373446,simmer,,,expanded,4.0257,7.3491
borek,borek,Turkish,0.25138267214797766,2.171,671.2499999999999,0.8,,-1.3807789106271617,bake,,,expanded,4.6633,7.3382
borscht,borscht,Eastern European,0.19924745645857955,3.591,895.17,0.4,,-1.6132077269713132,simmer,,,expanded,7.8508,7.5279
bossam,bossam,Korean,0.21060523977142154,2.013,1518.1900000000005,0.4,,-1.557769799385589,boil,,,expanded,4.9488,7.4729
bouillabaisse,bouillabaisse,French,0.15916676395877158,1.85,703.83,0.4,,-1.8378027964703507,simmer,,,expanded,3.6628,7.2039
bratwurst,bratwurst,German,0.20810980810006532,1.497,875.9,0.6,,-1.569689415025429,grill,,,expanded,3.2587,7.1491
brisket,brisket,American,0.8223652237347223,15.7454,3882.1,1.5,,-0.19557067149011098,unknown,,,original,8.5209,7.046
brownie,brownie,Other,0.31718470352845435,2.5955,1653.7,0.8,,-1.1482710138128114,unknown,,,original,3.8751,7.362
bruschetta,bruschetta,Italian,0.20996814713571213,0.7575,367.7,0.8,,-1.5607994400754222,unknown,,,original,5.9191,7.304
budae_jjigae,budae_jjigae,Korean,0.13914570794440287,1.144,563.31,0.4,,-1.9722336362980009,simmer,,,expanded,8.2292,7.2623
buffalo_wings,buffalo_wings,American,0.34546921389124496,2.6625,1365.4,1.0,,-1.0628517457033542,unknown,,,original,3.4398,6.761
bulgogi,bulgogi,Korean,0.5316697909025175,12.4425,3274.3,0.6,,-0.6317326761428916,unknown,,,original,8.7381,7.375
bun_bo_hue,bun_bo_hue,Vietnamese,0.3427726965721249,7.3015,2273.4,0.4,,-1.0706877437032856,unknown,,,original,7.0751,6.883
bun_cha,bun_cha,Vietnamese,0.23265619640777824,1.947,1162.3,0.6,,-1.4581934670131558,unknown,,,original,5.5335,7.232
bun_rieu,bun_rieu,Vietnamese,0.14987058140387463,1.608,615.02,0.4,,-1.89798314794479,simmer,,,expanded,4.6633,7.2622
burrito,burrito,Mexican,0.24008824312553304,2.2195,1211.6,0.6,,-1.4267487435280377,unknown,,,original,2.4568,6.827
butter_chicken,butter_chicken,Indian,0.20550563209109587,2.5309,1290.8,0.4,,-1.5822818386520834,unknown,,,original,9.4037,7.297
ca_phe_sua_da,ca_phe_sua_da,Vietnamese,0.026290416732008704,0.513,336.3,0.0,,-3.638550789015324,unknown,,,original,9.6366,7.43
caesar_salad,caesar_salad,Other,0.03833276536267085,0.752,471.8,0.0,,-3.2614502560227416,unknown,,,original,2.7919,6.747
caldo_verde,caldo_verde,Portuguese,0.127699943887134,0.6995,494.2049999999999,0.4,,-2.0580719553553766,boil,,,expanded,4.9488,7.2615
callaloo,callaloo,Caribbean,0.11625724697716756,0.7745,282.495,0.4,,-2.1519498968691644,simmer,,,expanded,7.9826,7.4256
cannoli,cannoli,Italian,0.2830924277807995,1.525,635.95,1.0,,-1.2619818347288938,deep_fry,,,expanded,4.6633,7.345
caprese,caprese,Italian,0.08339747430044164,2.474,751.6,0.0,,-2.484137254243377,unknown,,,original,4.8561,7.136
carnitas,carnitas,Mexican,0.39716936596685687,2.4255,1551.665,1.2,,-0.9233924747429627,braise,,,expanded,7.4181,7.2454
causa,causa,South American,0.03418292049636367,0.6519999999999999,429.95,0.0,,-3.376029160346756,cold,,,expanded,5.2167,7.3292
ceviche,ceviche,Mexican,0.028969937044062515,0.9145,270.8,0.0,,-3.5414966403457138,unknown,,,original,9.6743,7.301
chana_masala,chana_masala,Indian,0.15546306841577803,0.5939,986.9,0.4,,-1.8613470777202876,unknown,,,original,6.8396,7.131
char_kway_teow,char_kway_teow,Indonesian,0.20493806501460765,2.2105,998.15,0.5,,-1.5850474673717012,stir_fry,,,expanded,7.0959,7.1974
char_siu,char_siu,Chinese,0.28625842423984005,1.941,1316.9,0.8,,-1.2508602948879017,unknown,,,original,5.4794,7.017
char_siu_bao,char_siu_bao,Chinese,0.11280350054988193,0.7765000000000001,595.415,0.3,,-2.1821079071560656,steam,,,expanded,8.5603,7.0666
cheesecake,cheesecake,Other,0.3576427570322907,5.2365,1604.2,0.8,,-1.0282206761851913,unknown,,,original,6.6002,7.268
chicken_salad,chicken_salad,Other,0.04994854003820889,0.9585,609.1,0.0,,-2.996762002779021,unknown,,,original,1.3336,6.953
chicken_sandwich,chicken_sandwich,American,0.20604517200091507,1.5495,827.0,0.6,,-1.5796598526734025,unknown,,,original,2.0123,6.743
chilaquiles,chilaquiles,Mexican,0.15970113624899063,1.3735,472.44999999999993,0.5,,-1.8344511088898585,pan_fry,,,expanded,3.6628,7.3308
chile_relleno,chile_relleno,Mexican,0.2955387709907742,2.3685,612.2,1.0,,-1.2189552460360573,unknown,,,original,7.5825,6.786
chili,chili,American,0.41058275841272857,9.469,2810.755,0.4,,-0.890177766480302,simmer,,,expanded,2.798,7.0759
chimichurri,chimichurri,South American,0.041044201808634315,0.2895,644.09,0.0,,-3.1931057001091068,raw,,,expanded,2.798,7.4868
chole_bhature,chole_bhature,Indian,0.2813141104345839,0.886,781.7199999999999,1.0,,-1.2682834032278996,deep_fry,,,expanded,8.3445,7.2896
chow_fun,chow_fun,Chinese,0.30782897874875054,5.834,1721.6,0.5,,-1.1782109140273556,unknown,,,original,5.4249,7.171
chow_mein,chow_mein,Chinese,0.17305462360885157,1.207,741.2,0.5,,-1.7541479909170503,unknown,,,original,1.0,6.051
churrasco,churrasco,South American,0.6230272345723112,15.3504,4001.625000000001,0.6,,-0.4731650459458137,grill,,,expanded,2.798,7.0895
churro,churro,Mexican,0.2985286048176664,1.554,885.8,1.0,,-1.2088895222058451,unknown,,,original,9.4826,7.396
churros_mexican,churros_mexican,Mexican,0.2699390348229708,1.1325,524.0450000000001,1.0,,-1.309559142431692,deep_fry,,,expanded,5.9359,7.5436
churros_spanish,churros_spanish,Spanish,0.2985286048176664,1.554,885.8,1.0,,-1.2088895222058451,unknown,,,original,8.4772,7.323
clam_chowder,clam_chowder,American,0.16912191255977257,2.291,749.0,0.4,,-1.7771354480324058,unknown,,,original,7.9892,6.858
club_sandwich,club_sandwich,American,0.05476739825161429,1.1245,644.0,0.0,,-2.904660184480524,unknown,,,original,4.8287,6.95
cobb_salad,cobb_salad,American,0.07773983697250635,1.626,889.97,0.0,,-2.5543874506466193,cold,,,expanded,2.798,7.0838
