dish_id,H_mean,E_composite,E_carbon,E_water,E_energy,log_H,log_E,log_DEI,DEI_z,Z_H,Z_E,cuisine,source,cook_method,DEI_tier,is_pareto,rank_DEI,rank_invE,rank_shift,category,protein_g,fat_g,carb_g,fiber_g,calorie_kcal,NDI,meal_role,log_NDI,log_DEI_N,H_controlled,log_DEI_ctrl,category_recipe,family,refinement_alpha
baba_ganoush,7.3074,0.2283327510889237,0.6891,485.7,0.8,1.9888875333389828,-1.4769512793667894,3.465838812705772,0.8001541934530957,0.5935577760973759,-0.2065964173557198,Mediterranean,original,,B,False,115,159.0,44,Salad/Cold/Side,6.065,25.39,19.13,8.885,309.00000000000006,5.739597547364537,Light Main,1.7473890941738366,4.364881958008269,7.275756781742417,3.4614991119958978,Mixed/Other,,
baklava,7.628,0.28131109410514,1.2435,987.8,0.8,2.0318256877381726,-1.26829412556817,3.3001198133063427,0.6419652266738949,0.750090031855283,0.10812480518138808,Mediterranean,original,,C,False,155,221.0,66,Bread/Pastry,15.54,72.24000000000001,110.64,5.68,1113.1999999999998,1.445982850941529,Heavy Main,0.3687892640130855,3.4649215495610983,7.266792764656884,3.251609159478977,Dessert,,
banh_mi,6.8396,0.2565416685710571,1.1665,706.3,0.8,1.9227292503923008,-1.3604641769955543,3.283193427387855,0.4041749846371751,0.3651554390931679,-0.039019545544007224,Vietnamese,original,,C,False,161,191.0,30,Wrapped/Stuffed,32.015,26.135,54.445,4.9,587.05,4.756600278276457,Full Main,1.5595331858086867,4.121094298218639,7.076049847592691,3.317179997868717,Starch/Carb,,
beef_bourguignon,8.9939,0.8163411367437777,13.068,3390.9,1.2,2.1965465697632442,-0.2029229516456316,2.399469521408876,-1.869517117217828,1.4169877490721436,3.2865048662899716,French,original,,E,False,294,330.0,36,Protein Main,66.185,55.07,15.955000000000002,2.19,843.3499999999998,5.942043306127021,Heavy Main,1.782053065153713,3.087833137540677,7.177690520532604,2.1739006284419315,Red Meat Main,Beef,0.2092202168714154
bibimbap,5.4794,0.4103771234250521,6.316,2058.8,0.5,1.7009956059144655,-0.890678728820914,2.5916743347353797,-1.1738090420791778,-0.2989592654667368,0.8748497766124409,Korean,original,,E,False,274,291.0,17,Noodle/Rice,36.14,28.44,66.51,5.220000000000001,676.3,7.036463790862726,Full Main,1.9511057415395503,3.836973724347184,7.06019494934855,2.845151393167001,Starch/Carb,Rice Dish,-0.0567413869002204
biryani,7.8317,0.3345396378994281,2.5269,1305.9,0.8,2.0581796001023402,-1.0949999074823478,3.153179507584688,0.42521375437011355,0.8495461157538657,0.4243323613837522,Indian,original,,C,False,183,264.0,81,Noodle/Rice,45.902,27.711,67.359,2.599,706.7400000000001,4.739492442608156,Heavy Main,1.5559300503550209,3.788268587979368,6.7941008420613,3.0110546199220822,Poultry Main,Rice Dish,-0.0567413869002204
brisket,8.5209,0.9792094431862688,15.7454,3882.1,1.5,2.142521969065184,-0.0210097234937495,2.1635316925589336,-3.067987895564735,1.1860465233282564,4.254034418892991,American,original,,E,False,316,334.0,18,Protein Main,65.85799999999999,37.621,5.723000000000001,1.121,649.47,7.781761490015912,Full Main,2.0517827251612824,2.9993611659934367,6.982093746665807,1.964358558993616,Red Meat Main,Beef,0.2092202168714154
brownie,3.8751,0.3645830754384144,2.5955,1653.7,0.8,1.3545714689239425,-1.0090008373475932,2.3635723062715357,-1.6850625829324086,-1.0822552664411929,0.6028073164912158,Other,original,,E,False,298,268.0,-30,Dessert,15.31,71.65,118.52,7.62,1135.4,2.336284025996903,Heavy Main,0.8485616440462216,3.429613294327533,7.328874966486235,3.000822858040205,Dessert,Dessert,-0.1174012709339968
bruschetta,5.9191,0.2200736836601747,0.7575,367.7,0.8,1.7781844103116076,-1.51379286297681,3.291977273288418,0.1713832410812896,-0.08427669261348708,-0.2556599336947767,Italian,original,,C,False,158,149.0,-9,Salad/Cold/Side,8.336,17.843,44.056,3.273,367.14,3.671071684635993,Light Main,1.3004836316016215,4.152456822070289,7.239269911063119,3.4933132232762567,Starch/Carb,,
buffalo_wings,3.4398,0.386292331318037,2.6625,1365.4,1.0,1.235413330160255,-0.9511608611299428,2.1865741912901977,-2.026562083208685,-1.2947895488224064,0.7317725343862787,American,original,,E,False,311,277.0,-34,Protein Main,62.02,62.75,15.29,0.54,877.2,3.1903121831302403,Heavy Main,1.1601187750587094,3.442391056767838,7.037297459444066,2.902385073996026,Poultry Main,,
bulgogi,8.7381,0.6615588732726678,12.4425,3274.3,0.6,2.1676927747301815,-0.4131562997310227,2.580849074461204,-1.0749170142183555,1.292093952993314,2.3670109672116695,Korean,original,,E,False,275,322.0,47,Other,55.0,42.53999999999999,16.21,1.04,685.5000000000001,6.93971600973789,Full Main,1.9372608528943875,3.3798826284041,7.279903185886376,2.398273863209208,Red Meat Main,Beef,0.2092202168714154
