dish_id,H_mean,BT_strength,E_composite,E_carbon,E_water,E_energy,cuisine,cook_method,source,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,rank_DEI,rank_invE,rank_shift,DEI_tier,is_pareto,calorie_kcal,protein_g,NDI,meal_role,category
aa_na_tigela,6.2661,0.0803,0.1640126713471314,0.965,515.6,0.5,Brazilian,no_cook,worldcuisines_llm,1.835154151547244,-1.8078115898308944,3.642965741378138,0.3051648607142306,-0.7722916815005211,1.0774565422147515,501,561,60,A,False,412.9,23.35,6.578679924526377,Full Main,Dairy Main
aachener_printen,5.7688,-0.132,0.2977539156915976,1.7499,1442.9,0.8,German,bake,worldcuisines_llm,1.7524640866204126,-1.2114879198958448,2.9639520065162577,-0.3738371636939558,0.4708243222397959,-0.8446614859337518,1893,1794,-99,D,False,1773.9000000000003,27.303999999999995,1.6142673869715976,Heavy Main,Dessert
abernethy_biscuit,5.4803,-0.2553,0.2316102066038845,1.1378,495.1,0.8,British,bake,worldcuisines_llm,1.7011598439870448,-1.46269946428939,3.163859308276435,-0.7951173336830596,-0.0528595543266843,-0.7422577793563753,1377,1169,-208,C,False,844.6999999999999,13.739999999999998,1.660516955651323,Heavy Main,Dessert
abura_soba,6.0291,-0.0209,0.2034256757583217,1.6355,996.4,0.5,Japanese,saute,worldcuisines_llm,1.7965977458683042,-1.592454570500931,3.389052316369235,-0.0114375936806085,-0.3233513312440079,0.3119137375633993,946,918,-28,B,False,969.77,22.497999999999998,1.619243973307308,Heavy Main,Starch/Carb
acbadem_kurabiyesi,6.2661,0.0803,0.3719422009970951,1.4695,2771.5,0.8,Turkish,bake,worldcuisines_llm,1.835154151547244,-0.9890168104444514,2.824170961991696,0.3051648607142306,0.9345949395607768,-0.6294300788465461,2138,2158,20,E,False,1327.0,38.099999999999994,3.248471364522608,Heavy Main,Dessert
achu,5.58,-0.2127,0.1461892734190522,1.376,473.2,0.4,Cameroonian,boil,worldcuisines_llm,1.7191887763932197,-1.9228531035848413,3.642041879978061,-0.6470743781896374,-1.012111017965262,0.3650366397756247,507,361,-146,A,False,642.12,34.598,4.7753352014237835,Full Main,Seafood Main
ackee_saltfish,6.6086,0.2266,0.1518730005847839,1.1,273.725,0.5,Caribbean,saute,expanded,1.888371831128172,-1.8847106298478329,3.773082460976004,0.7421570459511149,-0.9325979583379552,1.67475500428907,276,430,154,A,False,299.04999999999995,25.31,8.44594462551326,Light Main,Seafood Main
ada,6.1105,0.0139,0.1219376700183187,0.8746,572.9,0.3,Indian,steam,worldcuisines_llm,1.810008602895918,-2.104245266292706,3.914253869188624,0.0986844515597244,-1.3902471071125768,1.488931558672301,144,140,-4,A,False,658.3,9.9,2.2650567654365323,Full Main,Starch/Carb
adobo,5.1722,-0.3868,0.364385431267847,2.0755,992.99,1.2,Filipino,braise,expanded,1.6432981299222027,-1.009543094450862,2.652841224373065,-1.2702435900298137,0.8918051704602692,-2.162048760490083,2314,2132,-182,E,False,381.7299999999999,50.562,7.180923379545445,Light Main,Poultry Main
afghan,5.9452,-0.0567,0.3062347781817353,2.4745,1387.0,0.8,New Zealand,bake,worldcuisines_llm,1.7825841712926027,-1.1834032222548545,2.965987393547457,-0.1265087998105834,0.5293706098649809,-0.6558794096755642,1887,1862,-25,D,False,1549.5000000000002,15.399999999999999,1.2630308990425156,Heavy Main,Dessert
agar,5.4803,-0.2553,0.10378365539895,0.2955,54.5,0.4,Global,boil,worldcuisines_llm,1.7011598439870448,-2.2654467830867207,3.966606627073765,-0.7951173336830596,-1.7262931094047205,0.9311757757216608,98,58,-40,A,False,116.1,0.0,0.027554988795298874,Side/Snack,Dessert
agedashi_dfu,6.7482,0.2862,0.2859293737752803,1.2685,633.3,1.0,Japanese,deep_fry,worldcuisines_llm,1.909275802655894,-1.2520104434998598,3.161286246155754,0.9138081263808402,0.3863497321072553,0.5274583942735849,1386,1706,320,C,False,246.66,19.548000000000002,12.268519249789014,Light Main,Plant Protein
ageh,5.7688,-0.132,0.2885021488597963,1.3144,664.1,1.0,Taiwanese,deep_fry,worldcuisines_llm,1.7524640866204126,-1.2430527446742128,2.995516831294625,-0.3738371636939558,0.4050232467240078,-0.7788604104179636,1836,1720,-116,D,False,530.15,14.504,4.060907644233119,Full Main,Plant Protein
agnolotti,6.6845,0.259,0.2612680129335321,4.8186,1469.3,0.4,Italian,boil,worldcuisines_llm,1.89979141344104,-1.342208529052117,3.241999942493157,0.8359279181253576,0.1983198260178963,0.6376080921074613,1167,1472,305,C,False,758.46,40.609,6.208702535733625,Heavy Main,Starch/Carb
aguachile,6.9305,0.364,0.1813312929571355,1.9456,538.5,0.5,Mexican,no_cook,worldcuisines_llm,1.9359319606712708,-1.7074295729322295,3.643361533603501,1.1326927683435817,-0.5630320160103809,1.6957247843539625,499,748,249,A,False,248.2,42.330000000000005,16.268848261596048,Light Main,Salad/Cold
agwijjim,6.7482,0.2862,0.334378965865273,1.886,538.8,1.2,Korean,braise,worldcuisines_llm,1.909275802655894,-1.095480300870544,3.004756103526438,0.9138081263808402,0.7126576336390704,0.2011504927417697,1818,2015,197,D,False,547.0,63.36,9.738687475433363,Full Main,Seafood Main
ahriche,5.4803,-0.2553,0.628984587931217,14.742,4205.6,0.6,Moroccan,grill,worldcuisines_llm,1.7011598439870448,-0.4636485250759781,2.1648083690630227,-0.7951173336830596,2.02979500678315,-2.8249123404662098,2532,2504,-28,E,False,852.12,79.577,6.510294771807234,Heavy Main,Red Meat Main
aji_de_gallina,6.3269,0.1063,0.1886556232069767,1.872,1053.4300000000003,0.4,South American,simmer,expanded,1.84481038476088,-1.6678320253988983,3.5126424101597777,0.3844561504963542,-0.4804856615232056,0.8649418120195598,754,815,61,B,False,619.4,49.900000000000006,6.173775906581848,Full Main,Poultry Main
