dish_id,H_yelp,H_google_bert,H_google_std,n_google_bert,H_google_ci95,H_google_star,H_tripadvisor_bert,H_tripadvisor_std,n_tripadvisor_bert,H_tripadvisor_ci95,H_tripadvisor_star,H_foodcom,H_crocufid,H_foodpics
baba_ganoush,7.495,7.669383368125328,0.9746726916103654,130.0,0.16754952207378185,9.23076923076923,7.552328676034924,1.2525224126852645,601.0,0.10013925157961254,8.665557404326123,9.25,,
baklava,7.48,7.668720657514749,0.9746873863157848,798.0,0.06762697653968194,9.363408521303258,7.64073541533947,1.0778658740444231,1000.0,0.06680681901331145,8.976,9.166666666666666,,
banh_mi,7.249,7.509462517344923,1.1912185172415544,846.0,0.08027167505782928,9.059101654846335,7.489123989139083,1.1477188643115765,169.0,0.17304069031159156,8.615384615384615,,,5.231212121212121
beef_bourguignon,7.344,7.5950284234939085,1.297782053676449,31.0,0.45685353392235417,9.161290322580646,7.42007123029232,1.48236102290536,1000.0,0.09187768808194416,8.572,9.146341463414634,,
bibimbap,7.176,7.490642972241819,1.128543108136179,459.0,0.10324472730162379,8.941176470588236,7.363855484975588,1.4270410604245516,872.0,0.0947183879895377,8.371559633027523,,4.185,
biryani,6.789,6.986396285699133,1.8068901544686904,759.0,0.12854847677936324,7.997364953886693,7.209089862942696,1.5980425882572646,1000.0,0.09904770578613463,8.226,8.363636363636363,,
brisket,7.046,7.3868652197122575,1.3689523830609758,1000.0,0.0848485477602446,8.85,7.354463819265366,1.42627992604663,1000.0,0.08840174568676376,8.502,8.928571428571429,,
brownie,7.362,7.522689636230469,1.2015229672115062,1000.0,0.07447116505288653,8.922,7.650477045297623,1.0301518627393873,1000.0,0.0638494739535835,8.796,8.768627450980393,,6.836470588235294
bruschetta,7.304,7.562125054836273,1.2225763952966269,1000.0,0.0757760700448359,9.034,7.370205861568451,1.5066946577031297,1000.0,0.09338590239229314,8.422,9.24705882352941,,
buffalo_wings,6.761,7.184455097317696,1.5872549649353267,1000.0,0.09837908196548403,8.382,7.37979282450676,1.4165441038478581,1000.0,0.08779831317512984,8.386,8.912280701754385,,
bulgogi,7.375,7.532179511826614,1.1281892856204272,754.0,0.08052901172677797,9.010610079575597,7.324630290717633,1.441735713819355,599.0,0.11545913960471277,8.450751252086812,8.166666666666666,,
bun_bo_hue,6.883,7.235837883905533,1.3352608359107518,109.0,0.2506737935472902,8.642201834862385,6.607493924058002,2.094443650534892,69.0,0.49419711579504266,7.826086956521739,,,
bun_cha,7.232,7.7785607278347015,0.5377124718766157,16.0,0.2634791112195417,9.125,7.251074004817653,1.4850609007259776,74.0,0.3383642532763221,8.45945945945946,,,
burrito,6.827,7.174878589034081,1.601668098608844,1000.0,0.09927241724580821,8.43,7.3063127338886265,1.5434382228753754,1000.0,0.09566329215615615,8.334,9.538461538461538,,
butter_chicken,7.297,7.339131418589888,1.4836963588733763,435.0,0.13943007910694538,8.675862068965516,7.490874822020531,1.2915607131015219,1000.0,0.08005176235992485,8.622,8.77366255144033,,
ca_phe_sua_da,7.43,7.541867748454765,1.0939715657649054,216.0,0.14589326036960204,9.12037037037037,7.587795404066522,1.077293535331746,166.0,0.16388382098240264,8.843373493975903,9.333333333333334,,
caesar_salad,6.747,7.134024556159973,1.6224843119625216,1000.0,0.10056261951637782,8.36,7.221710307121277,1.615197429889734,1000.0,0.10011097388631308,8.14,9.058823529411764,,
caprese,7.136,7.520202495530247,1.2723291997225987,640.0,0.09857472601423581,8.928125,7.458661725997925,1.3757577265383056,1000.0,0.08527034731894799,8.698,9.454545454545457,,7.0356250000000005
ceviche,7.301,7.489252942085266,1.253258693319712,1000.0,0.07767777857861609,9.028,7.582506848454475,1.1891693144113338,1000.0,0.07370547771956588,8.792,9.142857142857142,,
chana_masala,7.131,7.187214849324062,1.601503899499473,58.0,0.4121640179382543,8.482758620689655,7.5229310530593345,1.2589076398804513,317.0,0.13858630297703142,8.68769716088328,8.971428571428572,,
char_siu,7.017,7.385592541620556,1.3189421088942261,708.0,0.09715500453696993,8.740112994350282,7.266517199915135,1.4630330866235386,593.0,0.11775595326219439,8.42158516020236,10.0,,
