dish_id,H_yelp,H_foodcom,H_crocufid,H_foodpics,H_google,H_tripadvisor,n_foodcom,n_crocufid,n_foodpics,n_google,n_ta
baba_ganoush,7.495,9.25,,,9.23076923076923,8.665557404326123,16.0,,,130.0,601.0
baklava,7.48,9.166666666666666,,,9.363408521303258,8.884459210040605,132.0,,,798.0,2709.0
banh_mi,7.249,,,5.231212121212121,9.059101654846335,8.615384615384615,,,1.0,846.0,169.0
beef_bourguignon,7.344,9.146341463414634,,,9.161290322580646,8.622427253371185,82.0,,,31.0,2818.0
bibimbap,7.176,,4.185,,8.941176470588236,8.371559633027523,,2.0,,459.0,872.0
biryani,6.789,8.363636363636363,,,7.997364953886693,8.347767797291862,22.0,,,759.0,7459.0
brisket,7.046,8.928571428571429,,,8.918963053684426,8.565278957802322,56.0,,,14697.0,3531.0
brownie,7.362,8.768627450980393,,6.836470588235294,8.93320518981259,8.726889491117133,255.0,,2.0,2081.0,6642.0
bruschetta,7.304,9.24705882352941,,,9.03921568627451,8.401797416214192,85.0,,,1020.0,5341.0
buffalo_wings,6.761,8.912280701754385,,,8.431762305801119,8.342722183344996,57.0,,,19117.0,11432.0
bulgogi,7.375,8.166666666666666,,,9.010610079575597,8.450751252086812,12.0,,,754.0,599.0
bun_bo_hue,6.883,,,,8.642201834862385,7.826086956521739,,,,109.0,69.0
bun_cha,7.232,,,,9.125,8.45945945945946,,,,16.0,74.0
burrito,6.827,9.538461538461538,,,8.387354524926177,8.278376990241396,13.0,3.0,,11514.0,3894.0
butter_chicken,7.297,8.77366255144033,,,8.675862068965516,8.55275720164609,243.0,,,435.0,6075.0
ca_phe_sua_da,7.43,9.333333333333334,,,9.12037037037037,8.843373493975903,6.0,,,216.0,166.0
caesar_salad,6.747,9.058823529411764,,,8.405923344947736,8.038435140700068,68.0,,,2296.0,7285.0
caprese,7.136,9.454545454545455,,7.0356250000000005,8.928125,8.623655913978494,22.0,,1.0,640.0,2604.0
ceviche,7.301,9.142857142857142,,,9.02212389380531,8.785898709036744,7.0,,,2712.0,10070.0
chana_masala,7.131,8.971428571428572,,,8.482758620689655,8.68769716088328,35.0,,,58.0,317.0
char_siu,7.017,10.0,,,8.740112994350282,8.42158516020236,11.0,,,708.0,593.0
cheesecake,7.268,9.068965517241379,,,8.904086911536472,8.938697820950381,116.0,,,9665.0,15236.0
chicken_salad,6.953,9.16304347826087,,,8.573558648111332,8.148695990657844,184.0,,,2012.0,2569.0
chicken_sandwich,6.743,,,,8.079360100376412,8.140534871525958,,,,6376.0,1907.0
chile_relleno,6.786,9.076923076923077,,,8.634241245136186,7.836065573770492,65.0,,,514.0,61.0
chow_fun,7.171,,,,8.604166666666666,8.643356643356643,,,,96.0,143.0
chow_mein,6.051,,,,7.319587628865979,7.950920245398773,,,,291.0,163.0
churro,7.396,9.294117647058824,,,9.054077253218884,8.474576271186441,17.0,,,1165.0,3304.0
