dish_id,H_pairwise,H_bert,E_composite,E_carbon,E_water,E_energy,cuisine,cook_method,n_ingredients,total_grams,log_H_pw,log_E,log_DEI_pw,Z_H_pw,Z_E,DEI_z_pw,log_H_bert,log_DEI_bert,Z_H_bert,DEI_z_bert,rank_DEI_pw,rank_DEI_bert,rank_shift,is_pareto_pw
baba_ganoush,7.6778,7.495,0.2283327510889237,0.6891,485.7,0.8,Mediterranean,grill,6,257,2.038333047789222,-1.4769512793667894,3.5152843271560115,0.4810191918666815,-0.13270391825977204,0.6137231101264535,2.014236131554561,3.4911874109213503,1.5982155710006214,1.7309194892603934,62.0,71.0,9.0,False
baklava,7.9629,7.48,0.28131109410514,1.2435,987.8,0.8,Mediterranean,bake,5,220,2.0747932551153294,-1.2682941255681701,3.3430873806834995,0.6232503594242436,0.19756819470081452,0.425682164723429,2.012232791986386,3.280526917554556,1.5431567599929696,1.345588565292155,83.0,100.0,17.0,False
banh_mi,7.2672,7.249,0.2565416685710571,1.1665,706.3,0.8,Vietnamese,bake,7,245,1.9833710729291023,-1.3604641769955543,3.3438352499246564,0.2761783732095961,0.04315320090877716,0.23302517230081893,1.9808635283187406,3.3413277053142947,0.6952510704751143,0.6520978695663371,82.0,92.0,10.0,False
beef_bourguignon,9.2647,7.344,0.8163411367437777,13.068,3390.9,1.2,French,braise,7,365,2.226211479288635,-0.20292295164563165,2.429134430934267,1.2726945331402526,3.532997213792018,-2.2603026806517654,1.9938836533181894,2.196806604963821,1.0439568735235842,-2.4890403402684336,148.0,155.0,7.0,False
bibimbap,6.0879,7.176,0.4103771234250521,6.316,2058.8,0.5,Korean,stir_fry,10,450,1.8063031946688959,-0.890678728820914,2.69698192348981,-0.3121527944530937,1.0021783011715397,-1.3143310956246335,1.970742124756495,2.861420853577409,0.42729819023787263,-0.5748801109336671,137.0,139.0,2.0,False
biryani,8.249,6.789,0.3345396378994281,2.5269,1305.9,0.8,Indian,bake,9,460,2.1100919808785945,-1.0949999074823478,3.2050918883609425,0.7659804086638736,0.5294000835043878,0.2365803251594858,1.91530365531951,3.010303562801858,-0.9932191337595705,-1.5226192172639583,95.0,128.0,33.0,False
brisket,8.7905,7.046,0.9792094431862688,15.7454,3882.1,1.5,American,smoke,5,290,2.1736715929007073,-0.021009723493749546,2.194681316394457,1.0361248395036482,4.548333984264603,-3.5122091447609547,1.952460079919046,1.9734698034127955,-0.04987817182845099,-4.598212156093053,155.0,158.0,3.0,False
brownie,4.2749,7.362,0.3645830754384144,2.5955,1653.7,0.8,Other,bake,5,260,1.4527607103022653,-1.0090008373475932,2.4617615476498584,-1.2166252840422207,0.71669377809131,-1.9333190621335308,1.9963316349568294,3.0053324723044224,1.1100274467327667,0.3933336686414567,147.0,129.0,-18.0,False
bruschetta,6.3635,7.304,0.2200736836601747,0.7575,367.7,0.8,Italian,bake,5,183,1.8505785404499648,-1.51379286297681,3.364371403426775,-0.1746610028751769,-0.1841917431987654,0.009530740323588499,1.9884221432926674,3.5022150062694775,0.8971333775031767,1.081325120701942,79.0,70.0,-9.0,False
buffalo_wings,4.3427,6.761,0.386292331318037,2.6625,1365.4,1.0,American,deep_fry,4,320,1.468496274491672,-0.9511608611299427,2.4196571356216148,-1.1828011059980161,0.8520313783626191,-2.0348324843606354,1.9111708081085408,2.8623316692384835,-1.0959955809738542,-1.9480269593364734,150.0,138.0,-12.0,False
bulgogi,9.0043,7.375,0.6615588732726678,12.4425,3274.3,0.6,Korean,grill,7,280,2.197702241014536,-0.41315629973102275,2.610858540745559,1.1427857431297685,2.5680696170610644,-1.4252838739312959,1.9980959022258835,2.4112522019569065,1.1577450829393987,-1.4103245341216657,140.0,154.0,14.0,False
bun_bo_hue,7.4734,6.883,0.4268114422342925,7.3015,2273.4,0.4,Vietnamese,boil,8,380,2.011350049542717,-0.8514129505552047,2.8627630000979214,0.3790477760519998,1.104631433700323,-0.7255836576483231,1.929054603416227,2.7804675539714316,-0.648183918111612,-1.752815351811935,124.0,147.0,23.0,False
bun_cha,6.1345,7.232,0.2664993860833531,1.947,1162.3,0.6,Vietnamese,grill,8,360,1.8139285752491006,-1.322383339006084,3.1363119142551845,-0.2889049080687291,0.10523057471497521,-0.3941354827837043,1.9785156230898755,3.3008989620959595,0.6328510846664431,0.5276205099514679,100.0,96.0,-4.0,False
burrito,3.4995,6.827,0.276301431930006,2.2195,1211.6,0.6,Mexican,grill,7,400,1.2526201011474571,-1.2862628645471725,2.5388829656946297,-1.6034581403176804,0.16633747630530368,-1.769795616622984,1.9208853384361433,3.2071482029833156,-0.8537368125401825,-1.0200742888454861,142.0,111.0,-31.0,False
butter_chicken,9.7021,7.297,0.2453824918883798,2.5309,1290.8,0.4,Indian,simmer,10,420,2.2723423569230707,-1.4049370944486421,3.677279451371713,1.4909053808767578,-0.02641418553742058,1.5173195664141783,1.987463304783483,3.392400399232125,0.8714392656996033,0.8978534512370239,47.0,83.0,36.0,False
