dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method_h,E_carbon,E_carbon_ingredients,E_carbon_cooking,E_water,E_water_ingredients,E_energy,E_land,cook_method_e,n_ingredients,total_grams,missing_ingredients,E_carbon_norm,E_water_norm,E_energy_norm,E_composite_equal,E_composite_carbon_first,E_composite_water_first,E_composite_energy_first,E_composite,DEI,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,DEI_equal,log_DEI_equal,DEI_carbon_first,log_DEI_carbon_first,DEI_water_first,log_DEI_water_first,DEI_energy_first,log_DEI_energy_first,DEI_tier
baba_ganoush,7.495,7.984,1.228,500,7.714,8.021,0.108,0.308,Mediterranean,grill,0.6891,0.2996,0.38,485.7,484.7,0.8,0.5635,roast,6,257,,0.0433902704084894,0.1036079828582818,0.538,0.2283327510889237,0.1820971309188152,0.1971515590312632,0.3057495633166928,0.2283327510889237,32.82490122094263,2.014236131554561,-1.4769512793667894,3.4911874109213503,1.5982155710006214,-0.13270391825977204,1.7309194892603934,32.82490122094263,3.4911874109213503,41.15935249601222,3.7174511794527074,38.01643789594119,3.638018642401249,24.513526425667347,3.1992250642069275,C
baklava,7.48,7.965,1.267,500,7.729,8.019,0.111,0.29,Mediterranean,bake,1.2435,0.854,0.38,987.8,986.8,0.8,2.13,bake,5,220,,0.0784766349165761,0.2274566473988439,0.538,0.28131109410514,0.230602479307999,0.267847482428566,0.345483320578855,0.28131109410514,26.589779630960276,2.012232791986386,-1.2682941255681701,3.280526917554556,1.5431567599929696,0.19756819470081452,1.345588565292155,26.589779630960276,3.280526917554556,32.43677180941974,3.4792927116388945,27.92634051356033,3.3295703478697245,21.650828142635977,3.075043705108895,D
banh_mi,7.249,7.936,1.505,500,7.39,8.023,0.132,0.633,Vietnamese,bake,1.1665,0.777,0.38,706.3,705.3,0.8,1.7845,bake,7,245,,0.0736035287348974,0.1580214769782738,0.538,0.2565416685710571,0.2108071336120171,0.2319116206728612,0.3269062514282928,0.2565416685710571,28.256618273269577,1.9808635283187406,-1.3604641769955543,3.3413277053142947,0.6952510704751143,0.04315320090877716,0.6520978695663371,28.256618273269577,3.3413277053142947,34.386881865874244,3.537675150542035,31.257597092237013,3.442262453588288,22.1745530051146,3.0989453703877228,C
beef_bourguignon,7.344,7.96,1.39,402,7.656,8.023,0.136,0.367,French,braise,13.068,12.4885,0.57,3390.9,3389.9,1.2,66.427,braise,7,365,,0.8268148692706002,0.8202085409607334,0.802,0.8163411367437777,0.8189595698754835,0.8173079877980167,0.8127558525578334,0.8163411367437777,8.996239034692964,1.9938836533181894,-0.20292295164563165,2.196806604963821,1.0439568735235842,3.532997213792018,-2.4890403402684336,8.996239034692964,2.196806604963821,8.96747564854343,2.19360421489716,8.985596751337441,2.1956229344282083,9.035923859406994,2.201208172209807,E
bibimbap,7.176,7.912,1.508,500,7.215,8.018,0.132,0.803,Korean,stir_fry,6.316,6.069,0.2375,2058.8,2057.8,0.5,27.164,stir_fry,10,450,,0.3995004155213194,0.4916309547538369,0.34,0.4103771234250521,0.4076579464491189,0.4306905812572483,0.3927828425687891,0.4103771234250521,17.486354843828337,1.970742124756495,-0.890678728820914,2.861420853577409,0.42729819023787263,1.0021783011715397,-0.5748801109336671,17.486354843828337,2.861420853577409,17.60299305460898,2.8680689475065217,16.66161349303766,2.813107480370789,18.269637118233465,2.9052405080270036,E
biryani,6.789,7.921,1.941,500,6.343,8.018,0.17,1.675,Indian,bake,2.5269,2.1374,0.38,1305.9,1304.9,0.8,2.894,bake,9,460,,0.1596992904174391,0.3059196232808451,0.538,0.3345396378994281,0.2908295510289308,0.3273846342447823,0.3854047284245711,0.3345396378994281,20.293559360044988,1.91530365531951,-1.0949999074823478,3.010303562801858,-0.9932191337595705,0.5294000835043878,-1.5226192172639583,20.293559360044988,3.010303562801858,23.343570060130002,3.1503215740358588,20.737075873035415,3.0319232031331125,17.615248333230294,2.868764909521264,E
brisket,7.046,7.922,1.711,500,7.087,8.011,0.15,0.924,American,smoke,15.7454,15.0234,0.7125,3882.1,3881.1,1.5,81.571,smoke,5,290,,0.9962597327878284,0.9413685967709784,1.0,0.9792094431862688,0.9834720155866588,0.9697492315824464,0.9844070823897018,0.9792094431862688,7.195600541874763,1.952460079919046,-0.021009723493749546,1.9734698034127955,-0.04987817182845099,4.548333984264603,-4.598212156093053,7.195600541874763,1.9734698034127955,7.164413311543933,1.9691261753796256,7.265795909425231,1.9831778449686888,7.157607991701413,1.9681758457842982,E
brownie,7.362,7.974,1.383,500,7.615,8.025,0.121,0.41,Other,bake,2.5955,2.206,0.38,1653.7,1652.7,0.8,6.713,bake,5,260,,0.1640407850156619,0.3917084412995814,0.538,0.3645830754384144,0.3144475028327263,0.3713644169037062,0.4079373065788109,0.3645830754384144,20.19292856956437,1.9963316349568294,-1.0090008373475932,3.0053324723044224,1.1100274467327667,0.71669377809131,0.3933336686414567,20.19292856956437,3.0053324723044224,23.412493130582416,3.153269774362045,19.82419333920446,2.986903077623957,18.046890738534866,2.8929734116878167,E
bruschetta,7.304,7.966,1.452,500,7.551,8.023,0.127,0.472,Italian,bake,0.7575,0.368,0.38,367.7,366.7,0.8,0.7021,bake,5,183,,0.0477191075880585,0.0745019433924656,0.538,0.2200736836601747,0.1769850396421456,0.1836807485932474,0.299555262745131,0.2200736836601747,33.18888418879934,1.9884221432926674,-1.51379286297681,3.5022150062694775,0.8971333775031767,-0.1841917431987654,1.081325120701942,33.18888418879934,3.5022150062694775,41.26902485525501,3.720112215068931,39.7646463003827,3.6829782336224683,24.38281315128963,3.193878505062175,C
buffalo_wings,6.761,7.893,1.941,500,5.987,8.01,0.17,2.023,American,deep_fry,2.6625,2.178,0.475,1365.4,1364.4,1.0,4.542,deep_fry,4,320,,0.1682810202646551,0.3205959736894558,0.67,0.386292331318037,0.3317895035546915,0.3698682419108917,0.4572192484885278,0.386292331318037,17.502288945088132,1.9111708081085408,-0.9511608611299427,2.8623316692384835,-1.0959955809738542,0.8520313783626191,-1.9480269593364734,17.502288945088132,2.8623316692384835,20.377377607081325,3.0144253446909905,18.27948235044428,2.905779247815653,14.787216466389959,2.693763055250183,E
