dish_id,E_carbon,E_carbon_ingredients,E_carbon_cooking,E_water,E_water_ingredients,E_energy,E_land,cook_method,n_ingredients,total_grams,missing_ingredients,E_carbon_norm,E_water_norm,E_energy_norm,E_composite_equal,E_composite_carbon_first,E_composite_water_first,E_composite_energy_first,E_composite
hamburger,9.981,9.6865,0.285,2552.6,2551.6,0.6,51.339,grill,6,300,,0.6314476123505721,0.6134323300777356,0.406,0.5502933141427692,0.5705818886947199,0.5660780681265108,0.5142199856070769,0.5502933141427692
french_fries,0.6991,0.2146,0.475,178.4,177.4,1.0,0.51,deep_fry,3,232,,0.044023141341174965,0.02780894957145704,0.67,0.247277363637544,0.19646380806345176,0.19241026012102228,0.352958022728158,0.247277363637544
steak,15.4751,15.1806,0.285,3955.0,3954.0,0.6,82.159,grill,5,274,,0.979153231477338,0.9593502092884192,0.406,0.7815011469219191,0.8309141680607738,0.8259634125135441,0.6876258601914393,0.7815011469219191
buffalo_wings,2.6625,2.178,0.475,1365.4,1364.4,1.0,4.542,deep_fry,4,320,,0.16828102026465513,0.32059597368945586,0.67,0.386292331318037,0.3317895035546915,0.36986824191089174,0.4572192484885278,0.386292331318037
mac_and_cheese,2.8415,2.452,0.38,822.0,821.0,0.8,9.13,bake,5,310,,0.1796094099597264,0.18656019533585805,0.538,0.3013898684318615,0.2709447538138277,0.27268245015786063,0.36054240132389614,0.3013898684318615
pulled_pork,2.1585,1.579,0.57,1244.8,1243.8,1.2,3.563,slow_cook,5,290,,0.1363843252573036,0.290848614709986,0.802,0.40974431332242983,0.3414043163061483,0.3800203886693189,0.5078082349918225,0.40974431332242983
ribs,3.0445,2.3225,0.7125,1849.0,1848.0,1.5,5.3125,smoke,5,390,,0.192456689893243,0.4398814032290213,1.0,0.5441126977074214,0.45619869575387684,0.5180548740878215,0.6580845232805661,0.5441126977074214
fried_chicken,2.6084,2.1239,0.475,1467.3,1466.3,1.0,3.939,deep_fry,6,375,,0.16485718851882633,0.34573076539764797,0.67,0.39352931797215807,0.33636128560882517,0.3815796798285306,0.46264698847911856,0.39352931797215807
pancake,1.1345,0.8875,0.2375,513.5,512.5,0.5,2.114,pan_fry,5,255,,0.07157834175030366,0.110465168427347,0.34,0.17401450339255023,0.1484054629819886,0.1581271696512494,0.21551087754441267,0.17401450339255023
kung_pao_chicken,1.9045,1.6575,0.2375,1127.7,1126.7,0.5,2.833,stir_fry,9,320,,0.12030940356709072,0.26196457046043453,0.34,0.24075799134250842,0.21064584439865403,0.24605963612198994,0.26556849350688133,0.24075799134250842
fried_rice,1.509,1.262,0.2375,794.5,793.5,0.5,1.112,stir_fry,7,335,,0.09527935817937735,0.17977700817221443,0.34,0.20501878878386393,0.1775839311327423,0.19870834363095158,0.23876409158789796,0.20501878878386393
dumplings,1.066,0.914,0.1425,837.7,836.7,0.3,2.1305,steam,6,250,,0.06724317586140767,0.19043277855292004,0.20800000000000002,0.15522531813810925,0.13322978256893386,0.16402718324181192,0.16841898860358195,0.15522531813810925
spring_rolls,1.1495,0.665,0.475,587.3,586.3,1.0,1.5695,deep_fry,6,215,,0.07252764814933198,0.12866877616105238,0.67,0.2903988081034614,0.2359310181149291,0.2499663001178592,0.3852991060775961,0.2903988081034614
