dish_id,H_pairwise,BT_strength,H_bert,rank_pw,rank_bt,rank_change
baba_ganoush,7.6778,0.9965,7.495,63.0,3.0,-60.0
baklava,7.9629,1.2912,7.48,53.0,4.0,-49.0
banh_mi,7.2672,0.5721,7.249,74.0,39.0,-35.0
beef_bourguignon,9.2647,2.6365,7.344,11.0,19.0,8.0
bibimbap,6.0879,-0.6467,7.176,100.0,61.5,-38.5
biryani,8.249,1.5868,6.789,45.0,133.0,88.0
brisket,8.7905,2.1465,7.046,24.0,95.0,71.0
brownie,4.2749,-2.5203,7.362,138.0,16.0,-122.0
bruschetta,6.3635,-0.3619,7.304,94.0,31.0,-63.0
buffalo_wings,4.3427,-2.4502,6.761,136.0,137.5,1.5
bulgogi,9.0043,2.3674,7.375,16.0,13.0,-3.0
bun_bo_hue,7.4734,0.7852,6.883,67.0,120.0,53.0
bun_cha,6.1345,-0.5985,7.232,98.0,46.0,-52.0
burrito,3.4995,-3.3217,6.827,146.0,129.0,-17.0
butter_chicken,9.7021,3.0885,7.297,6.0,34.0,28.0
ca_phe_sua_da,9.9583,3.3534,7.43,3.0,7.0,4.0
caesar_salad,2.7727,-4.0728,6.747,153.0,140.0,-13.0
caprese,5.5521,-1.2004,7.136,111.0,71.0,-40.0
ceviche,10.0,3.3964,7.301,1.0,32.0,31.0
chana_masala,7.2672,0.5721,7.131,72.0,72.0,0.0
char_siu,6.0879,-0.6467,7.017,101.0,97.0,-4.0
cheesecake,7.0585,0.3564,7.268,78.0,37.0,-41.0
chicken_salad,2.5094,-4.3449,6.953,155.0,110.0,-45.0
chicken_sandwich,3.1131,-3.7211,6.743,151.0,141.0,-10.0
chile_relleno,7.9222,1.2491,6.786,54.0,134.0,80.0
chow_fun,6.0409,-0.6952,7.171,102.0,64.0,-38.0
chow_mein,2.2025,-4.6621,6.051,157.0,158.0,1.0
churro,9.7885,3.1778,7.396,5.0,11.0,6.0
churros_spanish,8.7482,2.1027,7.323,26.0,25.0,-1.0
clam_chowder,8.29,1.6292,6.858,44.0,124.0,80.0
club_sandwich,5.3447,-1.4147,6.95,115.0,111.0,-4.0
coleslaw,3.6724,-3.1431,6.704,142.0,146.0,4.0
com_tam,8.9184,2.2786,6.941,19.0,113.5,94.5
congee,3.4995,-3.3217,6.984,145.0,100.0,-45.0
coq_au_vin,8.7905,2.1465,7.166,23.0,65.5,42.5
cornbread,4.7848,-1.9934,6.978,130.0,101.0,-29.0
creme_brulee,9.4399,2.8176,7.324,9.0,24.0,15.0
crepe,8.6639,2.0156,7.239,33.0,44.0,11.0
croissant,7.2672,0.5721,7.299,73.0,33.0,-40.0
dal,8.29,1.6292,6.929,41.0,116.0,75.0
dan_dan_noodles,10.0,3.3964,7.243,2.0,41.5,39.5
dim_sum,4.844,-1.9322,6.977,126.0,102.0,-24.0
dolma,7.1005,0.3998,7.407,77.0,9.0,-68.0
donburi,1.0,-5.9049,6.081,158.0,157.0,-1.0
dosa,2.5094,-4.3449,6.872,154.0,122.0,-32.0
dumplings,8.4138,1.7571,7.08,39.0,85.0,46.0
edamame,8.29,1.6292,7.174,43.0,63.0,20.0
elote,9.9163,3.3099,7.372,4.0,14.0,10.0
enchilada,5.8499,-0.8927,6.83,108.0,128.0,20.0
