dish_id,H_pairwise,BT_strength,H_bert,source
ackee_saltfish,7.7129,1.19,7.34,expanded
adobo,3.6628,-1.7857,7.1536,expanded
aji_de_gallina,7.0785,0.7239,7.5229,expanded
al_pastor,7.9826,1.3882,7.3924,expanded
aloo_gobi,8.5603,1.8126,7.3359,expanded
anticucho,6.1642,0.0522,7.3393,expanded
arancini,5.9359,-0.1155,7.4578,expanded
arepa,8.5603,1.8126,7.6274,expanded
arroz_con_pollo,7.2606,0.8577,7.2726,expanded
asado,4.9488,-0.8408,7.5207,expanded
baba_ganoush,7.3074,0.8921,7.495,original
bacalhau,6.7438,0.478,7.5148,expanded
bak_kut_teh,4.3571,-1.2755,6.8786,expanded
baklava,7.628,1.1277,7.48,original
bandeja_paisa,5.7087,-0.2825,7.4786,expanded
banh_mi,6.8396,0.5484,7.249,original
banh_xeo,5.2167,-0.644,7.1571,expanded
beef_bourguignon,8.9939,2.1312,7.344,original
beef_tartare,4.3571,-1.2755,7.6015,expanded
bibimbap,5.4794,-0.451,7.176,original
biltong,4.3571,-1.2755,7.9368,expanded
birria,7.5688,1.0841,7.432,expanded
biryani,7.8317,1.2773,6.789,original
blini,4.6633,-1.0505,7.5421,expanded
boat_noodles,4.0257,-1.519,7.3491,expanded
borek,4.6633,-1.0505,7.3382,expanded
borscht,7.8508,1.2913,7.5279,expanded
bossam,4.9488,-0.8408,7.4729,expanded
bouillabaisse,3.6628,-1.7857,7.2039,expanded
bratwurst,3.2587,-2.0826,7.1491,expanded
brisket,8.5209,1.7837,7.046,original
brownie,3.8751,-1.6297,7.362,original
bruschetta,5.9191,-0.1279,7.304,original
budae_jjigae,8.2292,1.5694,7.2623,expanded
buffalo_wings,3.4398,-1.9495,6.761,original
bulgogi,8.7381,1.9433,7.375,original
bun_bo_hue,7.0751,0.7214,6.883,original
bun_cha,5.5335,-0.4112,7.232,original
bun_rieu,4.6633,-1.0505,7.2622,expanded
burrito,2.4568,-2.6718,6.827,original
butter_chicken,9.4037,2.4323,7.297,original
ca_phe_sua_da,9.6366,2.6035,7.43,original
caesar_salad,2.7919,-2.4256,6.747,original
caldo_verde,4.9488,-0.8408,7.2615,expanded
callaloo,7.9826,1.3882,7.4256,expanded
cannoli,4.6633,-1.0505,7.345,expanded
caprese,4.8561,-0.9089,7.136,original
carnitas,7.4181,0.9734,7.2454,expanded
causa,5.2167,-0.644,7.3292,expanded
ceviche,9.6743,2.6312,7.301,original
chana_masala,6.8396,0.5484,7.131,original
char_kway_teow,7.0959,0.7367,7.1974,expanded
char_siu,5.4794,-0.451,7.017,original
char_siu_bao,8.5603,1.8126,7.0666,expanded
cheesecake,6.6002,0.3725,7.268,original
chicken_salad,1.3336,-3.497,6.953,original
chicken_sandwich,2.0123,-2.9983,6.743,original
chilaquiles,3.6628,-1.7857,7.3308,expanded
chile_relleno,7.5825,1.0942,6.786,original
chili,2.798,-2.4211,7.0759,expanded
chimichurri,2.798,-2.4211,7.4868,expanded
chole_bhature,8.3445,1.6541,7.2896,expanded
chow_fun,5.4249,-0.491,7.171,original
chow_mein,1.0,-3.7421,6.051,original
churrasco,2.798,-2.4211,7.0895,expanded
churro,9.4826,2.4903,7.396,original
churros_mexican,5.9359,-0.1155,7.5436,expanded
churros_spanish,8.4772,1.7516,7.323,original
clam_chowder,7.9892,1.393,6.858,original
club_sandwich,4.8287,-0.929,6.95,original
cobb_salad,2.798,-2.4211,7.0838,expanded
coleslaw,2.6572,-2.5245,6.704,original
com_tam,8.6516,1.8797,6.941,original
conch_fritters,5.7087,-0.2825,7.1416,expanded
congee,2.4568,-2.6718,6.984,original
coq_au_vin,8.3333,1.6458,7.166,original
coquito,4.3571,-1.2755,7.5858,expanded
cornbread,3.9581,-1.5687,6.978,original
couscous,6.5556,0.3397,7.3683,expanded
coxinha,4.3571,-1.2755,7.3626,expanded
creme_brulee,9.1606,2.2537,7.324,original
crepe,8.3893,1.687,7.239,original
croissant,6.8396,0.5484,7.299,original
croquetas,4.9488,-0.8408,7.3931,expanded
cubano_sandwich,6.1523,0.0434,7.5295,expanded
currywurst,7.9826,1.3882,7.5586,expanded
dakgalbi,8.1087,1.4808,7.0979,expanded
dal,7.9892,1.393,6.929,original
dan_dan_noodles,10.0,2.8704,7.243,original
dan_tat,7.5688,1.0841,7.3389,expanded
dim_sum,4.1359,-1.4381,6.977,original
dim_sum_items,3.6628,-1.7857,6.852,expanded
dolma,6.8883,0.5842,7.407,original
donburi,1.0407,-3.7122,6.081,original
doner_kebab,7.4181,0.9734,7.3078,expanded
doro_wot,7.9826,1.3882,7.3599,expanded
dosa,1.3336,-3.497,6.872,original
duck_confit,7.2606,0.8577,7.6052,expanded
dumplings,7.9968,1.3986,7.08,original
eclair,3.2587,-2.0826,7.2581,expanded
edamame,7.9892,1.393,7.174,original
eggplant_parm,5.9359,-0.1155,7.0995,expanded
eggs_benedict,5.9359,-0.1155,7.3117,expanded
egusi_soup,8.5603,1.8126,7.3211,expanded
elote,9.5986,2.5755,7.372,original
enchilada,5.2029,-0.6541,6.83,original
escargot,8.1233,1.4916,7.185,original
escovitch_fish,6.1523,0.0434,7.3597,expanded
fajita,1.0,-3.7421,6.671,original
falafel,4.9737,-0.8225,7.341,original
fattoush,8.6612,1.8868,7.5472,expanded
feijoada,3.6628,-1.7857,7.3838,expanded
fesenjan,6.9238,0.6103,7.5372,expanded
fish_and_chips,2.9929,-2.2778,6.801,original
fish_tacos,6.3586,0.195,7.1794,expanded
focaccia,3.6628,-1.7857,7.362,expanded
fondue,2.798,-2.4211,7.4177,expanded
french_fries,4.4255,-1.2253,6.585,original
french_onion_soup,8.8056,1.9929,7.065,original
fresh_spring_roll,7.1621,0.7853,7.119,original
fried_chicken,3.9581,-1.5687,7.048,original
fried_rice,3.1966,-2.1282,6.66,original
fufu,4.0401,-1.5085,7.1556,expanded
ful_medames,4.3571,-1.2755,7.1423,expanded
gado_gado,7.8508,1.2913,7.2841,expanded
galaktoboureko,8.1087,1.4808,7.5847,expanded
galette,5.2167,-0.644,7.6479,expanded
gambas_al_ajillo,6.9238,0.6103,7.2997,expanded
gazpacho,9.1606,2.2537,7.436,original
gelato,8.9939,2.1312,7.564,original
general_tso,6.4054,0.2294,6.649,original
ghormeh_sabzi,7.7129,1.19,7.0615,expanded
gnocchi,8.9517,2.1002,7.211,original
gozleme,6.9238,0.6103,7.8291,expanded
green_curry,4.6754,-1.0417,7.287,original
grilled_cheese,7.4912,1.0271,7.194,original
guacamole,8.4333,1.7193,6.93,original
gulab_jamun,6.5556,0.3397,7.2487,expanded
gyro,6.5518,0.337,7.158,original
gyudon,5.2167,-0.644,7.0105,expanded
halloumi,8.4884,1.7598,7.692,expanded
halo_halo,3.2587,-2.0826,7.4075,expanded
hamburger,3.8876,-1.6205,6.712,original
harissa,6.9238,0.6103,7.5812,expanded
horiatiki,6.1523,0.0434,7.3264,expanded
hot_and_sour_soup,4.1637,-1.4177,6.726,original
hot_dog,6.5556,0.3397,7.0579,expanded
hu_tieu,2.798,-2.4211,6.9639,expanded
hummus,7.6735,1.1611,7.347,original
ice_cream,6.2072,0.0838,7.338,original
idli,2.8199,-2.4049,6.4518,expanded
injera,6.5556,0.3397,7.2875,expanded
iskender_kebab,7.8508,1.2913,7.5031,expanded
jalebi,5.7087,-0.2825,7.2048,expanded
japchae,8.3452,1.6546,7.318,original
jerk_chicken,3.6628,-1.7857,6.7026,expanded
jjajangmyeon,7.4181,0.9734,7.2121,expanded
jokbal,4.6633,-1.0505,6.7188,expanded
jollof_rice,8.2292,1.5694,7.3086,expanded
karaage,4.0257,-1.519,7.2208,expanded
kare_kare,4.9488,-0.8408,7.3561,expanded
katsu,7.6735,1.1611,6.973,original
katsu_curry,5.2167,-0.644,7.273,expanded
kebab,7.1849,0.8021,7.286,original
keftedes,4.6633,-1.0505,7.4303,expanded
