dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method,H_bert
baba_ganoush,7.6778,7.984,1.228,500,7.714,8.021,0.108,0.308,Mediterranean,grill,7.495
baklava,7.9629,7.965,1.267,500,7.729,8.019,0.111,0.29,Mediterranean,bake,7.48
banh_mi,7.2672,7.936,1.505,500,7.39,8.023,0.132,0.633,Vietnamese,bake,7.249
beef_bourguignon,9.2647,7.96,1.39,402,7.656,8.023,0.136,0.367,French,braise,7.344
bibimbap,6.0879,7.912,1.508,500,7.215,8.018,0.132,0.803,Korean,stir_fry,7.176
biryani,8.249,7.921,1.941,500,6.343,8.018,0.17,1.675,Indian,bake,6.789
brisket,8.7905,7.922,1.711,500,7.087,8.011,0.15,0.924,American,smoke,7.046
brownie,4.2749,7.974,1.383,500,7.615,8.025,0.121,0.41,Other,bake,7.362
bruschetta,6.3635,7.966,1.452,500,7.551,8.023,0.127,0.472,Italian,bake,7.304
buffalo_wings,4.3427,7.893,1.941,500,5.987,8.01,0.17,2.023,American,deep_fry,6.761
bulgogi,9.0043,7.943,1.274,500,7.478,8.022,0.112,0.544,Korean,grill,7.375
bun_bo_hue,7.4734,7.762,1.693,500,6.476,7.999,0.148,1.523,Vietnamese,boil,6.883
bun_cha,6.1345,7.93,1.462,130,7.322,8.029,0.251,0.706,Vietnamese,grill,7.232
burrito,3.4995,7.922,1.913,500,6.476,8.017,0.168,1.541,Mexican,grill,6.827
butter_chicken,9.7021,7.966,1.555,500,7.656,8.026,0.136,0.37,Indian,simmer,7.297
ca_phe_sua_da,9.9583,7.962,1.303,500,7.637,8.019,0.114,0.382,Vietnamese,cold,7.43
caesar_salad,2.7727,7.839,1.902,500,6.261,8.004,0.167,1.744,Other,raw,6.747
caprese,5.5521,7.977,1.743,500,7.552,8.028,0.153,0.476,Italian,raw,7.136
ceviche,10.0,7.954,1.513,500,7.617,8.019,0.133,0.403,Mexican,raw,7.301
chana_masala,7.2672,7.943,1.674,500,7.425,8.015,0.147,0.59,Indian,simmer,7.131
char_siu,6.0879,7.889,1.689,500,7.002,8.007,0.148,1.005,Chinese,roast,7.017
cheesecake,7.0585,7.947,1.476,500,7.409,8.025,0.129,0.616,Other,bake,7.268
chicken_salad,2.5094,7.944,1.832,500,6.94,8.019,0.161,1.079,Other,raw,6.953
chicken_sandwich,3.1131,7.887,1.944,500,6.194,8.01,0.17,1.816,American,deep_fry,6.743
chile_relleno,7.9222,7.874,1.927,500,6.337,8.006,0.169,1.669,Mexican,deep_fry,6.786
chow_fun,6.0409,7.886,1.477,500,7.154,8.015,0.13,0.861,Chinese,stir_fry,7.171
chow_mein,2.2025,7.511,2.31,500,3.726,7.997,0.202,4.271,Chinese,stir_fry,6.051
churro,9.7885,7.971,1.387,500,7.719,8.026,0.122,0.306,Mexican,deep_fry,7.396
churros_spanish,8.7482,7.853,1.029,20,7.003,8.033,0.451,1.03,Spanish,deep_fry,7.323
clam_chowder,8.29,7.917,1.894,500,6.593,8.009,0.166,1.416,American,simmer,6.858
club_sandwich,5.3447,7.91,1.802,500,6.918,8.018,0.158,1.1,American,raw,6.95
coleslaw,3.6724,7.815,1.925,500,5.855,8.004,0.169,2.149,American,raw,6.704
com_tam,8.9184,7.793,1.676,500,6.656,8.016,0.147,1.36,Vietnamese,grill,6.941
congee,3.4995,7.816,1.648,500,6.823,8.002,0.144,1.179,Chinese,boil,6.984
coq_au_vin,8.7905,7.938,1.567,409,7.174,8.02,0.152,0.846,French,braise,7.166
cornbread,4.7848,7.896,1.741,500,6.858,8.017,0.153,1.159,American,bake,6.978
creme_brulee,9.4399,7.965,1.428,500,7.544,8.024,0.125,0.48,French,bake,7.324
crepe,8.6639,7.948,1.545,500,7.521,8.018,0.135,0.497,French,pan_fry,7.239
croissant,7.2672,7.962,1.52,500,7.62,8.021,0.133,0.401,French,bake,7.299
dal,8.29,7.938,1.873,500,6.882,8.014,0.164,1.132,Indian,simmer,6.929
dan_dan_noodles,10.0,7.904,1.449,500,7.262,8.015,0.127,0.753,Chinese,boil,7.243
dim_sum,4.844,7.865,1.7,500,6.759,8.022,0.149,1.264,Chinese,steam,6.977
dolma,7.1005,7.977,1.423,500,7.697,8.025,0.125,0.328,Mediterranean,simmer,7.407
donburi,1.0,6.892,1.998,500,4.35,7.938,0.175,3.588,Japanese,simmer,6.081
dosa,2.5094,7.918,1.898,500,6.688,8.019,0.166,1.331,Indian,pan_fry,6.872
dumplings,8.4138,7.939,1.702,500,7.25,8.021,0.149,0.772,Chinese,steam,7.08
edamame,8.29,7.934,1.518,500,7.164,8.014,0.133,0.85,Japanese,boil,7.174
elote,9.9163,7.965,1.319,500,7.51,8.024,0.116,0.515,Mexican,grill,7.372
enchilada,5.8499,7.924,1.983,500,6.798,8.01,0.174,1.212,Mexican,bake,6.83
escargot,8.4138,7.971,1.611,500,7.4,8.028,0.141,0.628,French,bake,7.185
fajita,2.2025,7.832,1.959,500,5.85,7.995,0.172,2.146,Mexican,grill,6.671
falafel,5.653,7.959,1.417,500,7.506,8.023,0.124,0.517,Mediterranean,deep_fry,7.341
fish_and_chips,3.4085,7.913,1.966,500,6.583,8.014,0.172,1.431,Other,deep_fry,6.801
french_fries,5.1836,7.818,2.069,500,5.534,8.005,0.181,2.47,American,deep_fry,6.585
french_onion_soup,9.2211,7.944,1.746,500,7.181,8.02,0.153,0.839,French,simmer,7.065
fresh_spring_roll,7.5144,7.897,1.564,500,7.014,8.014,0.137,1.0,Vietnamese,raw,7.119
fried_chicken,4.7848,7.904,1.653,500,6.885,8.019,0.145,1.134,American,deep_fry,7.048
fried_rice,4.135,7.859,2.067,500,5.858,8.016,0.181,2.158,Chinese,stir_fry,6.66
gazpacho,9.4399,7.964,1.267,500,7.696,8.02,0.111,0.324,Spanish,cold,7.436
gelato,9.2647,7.973,1.07,500,7.817,8.025,0.094,0.208,Italian,cold,7.564
general_tso,6.8891,7.783,2.021,500,5.902,8.001,0.177,2.099,Chinese,deep_fry,6.649
gnocchi,9.2211,7.953,1.618,500,7.524,8.02,0.142,0.496,Italian,boil,7.211
green_curry,5.3973,7.967,1.559,500,7.62,8.029,0.137,0.409,Thai,simmer,7.287
grilled_cheese,7.8408,7.954,1.557,500,7.326,8.024,0.137,0.697,American,pan_fry,7.194
guacamole,8.706,7.902,1.824,500,6.911,8.003,0.16,1.092,Mexican,raw,6.93
gyro,7.0164,7.929,1.622,500,7.415,8.012,0.142,0.597,Mediterranean,roast,7.158
hamburger,4.7247,7.893,1.944,500,5.979,8.011,0.17,2.033,American,grill,6.712
hot_and_sour_soup,4.9601,7.809,1.946,500,6.25,8.008,0.171,1.758,Chinese,boil,6.726
hummus,8.0037,7.963,1.419,500,7.653,8.022,0.124,0.368,Mediterranean,raw,7.347
ice_cream,6.7171,7.943,1.397,500,7.553,8.02,0.122,0.467,Other,cold,7.338
japchae,8.6219,7.937,1.393,500,7.499,8.019,0.122,0.52,Korean,stir_fry,7.318
katsu,8.0037,7.884,1.756,500,6.839,8.025,0.154,1.186,Japanese,deep_fry,6.973
kebab,7.2672,7.952,1.518,500,7.558,8.019,0.133,0.461,Mediterranean,grill,7.286
kimbap,8.6639,7.95,1.425,394,7.398,8.028,0.141,0.63,Korean,raw,7.307
kimchi,4.6016,7.937,1.525,500,7.195,8.019,0.134,0.824,Korean,raw,7.178
kimchi_jjigae,4.7848,7.894,1.837,222,5.994,8.024,0.242,2.03,Korean,boil,6.817
korean_fried_chicken,4.7247,7.355,2.071,500,4.342,7.978,0.182,3.636,Korean,deep_fry,6.228
korma,8.9184,7.969,1.602,500,7.591,8.02,0.14,0.429,Indian,simmer,7.243
kung_pao_chicken,5.3973,7.776,2.18,500,5.476,8.004,0.191,2.528,Chinese,stir_fry,6.489
larb,8.6219,7.913,1.697,500,7.214,8.022,0.149,0.808,Thai,raw,7.071
lasagna,6.9741,7.942,1.903,500,6.798,8.013,0.167,1.215,Italian,bake,6.885
lo_mein,3.4085,7.776,2.125,500,5.239,8.001,0.186,2.762,Chinese,stir_fry,6.505
lobster_roll,9.134,7.937,1.526,500,7.309,8.017,0.134,0.708,American,boil,7.177
mac_and_cheese,6.63,7.939,1.781,500,6.939,8.019,0.156,1.08,American,bake,6.986
mango_sticky_rice,8.833,7.963,1.419,500,7.674,8.022,0.124,0.348,Thai,steam,7.382
