dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method
baba_ganoush,7.495,7.984,1.228,500,7.714,8.021,0.108,0.308,Mediterranean,grill
baklava,7.48,7.965,1.267,500,7.729,8.019,0.111,0.29,Mediterranean,bake
banh_mi,7.249,7.936,1.505,500,7.39,8.023,0.132,0.633,Vietnamese,bake
beef_bourguignon,7.344,7.96,1.39,402,7.656,8.023,0.136,0.367,French,braise
bibimbap,7.176,7.912,1.508,500,7.215,8.018,0.132,0.803,Korean,stir_fry
biryani,6.789,7.921,1.941,500,6.343,8.018,0.17,1.675,Indian,bake
brisket,7.046,7.922,1.711,500,7.087,8.011,0.15,0.924,American,smoke
brownie,7.362,7.974,1.383,500,7.615,8.025,0.121,0.41,Other,bake
bruschetta,7.304,7.966,1.452,500,7.551,8.023,0.127,0.472,Italian,bake
buffalo_wings,6.761,7.893,1.941,500,5.987,8.01,0.17,2.023,American,deep_fry
bulgogi,7.375,7.943,1.274,500,7.478,8.022,0.112,0.544,Korean,grill
bun_bo_hue,6.883,7.762,1.693,500,6.476,7.999,0.148,1.523,Vietnamese,boil
bun_cha,7.232,7.93,1.462,130,7.322,8.029,0.251,0.706,Vietnamese,grill
burrito,6.827,7.922,1.913,500,6.476,8.017,0.168,1.541,Mexican,grill
butter_chicken,7.297,7.966,1.555,500,7.656,8.026,0.136,0.37,Indian,simmer
ca_phe_sua_da,7.43,7.962,1.303,500,7.637,8.019,0.114,0.382,Vietnamese,cold
caesar_salad,6.747,7.839,1.902,500,6.261,8.004,0.167,1.744,Other,raw
caprese,7.136,7.977,1.743,500,7.552,8.028,0.153,0.476,Italian,raw
ceviche,7.301,7.954,1.513,500,7.617,8.019,0.133,0.403,Mexican,raw
chana_masala,7.131,7.943,1.674,500,7.425,8.015,0.147,0.59,Indian,simmer
char_siu,7.017,7.889,1.689,500,7.002,8.007,0.148,1.005,Chinese,roast
cheesecake,7.268,7.947,1.476,500,7.409,8.025,0.129,0.616,Other,bake
chicken_salad,6.953,7.944,1.832,500,6.94,8.019,0.161,1.079,Other,raw
chicken_sandwich,6.743,7.887,1.944,500,6.194,8.01,0.17,1.816,American,deep_fry
chile_relleno,6.786,7.874,1.927,500,6.337,8.006,0.169,1.669,Mexican,deep_fry
chow_fun,7.171,7.886,1.477,500,7.154,8.015,0.13,0.861,Chinese,stir_fry
chow_mein,6.051,7.511,2.31,500,3.726,7.997,0.202,4.271,Chinese,stir_fry
churro,7.396,7.971,1.387,500,7.719,8.026,0.122,0.306,Mexican,deep_fry
churros_spanish,7.323,7.853,1.029,20,7.003,8.033,0.451,1.03,Spanish,deep_fry
clam_chowder,6.858,7.917,1.894,500,6.593,8.009,0.166,1.416,American,simmer
club_sandwich,6.95,7.91,1.802,500,6.918,8.018,0.158,1.1,American,raw
coleslaw,6.704,7.815,1.925,500,5.855,8.004,0.169,2.149,American,raw
com_tam,6.941,7.793,1.676,500,6.656,8.016,0.147,1.36,Vietnamese,grill
congee,6.984,7.816,1.648,500,6.823,8.002,0.144,1.179,Chinese,boil
coq_au_vin,7.166,7.938,1.567,409,7.174,8.02,0.152,0.846,French,braise
cornbread,6.978,7.896,1.741,500,6.858,8.017,0.153,1.159,American,bake
creme_brulee,7.324,7.965,1.428,500,7.544,8.024,0.125,0.48,French,bake
crepe,7.239,7.948,1.545,500,7.521,8.018,0.135,0.497,French,pan_fry
croissant,7.299,7.962,1.52,500,7.62,8.021,0.133,0.401,French,bake
dal,6.929,7.938,1.873,500,6.882,8.014,0.164,1.132,Indian,simmer
dan_dan_noodles,7.243,7.904,1.449,500,7.262,8.015,0.127,0.753,Chinese,boil
dim_sum,6.977,7.865,1.7,500,6.759,8.022,0.149,1.264,Chinese,steam
dolma,7.407,7.977,1.423,500,7.697,8.025,0.125,0.328,Mediterranean,simmer
donburi,6.081,6.892,1.998,500,4.35,7.938,0.175,3.588,Japanese,simmer
dosa,6.872,7.918,1.898,500,6.688,8.019,0.166,1.331,Indian,pan_fry
dumplings,7.08,7.939,1.702,500,7.25,8.021,0.149,0.772,Chinese,steam
edamame,7.174,7.934,1.518,500,7.164,8.014,0.133,0.85,Japanese,boil
elote,7.372,7.965,1.319,500,7.51,8.024,0.116,0.515,Mexican,grill
enchilada,6.83,7.924,1.983,500,6.798,8.01,0.174,1.212,Mexican,bake
escargot,7.185,7.971,1.611,500,7.4,8.028,0.141,0.628,French,bake
fajita,6.671,7.832,1.959,500,5.85,7.995,0.172,2.146,Mexican,grill
falafel,7.341,7.959,1.417,500,7.506,8.023,0.124,0.517,Mediterranean,deep_fry
fish_and_chips,6.801,7.913,1.966,500,6.583,8.014,0.172,1.431,Other,deep_fry
