dish_id,protein_g,fat_g,carb_g,fiber_g,iron_mg,zinc_mg,b12_ug,calcium_mg,vitamin_c_mg,calorie_kcal,NDI,meal_role,missing_nutrients_ingredients
baba_ganoush,6.065,25.39,19.13,8.885,3.5849999999999995,2.0292,0.0,226.58,13.91,309.00000000000006,5.739597547364537,Light Main,
baklava,15.54,72.24000000000001,110.64,5.68,4.628,2.36,0.068,79.0,0.88,1113.1999999999998,1.4459828509415287,Heavy Main,
banh_mi,32.015,26.135,54.445,4.9,4.8999999999999995,2.595,0.5750000000000001,288.75,7.37,587.05,4.756600278276457,Full Main,
beef_bourguignon,66.185,55.07,15.955000000000002,2.19,6.393000000000001,10.323500000000001,5.3715,64.7,5.57,843.3499999999998,5.942043306127021,Heavy Main,
bibimbap,36.14,28.44,66.51,5.220000000000001,6.529999999999999,7.1000000000000005,2.558,155.29999999999998,21.24,676.3,7.036463790862726,Full Main,
biryani,45.902,27.711,67.359,2.599,6.027,5.180999999999998,0.6749999999999999,164.44000000000003,6.407,706.7400000000001,4.739492442608156,Heavy Main,
brisket,65.85799999999999,37.621,5.723000000000001,1.121,6.848,11.3943,6.25,70.53,3.78,649.47,7.781761490015912,Full Main,
brownie,15.31,71.65,118.52,7.62,9.84,2.9609999999999994,0.8150000000000001,90.4,0.0,1135.3999999999999,2.336284025996903,Heavy Main,
bruschetta,8.336,17.843,44.056000000000004,3.273,3.3850000000000002,0.8840000000000001,0.0,230.51000000000002,13.220000000000002,367.14,3.671071684635993,Light Main,
buffalo_wings,62.02,62.75,15.29,0.54,3.1879999999999997,4.167,0.801,47.7,0.0,877.2,3.1903121831302403,Heavy Main,
bulgogi,55.0,42.53999999999999,16.21,1.04,5.985,9.386,5.0,60.650000000000006,3.78,685.5000000000001,6.93971600973789,Full Main,
bun_bo_hue,47.42,23.01,134.75000000000006,5.460000000000001,4.5,6.486,2.88,64.3,18.64,962.9,4.863058728465313,Heavy Main,
bun_cha,39.245,17.224999999999998,139.875,2.555,1.8650000000000002,3.0759999999999996,0.885,55.35000000000001,6.27,896.3000000000001,2.811740554683765,Heavy Main,
burrito,53.81000000000001,24.080000000000002,100.71999999999998,13.1,7.44,6.3100000000000005,0.75,457.7,6.01,847.6999999999999,5.642069254196187,Heavy Main,
butter_chicken,52.602000000000004,58.796,20.259000000000004,4.264,6.114,4.058,0.7060000000000002,149.69,20.287000000000003,807.2900000000001,4.509626626214222,Heavy Main,
ca_phe_sua_da,1.9949999999999999,1.98,22.88,0.0,0.068,0.2495,0.27,68.3,0.0,114.15,3.0931680865977844,Side/Snack,
caesar_salad,13.959999999999999,22.985,20.724999999999998,3.04,3.1390000000000002,1.321,0.40499999999999997,379.95,19.099999999999998,337.34999999999997,6.166558767714838,Light Main,
caprese,23.640000000000004,37.67,7.015,1.52,1.004,3.08,2.2,526.0,17.58,455.35,7.866406619014502,Full Main,
ceviche,31.475,5.435,9.995000000000001,3.3600000000000003,1.5850000000000002,1.044,1.5,49.550000000000004,22.400000000000002,205.65,12.992279082724012,Light Main,
chana_masala,44.892,28.656,138.339,38.754000000000005,16.097,7.501000000000001,0.0,283.89,27.467000000000002,941.89,6.162542119076322,Heavy Main,
char_siu,56.105000000000004,28.4,33.295,0.545,2.225,4.026,1.4000000000000001,32.85,2.8600000000000003,620.9000000000001,4.968299984405637,Full Main,
cheesecake,50.43000000000001,116.53999999999999,88.09,0.8099999999999999,3.5559999999999996,6.1930000000000005,3.0709999999999997,1192.3999999999999,0.6000000000000001,1591.8,3.4099960711344055,Heavy Main,
chicken_salad,30.709999999999997,24.05,5.82,2.1750000000000003,2.3,2.243,0.38,73.15,13.89,361.25,5.610295740399547,Light Main,
chicken_sandwich,43.75000000000001,24.939999999999998,41.07,2.78,4.595,3.185,0.46499999999999997,242.5,6.01,569.9,5.098766726245232,Full Main,
chile_relleno,23.889999999999997,44.519999999999996,27.36,3.33,2.892,2.98,1.3399999999999999,475.3999999999999,159.23999999999998,594.3,7.394796016704144,Full Main,
chow_fun,27.854999999999997,27.415,129.78,2.5599999999999996,3.0889999999999995,4.4750000000000005,2.0,39.199999999999996,6.76,900.95,3.4655066277242867,Heavy Main,
chow_mein,41.04500000000001,23.244999999999997,119.25999999999999,6.749999999999999,6.809,3.6950000000000003,0.24,73.0,19.74,856.5500000000001,3.664901893843579,Heavy Main,
churro,13.434999999999999,64.52,100.465,4.34,6.607000000000001,1.6265,0.4155,47.3,0.0,1020.5500000000001,1.6484727309772629,Heavy Main,
churros_spanish,13.434999999999999,64.52,100.465,4.34,6.607000000000001,1.6265,0.4155,47.3,0.0,1020.5500000000001,1.6484727309772629,Heavy Main,
clam_chowder,28.985000000000003,43.300000000000004,27.075,2.86,3.4350000000000005,2.0795,1.6135000000000002,151.6,21.16,595.75,5.114757066498569,Full Main,
club_sandwich,37.540000000000006,27.819999999999997,46.36,3.0499999999999994,4.745,3.025,0.945,257.7,6.01,592.1999999999999,5.137354390140612,Full Main,
coleslaw,2.61,22.73,17.869999999999997,4.87,1.055,0.4755,0.03,77.44999999999999,57.16,279.05,5.497732075406327,Light Main,
