dish_id,name,primary_cuisine,primary_coarse,description
soto_bandung,Soto Bandung,Indonesian,soup,"The soup is a clear beef soto that has pieces of meat, white radish, and fried soybeans."
soto_banjar,Soto Banjar,Indonesian,soup,"The soup is spiced with star anise, clove, cassia and lemongrass, and sour hot sambal, served with potato cakes."
pindang_patin,Pindang patin,Indonesian,soup,This spicy and savory soup where the main ingredients of this dish are usually catfish with herbs and spices
dhansak,Dhansak,Indian,stew,The stew is made by cooking mutton or goat meat with a mixture of lentils and vegetable
yin_yang_fried_rice,Yin yang fried rice,Chinese,rice,This dish is a fried rice featuring bechamel sauce and tomato sauce.
arroz_caldoso,Arroz caldoso,Spanish,rice,"The dish consists of rice cooked in broth, with various seasonings and ingredients. The recipe varies by region, ranging from a risotto-like consistency to a rice soup or a dish resembling paella."
arroz_con_huevo_frito,Arroz con huevo frito,Central American,rice,The dish is made with rice with fried egg.
arroz_con_maiz,Arroz con maiz,Latin American,rice,The dish is made with rice and corn cooked in one pot.
arroz_de_lisa,Arroz de lisa,Colombian,rice,"The dish is made with mullet, typically including Vegetable, and spices. It is usually served in a leaf with minced chives, accompanied by bollo, avocado salad, and guarapo. "
baghali_polo,Baghali polo,Iranian,rice,"The dish consists of rice, fava beans and dill. It is made by cooking rice and green broad beans in boiling water. When cooked, the rice and beans are layered with dill in a pan, and everything is baked in an oven until ready. Saffron water can also be added to the rice.[1] It is typically served with meat. Like other Iranian traditional foods, the dish may be served at special occasions and family gatherings."
bnh_chng,Bánh chưng,Vietnamese,rice,"The dish is made from glutinous rice, mung beans, pork and other ingredients."
bhakri,Bhakri,Indian,bread,The dish is a round flatbread. It is coarser than a regular wheat flatbread. It can be either soft or hard in texture.
chazuke,Chazuke,Japanese,rice,"The dish is made by pouring green tea, dashi, or hot water over cooked rice. This dish provides a way to use leftover rice as a quick snack because it is easy to make."
chelow,Chelow,Iranian,rice,"The dish is made with rice that is carefully prepared through soaking and parboiling, at which point the water is drained and the rice is steamed. This method results in an exceptionally fluffy rice with the grains separated and not sticky; it also results in a golden rice crust at the bottom of the pot."
cm_tm,Cơm tấm,Vietnamese,rice,The dish is made of rice with fractured rice grains.
dal_bhat,Dal bhat,Indian Subcontinent,rice,The dish consists of steamed rice and a cooked lentil or other pulses stew called dal.
gaifan,Gaifan,Chinese,rice,"The dish consists of a fish, meat, or vegetable topping served over rice. The dish can be either freshly cooked or previously cooked, such as char siu."
gimbap,Gimbap,Korean,rice,"The dish is made from cooked rice, Vegetable, fish, and meat rolled in gim—dried sheets of seaweed—and served in bite-sized slices."
jiuniang,Jiuniang,Chinese,rice,"The dish consists of a mixture of partially digested rice grains floating in a sweet saccharified liquid, with small amounts of alcohol and lactic acid. It is made by fermenting glutinous rice with a starter called jiuqu containing Rhizopus oryzae or Aspergillus oryzae and often yeast and bacteria. "
