dish_id,H_foodcom_bert,H_foodcom_bert_std,n_foodcom_bert,H_foodcom_bert_ci95,H_foodcom_bert_cal,H_foodcom_star
ackee_saltfish,7.806666088104248,0.233547135332166,5,0.2047130900568019,9.247164814225329,10.0
aloo_gobi,7.074841044165871,1.3848977473907906,187,0.19849655644892256,8.592756879540564,8.737967914438503
aloo_mutter,7.054548263549805,1.5770815315984623,6,1.261928044826518,8.574610798367248,9.666666666666666
aloo_paratha,6.666294468773736,1.5964169682139564,9,1.0429924192331181,8.227428960197846,7.111111111111111
aloo_tikki,7.997788429260254,0.05204276233795456,5,0.04561749249521665,9.418069018152176,10.0
anadama_bread,7.584907293319702,0.6921963447118326,34,0.2326729597674354,9.048865075653719,9.588235294117647
animal_cracker,7.739074059895107,0.3565840536333355,14,0.18679015015961511,9.186723100802327,9.142857142857142
anzac_biscuit,7.089818477630615,1.2881366651479242,69,0.3039439253967858,8.60614990480217,8.405797101449275
apple_bread,7.382319541709495,1.1357202016292163,697,0.08431620152270781,8.867708345337135,9.107604017216643
apple_crisp,7.406143167495728,1.1970858644386828,1000,0.07419615057378887,8.889011756414147,8.842
apple_dumpling,7.453940494950995,1.110920805923742,83,0.2390012243319651,8.931752778469258,9.204819277108435
apple_pie,7.377251567840577,1.167097637637353,1000,0.07233746102002349,8.86317649398815,8.944
apple_strudel,7.193023353815079,1.2879793380272861,88,0.26910615516826947,8.698437112561294,8.522727272727273
arepa,7.0209230695452005,1.3068218027210137,7,0.9681071394055357,8.544542691318728,6.0
arroz_con_gandules,6.995215769471793,1.4622274905020805,58,0.37631975658221395,8.521554873005181,7.758620689655173
arroz_con_pollo,7.16904010793619,1.3245991757079756,228,0.1719384978999561,8.676990967020583,8.403508771929825
atlantic_beach_pie,6.80587371190389,1.4100727132024753,6,1.1282931582055171,8.35224262294175,8.333333333333334
baba_ganoush,7.0155065059661865,1.3995568729472194,97,0.2785228019513384,8.539699126297018,8.65979381443299
bacon_and_egg_pie,7.272121342745694,1.1648702316681316,22,0.48676828899182417,8.769167612976036,9.0
bagel,7.304311076800029,0.9568809168683928,24,0.38283209851923494,8.797952112160685,8.25
baked_beans,7.405583618402481,1.126038400257371,1000,0.06979258312146223,8.888511399984015,8.868
baked_potato,7.413138733029365,1.1305466306968304,1000,0.07007200613901188,8.895267286517605,9.174
bakewell_tart,7.7394162091341885,0.4772411281210661,11,0.2820314838860791,9.187029055318035,9.454545454545455
baklava,7.532445022038051,0.9708915887238581,119,0.1744429125914566,9.001952597210048,9.193277310924369
banana_boat,7.52297495007515,1.0994313034143786,40,0.34071729086835506,8.99348432971102,8.55
banana_bread,7.408388009905815,1.150812227156857,1000,0.07132808082094025,8.891019125111688,8.638
banana_cream_pie,7.349349074532616,1.234738960942086,734,0.08932709148791804,8.838225703946922,8.904632152588556
banh_mi,7.566080193770559,0.5673471718622324,38,0.18039029440826024,9.032029626478934,9.473684210526315
banh_xeo,6.8152320861816404,2.0049069152374046,5,1.7573783952038562,8.36061100884742,4.0
bannock,7.010217819895063,1.5034675895666418,28,0.5568921884734687,8.534969911086817,7.428571428571429
banoffee_pie,7.28693984236036,1.4943300828453654,28,0.5535076086191937,8.782418517421414,7.714285714285714
barbari_bread,5.747300177812576,1.2923871652591343,8,0.8955786139037292,7.405651732271192,4.75
bean_pie,7.11329859867692,1.100332755732093,64,0.2695815251543628,8.627146149256129,8.46875
bean_salad,7.55839627623558,0.9333135111287126,1000,0.05784737073704255,9.025158562628354,9.054
beef_bourguignon,7.296663360517533,1.2915893933696445,122,0.22919261824627643,8.791113419963775,8.60655737704918
beef_bun,7.361131974628994,1.057626755166919,14,0.554018774528808,8.848762133904511,9.571428571428571
beef_stroganoff,7.205441468119622,1.266601281796786,1000,0.07850476078022557,8.709541559726674,8.752
beer_bread,7.4285954144001005,1.1044937357024875,1000,0.06845723097767474,8.909088861792576,8.836
belgian_bun,6.135823535919189,1.3697968802610094,5,1.2006799043352567,7.753074617646985,3.2
belgian_waffle,7.3274911480105445,1.345123788237427,368,0.13743407228389432,8.818680047959498,8.483695652173912
biryani,6.914800159392819,1.4342293042675323,31,0.5048865672424979,8.44964613779028,8.129032258064516
biscotti,7.245230161226713,0.8079059424018984,13,0.4391826730862245,8.74512115172846,7.846153846153846
black_and_white_cookie,5.741006340299334,1.8732040218175012,14,0.9812442731235352,7.4000236969335145,6.142857142857143
black_bottom_pie,7.304504489898681,1.8605900415475904,10,1.1532056553310694,8.798125064791204,8.8
black_pudding,7.685673296451569,0.4593741319556014,8,0.31833003253133985,9.138971409868644,8.0
blackberry_pie,7.396327497423157,1.2016719016334305,129,0.20737057052024122,8.880234450372297,8.651162790697674
blueberry_pie,7.500976023003786,1.0115798965135046,683,0.07586577687053037,8.9738125891095,8.983894582723279
bobotie,6.99097017808394,1.1275731264324529,22,0.4711828206655191,8.517758407286149,8.454545454545455
boiled_egg,6.846078916832253,1.5921083351782843,27,0.6005467282508965,8.388194665494373,8.962962962962964
boiled_peanuts,7.131614534478438,1.1061679590439462,38,0.3517105111178312,8.643524508836702,8.526315789473685
borracho_beans,6.853039059722633,1.5265518415678478,57,0.3963055925431936,8.394418520187145,8.175438596491228
borscht,7.225912397558039,1.3307596808312705,11,0.7864287157275314,8.72784694400647,7.818181818181818
boston_bun,7.838024457295735,0.25400879017787475,6,0.20324936253170647,9.275205895611732,8.333333333333334
bratwurst,7.370054435729981,1.2566282590865445,10,0.7788662642857497,8.856740720302676,8.8
bread_pudding,7.449500089287758,1.0707202548928432,1000,0.06636392894981365,8.927782107168365,8.928
bread_roll,7.238094360597672,1.1056384548019254,31,0.3892139160699484,8.738740221490215,8.838709677419354
breadstick,6.8961548686027525,1.67945084699748,20,0.7360517867161689,8.432973264487313,7.7
breakfast_roll,7.437194725741511,1.1126603855481039,46,0.321543534611298,8.916778483268711,8.956521739130435
breakfast_sausage,7.3018788560026,1.2053510612732128,696,0.08954987957494379,8.795777187153776,8.60344827586207
brigadeiro,7.338109563378727,1.2567538873112853,17,0.5974228755687321,8.828175179792268,8.705882352941176
brioche,7.059154009414931,1.4300029774690926,59,0.3648942394586321,8.57872931913153,7.728813559322034
brisket,7.081289459677303,1.425179205964701,51,0.39114741142351184,8.598523140632308,9.019607843137255
brown_bread,7.233497141661802,1.2727044745074152,211,0.17172851510179024,8.734629325622363,8.644549763033176
brownie,6.982838364892574,1.578389657625961,697,0.11718011202304632,8.51048682903137,8.18651362984218
bruschetta,7.81058381153987,0.46741037739447266,78,0.10373065502554546,9.250668095950116,9.256410256410257
buffalo_wings,7.398014276999015,1.2171402593901839,540,0.10265965945609828,8.881742791672787,8.718518518518518
bulgogi,7.797319065440785,0.33892103612590513,11,0.20028953312370049,9.238806579087965,8.0
bunny_chow,6.462065835793813,1.78768972811321,12,1.011480682838617,8.044804931382652,6.833333333333333
burrito,7.86151257428256,0.30407793366904384,11,0.17969857540848358,9.29620929014475,9.636363636363637
butter_chicken,7.281174966855724,1.281691299892853,897,0.08387707674474625,8.777263487125644,8.780379041248606
butter_cookie,7.37384319196553,1.1525195302283495,219,0.15264490307849957,8.860128677798345,8.684931506849315
butter_pecan,7.441790931419639,1.147384724256431,257,0.1402809096131111,8.920888473067672,8.980544747081712
butter_pie,7.5616671145414545,0.8854844538369119,659,0.06760741096452892,9.02808339084811,9.244309559939301
butter_tart,7.243741697735256,1.5686214265823688,90,0.3240805443101347,8.743790147375213,8.71111111111111
