winner,loser
arroz_con_pollo,hutspot
pasta_carbonara,breakfast_roll
crumpet,roti_canai
beef_stroganoff,pain_de_mie
gumbo,gyro
breakfast_roll,orange_chicken
snickerdoodle,roti_canai
breakfast_roll,chicken_and_mushroom_pie
flapper_pie,wiener_schnitzel
korokke,roti_canai
aloo_tikki,muhammara
osso_buco,treacle_tart
cowboy_cookies,fried_egg
wiener_schnitzel,egg_pie
jambalaya,creme_brulee
pineapple_cake,honey_bun
breakfast_roll,kimchi
hutspot,injera
aloo_tikki,hoppin_john
tres_leches_cake,cowboy_cookies
pupusa,pain_de_mie
risotto,fish_and_chips
creme_brulee,lamington
crepe,pineapple_cake
cowboy_cookies,tortilla
red_beans_and_rice,pain_de_mie
green_tea_ice_cream,stuffed_tomatoes
stuffed_tomatoes,coleslaw
fried_ice_cream,lobster_thermidor
risotto,hutspot
aloo_tikki,guacamole
dan_dan_noodles,wiener_schnitzel
cowboy_cookies,samosa
chalupa,pain_de_mie
crumpet,hoppin_john
breakfast_roll,cobbler
cobb_salad,banana_cream_pie
vegetarian_chili,pineapple_cake
joe_frogger,coffee_jelly
paneer_butter,kraft_dinner
pineapple_cake,green_tea_ice_cream
stuffed_cucumber,stuffed_tomatoes
cowboy_cookies,hot_cross_bun
figgy_pudding,lobster_thermidor
risotto,rye_bread
gumbo,rice_and_gravy
creme_brulee,chocolate_brownie
belgian_waffle,pain_de_mie
butter_chicken,roti_canai
breakfast_roll,egg_in_the_basket
dirty_rice,hoppin_john
wonton_soup,lobster_thermidor
cowboy_cookies,cornbread
hoppin_john,shepherds_pie
shish_taouk,hutspot
kung_pao_chicken,stuffed_apples
borracho_beans,cowboy_cookies
massaman_curry,belgian_waffle
paella,lobster_thermidor
drunken_noodles,belgian_waffle
stuffed_apples,spelt_bread
pineapple_cake,stuffed_squash
coffee_jelly,fudge
choux_pastry,coffee_jelly
hangtown_fry,stuffed_apples
kraft_dinner,melba_toast
coconut_candy,stuffed_apples
cobb_salad,tahini_cookie
stuffed_mushrooms,pain_de_mie
katsu,lobster_thermidor
moros_y_cristianos,lobster_thermidor
apple_crisp,lobster_thermidor
belgian_waffle,egg_sandwich
breakfast_roll,coleslaw
breakfast_roll,moussaka
jambalaya,roti_canai
stuffed_tomatoes,eggplant_parm
pad_thai,pain_de_mie
chicken_and_mushroom_pie,lobster_thermidor
spare_ribs,aloo_tikki
hoppin_john,soda_bread
osso_buco,huevos_rancheros
rum_ball,hutspot
cookie_cake,coffee_jelly
stuffed_tomatoes,chocolate_brownie
focaccia,hoppin_john
chicken_curry,kraft_dinner
cowboy_cookies,pan_dulce
elote,stuffed_apples
belgian_waffle,fried_chicken
osso_buco,rosette
osso_buco,hardtack
chile_relleno,hutspot
conch_fritters,hutspot
whole_wheat_bread,stuffed_apples
souvlaki,stuffed_tomatoes
apple_strudel,pineapple_cake
polenta,roti_canai
aloo_tikki,chicken_salad
beer_bread,hoppin_john
kraft_dinner,breakfast_sausage
challah,kraft_dinner
hoppin_john,smoked_egg
gulab_jamun,hoppin_john
stuffed_tomatoes,red_beans_and_rice
cobb_salad,french_fries
creme_brulee,pita
cowboy_cookies,panna_cotta
cowboy_cookies,butter_pecan
breakfast_roll,scone
