dish_id,ingredients_json,n_ingredients,cook_method,total_grams,calories_approx,protein_g_approx
rawon,"[{""name"": ""beef"", ""grams"": 200}, {""name"": ""garlic"", ""grams"": 20}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""ginger"", ""grams"": 15}, {""name"": ""turmeric"", ""grams"": 5}, {""name"": ""chili"", ""grams"": 10}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 15}, {""name"": ""black_pepper"", ""grams"": 2}]",9,braise,322.0,380,28.0
soto_betawi,"[{""name"": ""beef"", ""grams"": 150}, {""name"": ""coconut_milk"", ""grams"": 200}, {""name"": ""potato"", ""grams"": 100}, {""name"": ""tomato"", ""grams"": 80}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 15}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""turmeric"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 20}]",10,braise,635.0,580,28.0
soto_bandung,"[{""name"": ""beef"", ""grams"": 100}, {""name"": ""onion"", ""grams"": 30}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 5}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""soybean"", ""grams"": 20}, {""name"": ""cabbage"", ""grams"": 40}, {""name"": ""celery"", ""grams"": 10}, {""name"": ""lime"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 3}, {""name"": ""black_pepper"", ""grams"": 1}]",11,boil,236.0,280,32.0
soto_banjar,"[{""name"": ""chicken"", ""grams"": 150}, {""name"": ""rice_noodle"", ""grams"": 80}, {""name"": ""potato"", ""grams"": 100}, {""name"": ""egg"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 40}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""lemon"", ""grams"": 20}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""cabbage"", ""grams"": 30}, {""name"": ""celery"", ""grams"": 15}, {""name"": ""salt"", ""grams"": 3}]",12,boil,513.0,420,28.0
gulai,"[{""name"": ""chicken"", ""grams"": 100}, {""name"": ""beef"", ""grams"": 50}, {""name"": ""coconut_milk"", ""grams"": 120}, {""name"": ""turmeric"", ""grams"": 5}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 15}, {""name"": ""onion"", ""grams"": 40}]",8,braise,350.0,450,25.0
pindang_patin,"[{""name"": ""fish"", ""grams"": 200}, {""name"": ""onion"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 15}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""chili"", ""grams"": 10}, {""name"": ""turmeric"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""sugar"", ""grams"": 5}, {""name"": ""tomato"", ""grams"": 50}, {""name"": ""lemon"", ""grams"": 20}, {""name"": ""vegetable_oil"", ""grams"": 15}]",11,boil,385.0,320,28.0
chicken_tikka_masala,"[{""name"": ""chicken"", ""grams"": 200}, {""name"": ""yogurt"", ""grams"": 100}, {""name"": ""tomato_sauce"", ""grams"": 150}, {""name"": ""onion"", ""grams"": 80}, {""name"": ""garlic"", ""grams"": 15}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""turmeric"", ""grams"": 3}, {""name"": ""cumin"", ""grams"": 3}, {""name"": ""coriander"", ""grams"": 3}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""butter"", ""grams"": 20}, {""name"": ""cream"", ""grams"": 50}]",12,braise,639.0,620,45.0
chicken_tikka,"[{""name"": ""chicken"", ""grams"": 200}, {""name"": ""yogurt"", ""grams"": 100}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""lemon"", ""grams"": 20}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""cumin"", ""grams"": 3}, {""name"": ""coriander"", ""grams"": 3}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""salt"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 15}]",11,grill,373.0,420,38.0
saag,"[{""name"": ""spinach"", ""grams"": 200}, {""name"": ""mustard"", ""grams"": 50}, {""name"": ""onion"", ""grams"": 80}, {""name"": ""garlic"", ""grams"": 15}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""butter"", ""grams"": 20}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""cumin"", ""grams"": 3}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""cheese"", ""grams"": 60}]",10,braise,445.0,320,18.0
dhansak,"[{""name"": ""lamb"", ""grams"": 150}, {""name"": ""lentil"", ""grams"": 80}, {""name"": ""onion"", ""grams"": 60}, {""name"": ""tomato"", ""grams"": 50}, {""name"": ""garlic"", ""grams"": 10}, {""name"": ""ginger"", ""grams"": 10}, {""name"": ""turmeric"", ""grams"": 2}, {""name"": ""coriander"", ""grams"": 5}, {""name"": ""chili"", ""grams"": 5}, {""name"": ""vegetable_oil"", ""grams"": 15}]",10,braise,387.0,420,32.0
