winner,loser
fish_and_chips,chimichurri
korma,churrasco
eggs_benedict,lasagna
kebab,churros_mexican
moussaka,callaloo
korma,eggplant_parm
blini,brownie
adobo,donburi
pav_bhaji,bruschetta
korean_fried_chicken,picanha
pide,moussaka
sushi,galaktoboureko
aloo_gobi,french_onion_soup
korma,gulab_jamun
prosciutto,french_onion_soup
dolma,aji_de_gallina
french_onion_soup,manty
biryani,chilaquiles
massaman,caesar_salad
korma,aji_de_gallina
souffle,paneer_butter
tom_kha,raclette
nasi_goreng,dim_sum
manti_turkish,fish_and_chips
moussaka,cannoli
sfeeha,fresh_spring_roll
boat_noodles,caesar_salad
kebab,tortilla_espanola
dolma,bouillabaisse
tahdig,brownie
kebab,saganaki
club_sandwich,roti_caribbean
moussaka,duck_confit
dolma,lomo_saltado
papaya_salad,mafe
dan_dan_noodles,piri_piri
coq_au_vin,borek
tahdig,kebab
dim_sum,roti_caribbean
pajeon,souffle
manty,donburi
larb,currywurst
pupusa,donburi
penne_arrabbiata,pernil
fresh_spring_roll,satay_indonesian
dan_dan_noodles,arepa
pupusa,orange_chicken
tom_yum,okra_soup
kebab,meatloaf
manti_turkish,fresh_spring_roll
tagine,lasagna
mofongo,fish_and_chips
gambas_al_ajillo,lasagna
souffle,chimichurri
okra_soup,club_sandwich
dumplings,biltong
doro_wot,penne_arrabbiata
arancini,donburi
bandeja_paisa,takoyaki
kebab,bouillabaisse
pulled_pork,halo_halo
biryani,sancocho
tom_yum,pao_de_queijo
korma,cubano_sandwich
french_onion_soup,al_pastor
bruschetta,kare_kare
bandeja_paisa,fresh_spring_roll
biryani,lagman
char_siu_bao,caesar_salad
churrasco,dim_sum
coq_au_vin,lagman
larb,borek
saganaki,lasagna
biryani,pastelitos
korean_fried_chicken,massaman
tom_yum,boat_noodles
sushi,karaage
banh_xeo,caesar_salad
dan_dan_noodles,chili
malai_kofta,papaya_salad
halloumi,moussaka
currywurst,caesar_salad
wonton_noodle,sushi
tostones,korean_fried_chicken
nicoise_salad,dim_sum
fish_tacos,fish_and_chips
gambas_al_ajillo,souffle
doner_kebab,papaya_salad
egusi_soup,orange_chicken
peking_duck,manty
brownie,bandeja_paisa
dim_sum,bratwurst
gyudon,dim_sum
club_sandwich,feijoada
khao_man_gai,dim_sum
sopes,lasagna
causa,fish_and_chips
penne_arrabbiata,nicoise_salad
arepa,dolma
shakshuka,coq_au_vin
korean_fried_chicken,gulab_jamun
bruschetta,piri_piri
fresh_spring_roll,loukoumades
penne_arrabbiata,jerk_chicken
tom_yum,macarons
coq_au_vin,muhammara
shakshuka,dolma
lasagna,lagman
plov,korean_fried_chicken
shakshuka,brownie
larb,gambas_al_ajillo
tom_kha,schnitzel
laksa,caesar_salad
french_onion_soup,mofongo
pretzel,caesar_salad
tom_yum,massaman
french_onion_soup,tortilla_espanola
rendang,moussaka
injera,brownie
salt_pepper_squid,papaya_salad
korma,asado
lomo_saltado,bruschetta
chole_bhature,club_sandwich
dumplings,uttapam
sancocho,brownie
caesar_salad,ful_medames
mofongo,club_sandwich
dan_tat,bruschetta
dim_sum,coxinha
club_sandwich,manty
dan_dan_noodles,galette
kebab,uttapam
coq_au_vin,kofte
club_sandwich,kare_kare
bandeja_paisa,korean_fried_chicken
korma,fish_tacos
chole_bhature,larb
korean_fried_chicken,idli
sisig,penne_arrabbiata
shashlik,biryani
sushi,mee_goreng
bruschetta,chimichurri
ghormeh_sabzi,orange_chicken
al_pastor,dim_sum
dumplings,causa
dolma,gyudon
arepa,dumplings
hot_dog,papaya_salad
carnitas,donburi
sinigang,korean_fried_chicken
brownie,conch_fritters
shashlik,takoyaki
korma,ful_medames
korma,polenta
eggplant_parm,bruschetta
harissa,sushi
rendang,french_onion_soup
tom_yum,churrasco
biryani,galette
french_onion_soup,pav_bhaji
korean_fried_chicken,banh_xeo
coq_au_vin,pastelitos
papaya_salad,pasteis_de_nata
korean_fried_chicken,poutine
tzatziki,donburi
arancini,papaya_salad
dim_sum,rojak
fish_and_chips,idli
dan_dan_noodles,coquito
penne_arrabbiata,oxtail_stew
orange_chicken,plov
coq_au_vin,polenta
moussaka,roti_caribbean
sushi,cobb_salad
dolma,beef_tartare
souvlaki,donburi
fresh_spring_roll,pastitsio
bruschetta,jerk_chicken
oxtail_stew,orange_chicken
takoyaki,roti_caribbean
tom_kha,coxinha
french_onion_soup,saganaki
rendang,korma
gyudon,bruschetta
tom_kha,poutine
lahmacun,dumplings
takoyaki,katsu_curry
dan_dan_noodles,salt_pepper_squid
club_sandwich,focaccia
tahdig,donburi
paneer_butter,orange_chicken
peking_duck,sopes
egusi_soup,club_sandwich
tom_yum,karaage
korma,rice_and_peas
larb,kare_kare
tom_yum,couscous
laksa,tom_kha
galette,orange_chicken
aloo_gobi,penne_arrabbiata
shakshuka,lasagna
larb,kofte
sisig,bruschetta
larb,bun_rieu
kebab,stroganoff
souffle,eggs_benedict
dim_sum,biltong
penne_arrabbiata,bandeja_paisa
suya,bruschetta
jjajangmyeon,bruschetta
french_onion_soup,raclette
doro_wot,fresh_spring_roll
biryani,polenta
bruschetta,bossam
dumplings,meatloaf
churros_mexican,sushi
dan_dan_noodles,poutine
club_sandwich,fondue
budae_jjigae,biryani
tom_yum,ghormeh_sabzi
fresh_spring_roll,massaman
sushi,bun_rieu
korma,keftedes
dumplings,eclair
dan_dan_noodles,char_siu_bao
fattoush,sushi
profiterole,donburi
dumplings,pasteis_de_nata
kebab,lagman
club_sandwich,bun_rieu
coq_au_vin,hu_tieu
peking_duck,egusi_soup
loukoumades,kebab
kebab,jokbal
nasi_goreng,tom_kha
souffle,hu_tieu
jollof_rice,korean_fried_chicken
pav_bhaji,orange_chicken
malai_kofta,sushi
larb,biltong
peking_duck,pastitsio
harissa,orange_chicken
club_sandwich,blini
tom_yum,focaccia
aji_de_gallina,takoyaki
dolma,manty
moussaka,mee_goreng
sancocho,dolma
aji_de_gallina,papaya_salad
callaloo,korma
dim_sum,feijoada
pasteis_de_nata,brownie
jokbal,bruschetta
fresh_spring_roll,cobb_salad
club_sandwich,chilaquiles
dolma,piri_piri
pulled_pork,aji_de_gallina
tom_yum,harissa
meatloaf,fish_and_chips
french_onion_soup,banh_xeo
mujaddara,sushi
larb,dakgalbi
biryani,mole
dan_dan_noodles,jerk_chicken
souffle,raclette
peking_duck,bak_kut_teh
mofongo,penne_arrabbiata
penne_arrabbiata,biltong
adobo,fish_and_chips
warak_enab,sushi
budae_jjigae,orange_chicken
brownie,karaage
sushi,pot_roast
anticucho,korean_fried_chicken
wonton_noodle,korean_fried_chicken
coq_au_vin,tiropita
kebab,lumpia
french_onion_soup,char_kway_teow
shakshuka,sushi
sushi,ful_medames
tom_yum,plov
french_onion_soup,muhammara
rice_and_peas,orange_chicken
lahmacun,dolma
shakshuka,club_sandwich
dumplings,satay_indonesian
bruschetta,pretzel
french_onion_soup,macarons
dumplings,beef_tartare
jokbal,papaya_salad
bruschetta,fufu
fresh_spring_roll,eggplant_parm
dumplings,pretzel
dumplings,lagman
tom_kha,bossam
mole,brownie
pierogi,korean_fried_chicken
dan_dan_noodles,cannoli
fish_and_chips,fufu
mole,souffle
peking_duck,labneh
birria,korma
french_onion_soup,loukoumades
kebab,ful_medames
churros_mexican,dim_sum
schnitzel,lasagna
dolma,causa
tom_kha,biltong
chole_bhature,souffle
kitfo,dim_sum
souffle,tzatziki
shakshuka,fresh_spring_roll
coq_au_vin,caldo_verde
tom_yum,meatloaf
kunefe,larb
coq_au_vin,simit
peking_duck,cannoli
feijoada,orange_chicken
tom_yum,profiterole
jalebi,donburi
caesar_salad,plov
nicoise_salad,sushi
tom_kha,horiatiki
souvlaki,dumplings
kebab,fish_tacos
macarons,orange_chicken
peking_duck,karaage
suya,tom_yum
borscht,sushi
rice_and_peas,brownie
fresh_spring_roll,schnitzel
bruschetta,feijoada
biryani,loukoumades
stroganoff,bruschetta
kebab,pernil
biryani,mafe
fresh_spring_roll,churros_mexican
bruschetta,picanha
coq_au_vin,doner_kebab
bruschetta,adobo
souffle,arancini
pulled_pork,arroz_con_pollo
dumplings,massaman
aloo_gobi,pulled_pork
eggs_benedict,orange_chicken
sfeeha,dumplings
penne_arrabbiata,poutine
arancini,fresh_spring_roll
biryani,churrasco
suya,french_onion_soup
korean_fried_chicken,adobo
korma,uttapam
egusi_soup,sushi
callaloo,lasagna
aji_de_gallina,korean_fried_chicken
korma,rojak
sushi,fondue
tahdig,fish_and_chips
chole_bhature,dumplings
kebab,mujaddara
orange_chicken,coxinha
moussaka,rojak
tom_kha,eclair
lagman,fish_and_chips
egusi_soup,french_onion_soup
bossam,donburi
satay_indonesian,lasagna
kitfo,fish_and_chips
sancocho,caesar_salad
sisig,dumplings
dim_sum,poutine
fresh_spring_roll,hu_tieu
shakshuka,donburi
french_onion_soup,stroganoff
biryani,focaccia
tom_kha,lagman
carnitas,tom_kha
jjajangmyeon,brownie
french_onion_soup,chilaquiles
kebab,escovitch_fish
banh_xeo,kebab
papaya_salad,chili
coq_au_vin,manty
penne_arrabbiata,chili
fresh_spring_roll,poutine
ackee_saltfish,club_sandwich
currywurst,brownie
fresh_spring_roll,chimichurri
dim_sum,polenta
pulled_pork,pastelitos
korma,kare_kare
lasagna,couscous
korma,char_kway_teow
bandeja_paisa,fish_and_chips
prosciutto,penne_arrabbiata
lasagna,jerk_chicken
halloumi,pulled_pork
doner_kebab,bruschetta
larb,blini
takoyaki,jjajangmyeon
arroz_con_pollo,souffle
orange_chicken,sardines_grilled
bruschetta,bouillabaisse
korean_fried_chicken,caldo_verde
picanha,dumplings
kebab,oxtail_stew
moussaka,bouillabaisse
moussaka,jerk_chicken
pulled_pork,coquito
dolma,anticucho
peking_duck,churros_mexican
papaya_salad,couscous
dan_dan_noodles,escovitch_fish
sushi,eggplant_parm
