dish_id,name,primary_cuisine,primary_coarse,countries,region,description,ingredients_matched,n_ingredients,has_cdb_match,source
rawon,Rawon,Indonesian,soup,"[""Indonesia""]",South Eastern Asia,"The soup is composed of a ground mixture of garlic, shallots, star anise, ginger, candlenut, turmeric, red chili, and salt and is sautéed with oil.","['chili', 'garlic', 'ginger', 'onion', 'salt', 'turmeric', 'vegetable_oil']",7,False,worldcuisines
soto_betawi,Soto Betawi,Indonesian,soup,"[""Indonesia""]",South Eastern Asia,"The soup is made of beef or beef offal, cooked in a cow milk or coconut milk broth, with fried potato and tomato.","['beef', 'coconut', 'coconut_milk', 'milk', 'potato', 'tomato']",6,False,worldcuisines
soto_bandung,Soto Bandung,Indonesian,soup,"[""Indonesia""]",South Eastern Asia,"The soup is a clear beef soto that has pieces of meat, white radish, and fried soybeans.","['beef', 'soybean']",2,False,worldcuisines
soto_banjar,Soto Banjar,Indonesian,soup,"[""Indonesia""]",South Eastern Asia,"The soup is spiced with star anise, clove, cassia and lemongrass, and sour hot sambal, served with potato cakes.",['potato'],1,False,worldcuisines
gulai,Gulai,Indonesian,stew,"[""Indonesia""]",South Eastern Asia,"The spicy and rich stew where the main ingredients of this dish are usually poultry, goat meat, beef, mutton, various kinds of offal, fish and seafood, as well as vegetable such as cassava leaves, unripe jackfruit and banana stem.","['banana', 'beef', 'fish']",3,False,worldcuisines
pindang_patin,Pindang patin,Indonesian,soup,"[""Indonesia""]",South Eastern Asia,This spicy and savory soup where the main ingredients of this dish are usually catfish with herbs and spices,[],0,False,worldcuisines
chicken_tikka_masala,Chicken tikka masala,Indian Subcontinent,stew,"[""United Kingdom"", ""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Maldives"", ""Nepal"", ""Pakistan"", ""Sri Lanka""]",Southern Asia,The stew consists of roasted marinated chicken chunks in a spiced sauce.,"['butter', 'chicken', 'chili', 'cream', 'cumin', 'garlic', 'ginger', 'lemon', 'pepper', 'salt', 'tomato', 'yogurt']",12,True,worldcuisines
chicken_tikka,Chicken tikka,Indian Subcontinent,meat,"[""India"", ""Bangladesh"", ""Pakistan"", ""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Maldives"", ""Nepal"", ""Pakistan"", ""Sri Lanka""]",Southern Asia,The dish is small pieces of boneless chicken baked using skewers on a brazier.,"['butter', 'chicken', 'chickpea', 'chili', 'pepper', 'turmeric']",6,True,worldcuisines
saag,Saag,Indian Subcontinent,stew,"[""India""]",Southern Asia,"The stew is leafy vegetable dish eaten with bread. It can be made from mustard greens, collard greens, basella or finely chopped broccoli along with added spices and sometimes other ingredients, such as chhena. ","['bread', 'broccoli', 'butter', 'chili', 'cumin', 'mango', 'mustard', 'potato', 'tomato', 'turmeric']",10,True,worldcuisines
dhansak,Dhansak,Indian,stew,"[""India""]",Southern Asia,The stew is made by cooking mutton or goat meat with a mixture of lentils and vegetable,[],0,False,worldcuisines
dal_makhani,Dal Makhani,Indian,stew,"[""India""]",Southern Asia,"The stew is a modern variation of traditional lentil dishes, it is made with black lentils and other pulses, and includes butter and cream.","['butter', 'chili', 'cream', 'cumin', 'lentil', 'tomato']",6,True,worldcuisines
nasi_uduk,Nasi Uduk,Indonesian,rice,"[""Indonesia""]",South Eastern Asia,Steamed rice cooked in coconut milk dish,"['coconut', 'coconut_milk', 'milk', 'rice']",4,False,worldcuisines
nasi_campur,Nasi Campur,Indonesian,rice,"[""Indonesia""]",South Eastern Asia,"The dish of a scoop of white rice accompanied by small portions of several other dishes, which includes meats, Vegetable, peanuts, eggs, and fried-shrimp krupuk.","['egg', 'rice', 'shrimp']",3,False,worldcuisines
arrs_negre,Arròs negre,Spanish,rice,"[""Spain""]",Southern Europe,"The dish features white rice cooked with squid ink, giving it a dark color and enhancing its seafood flavor. It includes ingredients like squid or cuttlefish, garlic, green cubanelle peppers, sweet paprika, olive oil, and seafood broth. Some variations also include crab and shrimp.","['crab', 'garlic', 'olive_oil', 'rice', 'shrimp', 'squid', 'vegetable_oil']",7,False,worldcuisines
