Name,wc_id,primary_cuisine,primary_coarse,Cuisines,Countries,Region1,Text Description
Rawon,rawon,Indonesian,soup,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The soup is composed of a ground mixture of garlic, shallots, star anise, ginger, candlenut, turmeric, red chili, and salt and is sautéed with oil."
Soto Betawi,soto_betawi,Indonesian,soup,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The soup is made of beef or beef offal, cooked in a cow milk or coconut milk broth, with fried potato and tomato."
Soto Bandung,soto_bandung,Indonesian,soup,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The soup is a clear beef soto that has pieces of meat, white radish, and fried soybeans."
Soto Banjar,soto_banjar,Indonesian,soup,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The soup is spiced with star anise, clove, cassia and lemongrass, and sour hot sambal, served with potato cakes."
Gulai,gulai,Indonesian,stew,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The spicy and rich stew where the main ingredients of this dish are usually poultry, goat meat, beef, mutton, various kinds of offal, fish and seafood, as well as vegetable such as cassava leaves, unripe jackfruit and banana stem."
Pindang patin,pindang_patin,Indonesian,soup,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,This spicy and savory soup where the main ingredients of this dish are usually catfish with herbs and spices
Chicken tikka masala,chicken_tikka_masala,Indian Subcontinent,stew,"[""Indian Subcontinent"",""British""]","[""United Kingdom"", ""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Maldives"", ""Nepal"", ""Pakistan"", ""Sri Lanka""]",Southern Asia,The stew consists of roasted marinated chicken chunks in a spiced sauce.
Chicken tikka,chicken_tikka,Indian Subcontinent,meat,"[""Indian Subcontinent""]","[""India"", ""Bangladesh"", ""Pakistan"", ""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Maldives"", ""Nepal"", ""Pakistan"", ""Sri Lanka""]",Southern Asia,The dish is small pieces of boneless chicken baked using skewers on a brazier.
Saag,saag,Indian Subcontinent,stew,"[""Indian Subcontinent""]","[""India""]",Southern Asia,"The stew is leafy vegetable dish eaten with bread. It can be made from mustard greens, collard greens, basella or finely chopped broccoli along with added spices and sometimes other ingredients, such as chhena. "
Dhansak,dhansak,Indian,stew,"[""Indian""]","[""India""]",Southern Asia,The stew is made by cooking mutton or goat meat with a mixture of lentils and vegetable
Dal Makhani,dal_makhani,Indian,stew,"[""Indian""]","[""India""]",Southern Asia,"The stew is a modern variation of traditional lentil dishes, it is made with black lentils and other pulses, and includes butter and cream."
Nasi Uduk,nasi_uduk,Indonesian,rice,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,Steamed rice cooked in coconut milk dish
Nasi Campur,nasi_campur,Indonesian,rice,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The dish of a scoop of white rice accompanied by small portions of several other dishes, which includes meats, Vegetable, peanuts, eggs, and fried-shrimp krupuk."
Arròs negre,arrs_negre,Spanish,rice,"[""Spanish""]","[""Spain""]",Southern Europe,"The dish features white rice cooked with squid ink, giving it a dark color and enhancing its seafood flavor. It includes ingredients like squid or cuttlefish, garlic, green cubanelle peppers, sweet paprika, olive oil, and seafood broth. Some variations also include crab and shrimp."
Khao Phat,khao_phat,Thai,rice,"[""Thai""]","[""Thailand""]",South Eastern Asia,"The dish normally contains meat (chicken, shrimp, and crab are all common), egg, onions, garlic and sometimes tomatoes. The seasonings, which may include soy sauce, sugar, salt, possibly some chili sauce, and the ubiquitous nampla (fish sauce), are stir-fried together with the other ingredients. The dish is then plated and served with accompaniments like cucumber slices, tomato slices, lime and sprigs of green onion and coriander, and phrik nampla, a spicy sauce made of sliced chilies, chopped garlic cloves, fish sauce, lime juice and sugar. "
Hokkien fried rice,hokkien_fried_rice,Taiwanese,rice,"[""Taiwanese""]","[""China"",""Taiwan""]",Eastern Asia,"The dish is a fried rice featuring a saucy stir-fried topping on egg fried rice. The topping may include mushrooms, meat, Vegetable, and other ingredients, cooked with water, starch, broth, soy sauce, and oyster sauce."
Yin yang fried rice,yin_yang_fried_rice,Chinese,rice,"[""Chinese"", ""Cantonese""]","[""China""]",Eastern Asia,This dish is a fried rice featuring bechamel sauce and tomato sauce.
Chahan,chahan,Japanese,rice,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish is a Japanese fried rice made in a wok with rice and a variety of ingredients, such as scrambled egg, Vegetable, onion, garlic, mushrooms, tofu, pork, and seafood like crab, roe, and shrimp. It's fried using oils like canola, sesame, or sunflower, and seasoned with soy sauce, oyster sauce, sesame oil, salt, and pepper."
Omurice,omurice,Japanese,rice,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish consists of an omelette made with fried rice and thin, scrambled eggs, usually topped with ketchup."
Aligue fried rice,aligue_fried_rice,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is made by stir-frying pre-cooked rice with crab fat, toasted garlic, spring onions, black pepper, rock salt, and optionally butter. It has a bright orange-yellow color from the crab fat. It can be mixed with seafood like shrimp and squid or served alongside meat dishes."
Java rice,java_rice,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is a scoop of white rice served with small portions of various dishes, including meats, Vegetable, peanuts, eggs, and fried shrimp crackers."
Sinangag,sinangag,Filipino,rice,"[""Filipino""]","[""Philippines"",""Indonesia"",""Malaysia"",""Singapore""]",South Eastern Asia,"The dish is fried rice stir-fried with garlic, using preferably stale rice for a firmer texture. It is garnished with toasted garlic, rock salt, black pepper, and sometimes chopped scallions. The rice grains are ideally loose and not stuck together."
Yangzhou Fried Rice,yangzhou_fried_rice,Chinese,rice,"[""Chinese""]","[""China""]",Eastern Asia,"The egg fried rice with mixed Vegetable and two forms of protein, typically pork and shrimp with scallions. "
Akhni,akhni,Bangladeshi,rice,"[""Bangladeshi""]","[""Bangladesh""]",Southern Asia,"The mixed rice and meat dish, a variant of pilaf. "
Akki rotti,akki_rotti,Canarese,rice,"[""Canarese""]","[""India""]",Southern Asia,The dish is a rice-based flatbread made from rice flour.
Ampaw,ampaw,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is made from cooked white rice, which is dried in the sun for around four hours. The rice is then fried in hot oil until puffed, and the oil is drained. The sugar glazing is prepared separately with muscovado sugar or molasses, salt, butter, and vinegar or calamansi juice. The glazing is poured over the puffed rice and mixed until evenly coated. Once cooled, it is shaped into blocks or balls before hardening."
Appam,appam,Indian,pancake,"[""Indian"",""Sri Lankan""]","[""India"",""Sri Lanka""]",Southern Asia,"The dish is made with a fermented rice batter and coconut milk. They’re cooked in a deep pan like a wok, giving them their unique shape."
Arem-arem,aremarem,Indonesian,rice,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The dish is a compressed rice cake in a banana leaf, filled with diced Vegetable, tempeh, or oncom. It can also be filled with minced meat or beef floss and is eaten as a snack."
Arroz caldoso,arroz_caldoso,Spanish,rice,"[""Spanish""]","[""Spain""]",Southern Europe,"The dish consists of rice cooked in broth, with various seasonings and ingredients. The recipe varies by region, ranging from a risotto-like consistency to a rice soup or a dish resembling paella."
Arroz chaufa,arroz_chaufa,Chinese Peruvian,rice,"[""Chinese Peruvian""]","[""Peru""]",South America,"The dish is a fried rice mix with Vegetable, typically including scallions, eggs, and chicken. It’s cooked quickly at high heat, often in a wok, with soy sauce and oil."
Arroz con gandules,arroz_con_gandules,Puerto Rican,rice,"[""Puerto Rican""]","[""Puerto Rico""]",Caribbean,"The dish is a flavorful rice dish seasoned with sofrito, featuring pigeon peas, meats like ham or chorizo, and annatto oil for color. It is traditionally cooked for special occasions, often with a plantain leaf to enhance the aroma and flavor."
Arroz con huevo frito,arroz_con_huevo_frito,Central American,rice,"[""Central American"",""South American""]","[""United States""]",Northern America,The dish is made with rice with fried egg.
Arroz con maiz,arroz_con_maiz,Latin American,rice,"[""Latin American""]","[""Cuba"",""Dominican Republic"",""Venezuela"", ""Puerto Rico""]",Caribbean,The dish is made with rice and corn cooked in one pot.
Arroz de lisa,arroz_de_lisa,Colombian,rice,"[""Colombian""]","[""Colombia""]",South America,"The dish is made with mullet, typically including Vegetable, and spices. It is usually served in a leaf with minced chives, accompanied by bollo, avocado salad, and guarapo. "
Baghali polo,baghali_polo,Iranian,rice,"[""Iranian""]","[""Iran""]",Southern Asia,"The dish consists of rice, fava beans and dill. It is made by cooking rice and green broad beans in boiling water. When cooked, the rice and beans are layered with dill in a pan, and everything is baked in an oven until ready. Saffron water can also be added to the rice.[1] It is typically served with meat. Like other Iranian traditional foods, the dish may be served at special occasions and family gatherings."
Balao-balao,balaobalao,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is a condiment of cooked rice and whole raw shrimp fermented with salt and angkak.Once stir-fried, it can be eaten as is with rice or used as a dipping sauce for grilled or fried dishes."
Bannu pulao,bannu_pulao,Pakistani,rice,"[""Pakistani""]","[""Pakistan"",""United Arab Emirates"",""Saudi Arabia""]",Southern Asia,"The dish is made with beef, rice, spices, and stock. The beef is cooked with bones and marrow, which gives the dish a rich and flavorful taste. The rice is cooked separately with ghee, salt, and whole spices. The dish is served with a garnish of onions, green chilies, and lemon wedges."
Bánh chưng,bnh_chng,Vietnamese,rice,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,"The dish is made from glutinous rice, mung beans, pork and other ingredients."
Bah-oân,bahon,Taiwanese,dim sum,"[""Taiwanese""]","[""Taiwan"",""China""]",Eastern Asia,The dish is a disk-shaped translucent dough 6–8 cm diameter made of sweet potato starch filled with savory stuffing and served with sweet and savory sauce.
Baye baye,baye_baye,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,The dish is made from grated young coconut mixed with either newly harvested rice (pinipig) or corn and shaped into patties.
Bhakri,bhakri,Indian,bread,"[""Indian""]","[""India""]",Southern Asia,The dish is a round flatbread. It is coarser than a regular wheat flatbread. It can be either soft or hard in texture.
Bibingka,bibingka,Filipino,dessert,"[""Filipino""]","[""Philippines""]",South Eastern Asia,The dish is a type of baked rice cake that is traditionally cooked in a terracotta oven lined with banana leaves and is usually eaten for breakfast or as mid-afternoon snack especially during the Christmas season.
Biko,biko,Filipino,dessert,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is made of coconut milk, brown sugar, and sticky rice.It is usually topped with the coconut curds or the syrupy caramel-like variant."
Binignit,binignit,Filipino,dessert,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is traditionally made with glutinous rice cooked in coconut milk with various slices of bananas, taro, ube, and sweet potato, among other ingredients."
Bisi Bele Bath,bisi_bele_bath,Indian,rice,"[""Indian""]","[""India""]",Southern Asia,"The dish is a spicy, rice-based dish. It involves the use of a spicy masala (huliyanna), toor dal (a type of lentil), rice, ghee and Vegetable.Spices like nutmeg, asafoetida, curry leaves and tamarind pulp contribute to its unique flavour and taste."
Bhel puri,bhel_puri,Indian,snack,"[""Indian""]","[""India""]",Southern Asia,"The dish is made of puffed rice, crumbled crunchy puri, onions, cilantro and tossed with two chutneys: a green spicy cilantro chutney and a brown tangy tamarind chutney."
Bokkeum-bap,bokkeumbap,Korean,rice,"[""Korean""]","[""Korea""]",Eastern Asia,"The dish is made by stir-frying cooked rice with other ingredients in oil. It is a popular end-of-meal add-on.after eating main dishes cooked on a tabletop stove,then cooked rice along with seaweed flakes and sesame oil will be added directly into the remains of the main dish, stir-fried and scorched."
Boudin,boudin,French,meat,"[""French"", ""Luxembourgish"", ""Belgian"", ""Swiss"", ""Québec"", ""Acadian"", ""Aostan"", ""Louisiana Creole"", ""Cajun""]","[""France"", ""Luxembourg"", ""Belgium"", ""Switzerland"", ""Canada"", ""United States"", ""Italy""]",Western Europe,"The dish is essentially pig’s guts filled with blood and other ingredients, such as onions, spinach, etc."
Bubur ayam,bubur_ayam,Indonesian,rice,"[""Indonesian""]","[""Indonesia""]",South Eastern Asia,"The dish is rice congee with shredded chicken, served with condiments like chopped scallion, crispy fried shallot, celery, preserved Vegetable, fried soybean, crullers, and soy sauce. It is sometimes topped with yellow chicken broth and crackers"
Burasa,burasa,Indonesian,rice,"[""Indonesian""]","[""Indonesia"",""Malaysia""]",South Eastern Asia,"The dish is an Indonesian rice dumpling, cooked with coconut milk packed inside a banana leaf pouch."
Burong isda,burong_isda,Filipino,fish,"[""Filipino""]","[""Philippines""]",South Eastern Asia,The dish consisting of cooked rice and raw filleted fish fermented with salt and angkak (red yeast rice) for around a week.
Pe htaw bhut htamin,pe_htaw_bhut_htamin,Burmese,rice,"[""Burmese""]","[""Myanmar""]",South Eastern Asia,"The dish is a festive rice dish, typically associated with celebratory occasions like wedding receptions or almsgiving feasts. The rice dish is typically paired with a traditional chicken or mutton curry. It uses long-grained paw hsan hmwe or basmati rice, and in its most basic form, is cooked with butter, lentils, and bay leaves.Cashew nuts and raisins may be added, and the dish can be spiced with cinnamon sticks, cardamom pods or cloves, and garnished with fried golden onions to serve."
Cabidela,cabidela,Portuguese,stew,"[""Portuguese""]","[""Portugal""]",Southern Europe,"The dish is made with poultry, usually a Rooster (chicken). The particularity of the dish is that the hen's blood is added almost at the end, mixed with vinegar (so it doesn't clot) while the rice is boiling."
Champorado,champorado,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is traditionally made by boiling sticky rice with tablea (traditional tablets of pure ground roasted cocoa beans). It can be served hot or cold, usually for breakfast or merienda, with a drizzle of milk (or coconut milk) and sugar to taste. It is usually eaten as is, but a common pairing is with salted dried fish (daing or tuyo). "
Chao,chao,Vietnamese,rice,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,The dish is a form of savoury rice porridge made by boiling rice in a large amount of water until the rice softens. It is is sometimes cooked with pandan leaves or Asian mung bean. It is a simple breakfast food eaten with pickled Vegetable or fermented tofu.
Chazuke,chazuke,Japanese,rice,"[""Japanese""]","[""Japan""]",Eastern Asia,"The dish is made by pouring green tea, dashi, or hot water over cooked rice. This dish provides a way to use leftover rice as a quick snack because it is easy to make."
Chelow,chelow,Iranian,rice,"[""Iranian""]","[""Iran""]",Southern Asia,"The dish is made with rice that is carefully prepared through soaking and parboiling, at which point the water is drained and the rice is steamed. This method results in an exceptionally fluffy rice with the grains separated and not sticky; it also results in a golden rice crust at the bottom of the pot."
Chiayi turkey rice,chiayi_turkey_rice,Taiwanese,rice,"[""Taiwanese""]","[""Taiwan""]",Eastern Asia,"The dish is a bowl of rice with shredded turkey layered on top, often accompanied by pickled radish. The rice is drizzled with a kind of gravy made from the turkey drippings and soy sauce."
Chitranna,chitranna,Indian,rice,"[""Indian""]","[""India""]",Southern Asia,"The dish is prepared by mixing cooked rice with a special seasoning called Oggarane or Gojju. Characteristic for the seasoning are mustard seeds, fried lentils, peanuts, curry leaves, chillies, lemon juice and other optional items such as scrapes of unripe mango."
Cifantuan,cifantuan,Chinese,rice,"[""Chinese""]","[""China""]",Eastern Asia,The dish is made by tightly wrapping a piece of youtiao (fried dough) with glutinous rice. It is usually eaten as breakfast together with sweetened or savory soy milk.
Claypot rice,claypot_rice,Chinese,rice,"[""Chinese""]","[""China"",""Indonesia"",""Singapore"",""Thailand""]",South Eastern Asia,"The dish is made with cooked rice, finished in a claypot with other ingredients that flavor the rice. It is often served with chicken, sausage, and Vegetable."
Cơm tấm,cm_tm,Vietnamese,rice,"[""Vietnamese""]","[""Vietnam""]",South Eastern Asia,The dish is made of rice with fractured rice grains.
Curd rice,curd_rice,Indian,rice,"[""Indian""]","[""India""]",Southern Asia,The dish combining steamed white rice and yogurt.
Dal bhat,dal_bhat,Indian Subcontinent,rice,"[""Indian Subcontinent""]","[""India"", ""Bangladesh"", ""Nepal"", ""Bhutan"", ""Sri Lanka"", ""Trinidad and Tobago"", ""Guyana"", ""Suriname"", ""Jamaica"", ""Mauritius"", ""Fiji""]",Caribbean,The dish consists of steamed rice and a cooked lentil or other pulses stew called dal.
Dirty rice,dirty_rice,Louisiana Creole,rice,"[""Louisiana Creole""]","[""United States""]",Northern America,"The dish is made from white rice which gets a ""dirty"" color from being cooked with small pieces of pork, beef or chicken, green bell pepper, celery, and onion, and spiced with cayenne and black pepper. Parsley and chopped green onions are common garnishes."
Espasol,espasol,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is made from glutinous rice flour cooked in coconut milk and sweetened coconut strips and, afterwards, dusted or coated with toasted rice flour."
Étouffée,touffe,American,rice,"[""American""]","[""United States""]",Northern America,"The dish is made from shellfish, simmered in a sauce made from a light or blond roux, served over rice. It is most commonly made with crab, shrimp or crawfish."
Gaifan,gaifan,Chinese,rice,"[""Chinese""]","[""China""]",Eastern Asia,"The dish consists of a fish, meat, or vegetable topping served over rice. The dish can be either freshly cooked or previously cooked, such as char siu."
Gallo pinto,gallo_pinto,Nicaraguan,rice,"[""Nicaraguan"",""Costa Rican""]","[""Nicaragua"",""Costa Rica""]",Central America,"The dish consisting of rice and beans as a base. The beans are quickly cooked until the juice is almost consumed, then combined with prepared rice and other ingredients such as cooked oregano, bell peppers, coriander, chopped onions, and garlic. "
Ginataang mais,ginataang_mais,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is made by boiling glutinous rice until almost done. Sweet corn, coconut milk, and sugar are then added and the heat lowered shortly before the rice is fully cooked. It is eaten warm in colder months, but can also be eaten cold during summer."
Ginataang munggo,ginataang_munggo,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is a glutinous rice gruel dessert with toasted mung beans, coconut milk, and sugar. It is typically flavored with vanilla or pandan leaves. Corn and fruits like jackfruit or banana may also be added."
Gimbap,gimbap,Korean,rice,"[""Korean""]","[""Korea""]",Eastern Asia,"The dish is made from cooked rice, Vegetable, fish, and meat rolled in gim—dried sheets of seaweed—and served in bite-sized slices."
Goto,goto,Filipino,rice,"[""Filipino""]","[""Philippines""]",South Eastern Asia,"The dish is cooked with beef tripe, ginger and garnished with toasted garlic, scallions, black pepper, and chicharon. It is usually served with calamansi, soy sauce, or fish sauce as condiments, as well as a hard-boiled egg."
Gumbo,gumbo,American,stew,"[""American""]","[""United States""]",Northern America,"The dish consists primarily of a strongly flavored stock, meat or shellfish (or sometimes both), a thickener, celery, bell peppers, and onions. The okra or filé powder often used as thickener."
Hainanese chicken rice,hainanese_chicken_rice,Singaporean,rice,"[""Singaporean""]","[""Singapore"",""Indonesia"",""Thailand"",""Malaysia"",""Vietnam"",""Cambodia""]",South Eastern Asia,"The dish is poached chicken served with seasoned rice, accompanied by chili sauce and usually garnished with cucumber."
Hoppin' John,hoppin_john,American,rice,"[""American""]","[""United States""]",Northern America,"The dish is made with cowpeas, mainly, black-eyed peas and Sea Island red peas in the Sea Islands and iron and clay peas in the Southeast US, and rice, chopped onion, and sliced bacon, seasoned with salt. Some recipes use ham hock, fatback, country sausage, or smoked turkey parts instead of bacon. A few use green peppers or vinegar and spices."
Horchata,horchata,Spanish,beverages,"[""Spanish""]","[""Spain""]",Southern Europe,"The dish is a beverage, generally plant-based but sometimes containing milk. It is made with soaked, ground, and sweetened tiger nuts. In some regions, the base is jicaro, melon or sesame seeds, or white rice, along with other spices."
Hsi htamin,hsi_htamin,Burmese,rice,"[""Burmese""]","[""Myanmar""]",South Eastern Asia,"The dish consists of glutinous rice cooked with turmeric, salt, and onions, and served with roasted sesame seeds and fried onions, which renders a golden hue to the rice."
Htamanè,htaman,Burmese,rice,"[""Burmese""]","[""Myanmar""]",South Eastern Asia,"The dish is a glutinous rice-based savory snack, mixed with toasted sesame seeds, peanut, fried ginger, ground nut oil and fried coconut shavings."
Htamin jin,htamin_jin,Burmese,rice,"[""Burmese""]","[""Myanmar""]",South Eastern Asia,"The dish consists of either fresh or fermented rice, kneaded with boiled fish, fresh tomato paste, mashed boiled potatoes and garlic garnish."
Kiribath,kiribath,Sri Lankan,rice,"[""Sri Lankan""]","[""Sri Lanka""]",Southern Asia,"The dish is made form rice and coconut milk. The rice is cooked in coconut milk, sometimes with added ingredients such as sesame seeds or cashew. This dish is commonly compressed and cut into diamond or square shaped blocks before serving."
Rijsttafel,rijsttafel,Indonesian,side dish,"[""Indonesian""]","[""Indonesia"", ""Netherlands"", ""Belgium""]",Western Europe,"The dish consists of many side dishes served in small portions, accompanied by rice prepared in several different ways. Popular side dishes include egg rolls, sambals, satay, fish, fruit, Vegetable, pickles, and nuts."
Jambalaya,jambalaya,American,rice,"[""American""]","[""United States"",""Senegal""]",Western Africa,"The dish consisting mainly of meat or seafood (or both), and vegetable mixed with rice and spices."
Jiuniang,jiuniang,Chinese,rice,"[""Chinese""]","[""China""]",Eastern Asia,"The dish consists of a mixture of partially digested rice grains floating in a sweet saccharified liquid, with small amounts of alcohol and lactic acid. It is made by fermenting glutinous rice with a starter called jiuqu containing Rhizopus oryzae or Aspergillus oryzae and often yeast and bacteria. "
Jhalmuri,jhalmuri,Bangladeshi,rice,"[""Bangladeshi"", ""Indian""]","[""Bangladesh"", ""India""]",Southern Asia,"The dish is a popular street snack, made of puffed rice and an assortment of Indian spices, Vegetable, Bombay mix and mustard oil.."
Juk,juk,Korean,rice,"[""Korean""]","[""Korea""]",Eastern Asia,"The dish is made by boiling rice or other grains or legumes, such as beans, sesame, nuts, and pumpkin. It is often eaten warm, especially as a morning meal, but is now eaten at any time of the day."
Kabuli pulao,kabuli_pulao,Afghan,rice,"[""Afghan""]","[""Afghanistan""]",Southern Asia,"The dish core ingredients are steamed rice mixed with caramelized carrots and dry raisins as well as marinated lamb meat. Qabeli palaw is commonly garnished with almonds and pistachios. Saffron may be added to either the rice, the sauce or the garnishes."
