from_dish,to_dish,meal_role,E_reduction_pct,H_change,cal_from,cal_to,protein_from,protein_to
brisket,club_sandwich,Full Main,92.38841948270125,-3.692199999999999,649.47,592.1999999999999,65.85799999999999,37.540000000000006
dolma,coleslaw,Light Main,90.982601235472,-4.2311,326.9,279.05,4.57,2.61
taco,causa,Full Main,90.39231886277945,-1.3834999999999997,528.6,440.0,36.815000000000005,19.21
asado,club_sandwich,Full Main,90.28383493127711,-0.12009999999999987,625.0,592.1999999999999,65.0,37.540000000000006
picanha,club_sandwich,Full Main,90.28383493127711,-2.2672,625.0,592.1999999999999,65.0,37.540000000000006
ratatouille,coleslaw,Light Main,90.19752855647306,0.3056000000000001,263.85,279.05,3.84,2.61
anticucho,nicoise_salad,Full Main,90.16267504233521,-0.9474999999999998,534.6,421.4,53.454,27.16
koobideh,nicoise_salad,Full Main,90.15143584418455,-3.2381,523.53,421.4,52.752,27.16
gyudon,causa,Full Main,90.0977062511613,0.0,557.3000000000001,440.0,32.725,19.21
lahmacun,causa,Full Main,89.93151808643299,-2.7658999999999994,515.9499999999999,440.0,29.76,19.21
brisket,cobb_salad,Full Main,89.90545744971213,-5.722899999999999,649.47,524.8,65.85799999999999,43.43
osso_buco,hummus,Heavy Main,89.76444356612686,-0.9347000000000003,828.7,849.2000000000002,67.1,35.415
pot_roast,hummus,Heavy Main,89.51529354476719,4.4148,719.0,849.2000000000002,67.39999999999999,35.415
meatloaf,club_sandwich,Full Main,89.44467862600702,0.8030000000000008,681.1,592.1999999999999,59.97,37.540000000000006
bulgogi,club_sandwich,Full Main,88.73368369584307,-3.909399999999999,685.5000000000001,592.1999999999999,55.0,37.540000000000006
anticucho,club_sandwich,Full Main,88.42420730098613,-1.3354999999999997,534.6,592.1999999999999,53.454,37.540000000000006
koobideh,club_sandwich,Full Main,88.4109818938297,-3.6261,523.53,592.1999999999999,52.752,37.540000000000006
beef_bourguignon,hummus,Heavy Main,88.28919764184555,-1.3204000000000002,843.3499999999998,849.2000000000002,66.185,35.415
rendang,hummus,Heavy Main,88.24107233832117,-0.9876999999999994,820.56,849.2000000000002,57.497,35.415
birria,hummus,Heavy Main,87.96107966150689,0.10469999999999935,702.6,849.2000000000002,58.74399999999999,35.415
kofte,nicoise_salad,Full Main,87.82043841283082,0.2679,456.27,421.4,41.87199999999999,27.16
steak,hummus,Heavy Main,87.76712005236165,2.2485999999999997,745.02,849.2000000000002,65.663,35.415
churrasco,hummus,Heavy Main,87.75299805440082,4.8755,720.85,849.2000000000002,65.32,35.415
brisket,edamame,Full Main,87.44310704960813,-0.531699999999999,649.47,669.0,65.85799999999999,54.75
biltong,nicoise_salad,Full Main,87.41438318401681,0.8596000000000004,510.02,421.4,52.375,27.16
asado,cobb_salad,Full Main,87.11433959229123,-2.1508000000000003,625.0,524.8,65.0,43.43
picanha,cobb_salad,Full Main,87.11433959229123,-4.2979,625.0,524.8,65.0,43.43
japchae,gado_gado,Light Main,87.07483644371626,-0.4944000000000006,379.2000000000001,397.3,19.885,22.78
mofongo,causa,Full Main,86.85815784640356,-2.7658999999999994,514.9,440.0,19.22,19.21
