city_1,city_2,n_common_dishes,spearman_rho,p_value
Philadelphia,Tampa,158,0.3358362781980622,1.60441605222523e-05
Philadelphia,New Orleans,147,0.5011333670824865,1.014885272205023e-10
Philadelphia,Nashville,155,0.2860913280268119,0.0003077304908764933
Philadelphia,Tucson,156,0.42523114855146904,3.141814511000202e-08
Philadelphia,Indianapolis,151,0.3988253746950156,3.932688700483265e-07
Philadelphia,Reno,148,0.37659780037536517,2.387261084848078e-06
Philadelphia,Saint Louis,155,0.37455447778028417,1.5758108418766154e-06
Philadelphia,Santa Barbara,141,0.26300355323429936,0.0016279245775406405
Philadelphia,Edmonton,120,0.33486353218973536,0.00018521246598686823
Philadelphia,Boise,94,0.1944803670122458,0.060339444042685264
Philadelphia,Clearwater,89,0.31751787538304393,0.002429523598286707
Philadelphia,Saint Petersburg,81,0.13584010840108401,0.2265963963819404
Philadelphia,Metairie,65,0.13972902097902098,0.2669431767751676
Philadelphia,Cherry Hill,47,0.12569380203515265,0.3998688392992925
Tampa,New Orleans,147,0.383765649910464,1.6008703616387464e-06
Tampa,Nashville,155,0.3066836389417034,0.00010393166766114651
Tampa,Tucson,156,0.24650787880703637,0.001921296044455647
Tampa,Indianapolis,151,0.31466713140467056,8.319745993220693e-05
Tampa,Reno,148,0.30835094785238604,0.00013741380800317486
Tampa,Saint Louis,155,0.34464889948760913,1.126121286379318e-05
Tampa,Santa Barbara,141,0.15783637998201974,0.0615874443629626
Tampa,Edmonton,120,0.2910688242239044,0.001258602498460136
Tampa,Boise,94,0.28812628689087166,0.004861164889442188
Tampa,Clearwater,89,0.37720463057541714,0.0002686320609339849
Tampa,Saint Petersburg,81,0.19338301716350495,0.08367233820008961
Tampa,Metairie,65,0.289291958041958,0.01942309541907055
Tampa,Cherry Hill,47,0.2702358926919519,0.06619475477388241
New Orleans,Nashville,146,0.3788437623514215,2.414611718760002e-06
New Orleans,Tucson,146,0.20571852737315996,0.012736835862375555
New Orleans,Indianapolis,143,0.3625160051216389,8.614320644313141e-06
New Orleans,Reno,140,0.26973825195163026,0.0012688786379407584
New Orleans,Saint Louis,146,0.27334985009591933,0.0008428615569212375
New Orleans,Santa Barbara,133,0.1876740698421767,0.03052641192495544
New Orleans,Edmonton,112,0.3479174496873612,0.00017070126349326526
New Orleans,Boise,86,0.188754186518232,0.08177084773322657
