cuisine,n,H_mean,E_mean,DEI_mean,DEI_std
Polish,1,7.5688,0.1424313635192919,3.9729295892304752,
Thai,15,6.661206666666667,0.20695146736149742,3.9346807734589277,1.444355467315747
Lebanese,9,7.262988888888889,0.19789130106917427,3.9166789614896405,1.0393572573089205
Indonesian,11,6.114554545454545,0.23329853248563445,3.722923764433406,1.2233092653160462
Vietnamese,10,6.59658,0.2278500734147403,3.5360872302407778,0.9423005203706837
Eastern European,1,7.8508,0.2299651404148642,3.5304429823892574,
Spanish,8,6.744875,0.23344805644767894,3.4554291748996113,0.8454805558071466
Indian,23,6.592700000000001,0.21945025060134848,3.4241640029844356,0.6047955130076432
Greek,9,6.4989,0.27338177060861957,3.411660050075205,0.9407865181791515
Korean,16,6.26986875,0.25476955345726143,3.408229130908821,0.8594533211517266
Italian,22,6.172381818181818,0.247282538630862,3.37899181714769,0.8191637123938331
Mediterranean,12,6.6754500000000005,0.27086202389989905,3.3612133014331698,0.7343059808646012
Mexican,21,6.7015095238095235,0.25843588622710284,3.351466102901216,0.9474108733123721
African,16,6.1961562500000005,0.26686558710398234,3.346475988865251,0.8836089156060499
Caribbean,16,6.3195625,0.27454504575543187,3.2602105770016596,0.6500538296519478
Japanese,19,5.11311052631579,0.21424831599301863,3.230417156081785,0.8841204589931275
Chinese,25,5.802860000000001,0.22767670314697516,3.1917942450674683,0.6586042785808321
Filipino,6,5.311966666666667,0.2749699016114375,3.1565993914351345,0.9315026127955301
Persian,4,7.938174999999999,0.3807756693813501,3.1438254566133983,0.5446412299920834
Other,7,3.934885714285714,0.20535994810683006,3.1404206807260056,0.7886324949822973
French,18,6.315305555555556,0.3013789500862274,3.1104444618548164,0.5397154233831425
Portuguese,4,4.790625,0.21098037931013294,3.082666094926462,0.47371376584651914
German,5,5.324260000000001,0.23735661898106003,3.056518397724468,0.3821520705833368
Turkish,10,6.753220000000001,0.33685339790187685,3.0261423784342307,0.4681814416241957
South American,13,5.478515384615386,0.38283710762080986,2.9405077702121947,1.0181359821994584
Central Asian,4,5.420025,0.2895942505765421,2.9252058476951515,0.30229714813828074
American,25,5.119668,0.3585932167796034,2.868494220986323,0.9319207254076805
Swiss,2,4.007350000000001,0.23525297360661604,2.7875877351748146,0.4196252828336648
Russian,2,5.06635,0.3882784799327273,2.7862310578405323,0.8618651859950014
