dish_id,H_mean,E_composite,log_DEI,cuisine,source
rojak,7.084948704792903,0.00285504702091,7.816639599482666,Indonesian,expanded
som_tam,7.152893104486996,0.0035871560812386,7.597912473212097,Thai,expanded
kimchi,7.178,0.0107893163244967,6.500219656400783,Korean,original
papaya_salad,7.193,0.0108332800613693,6.49824072662393,Thai,original
fattoush,7.547246973752975,0.0210290629331569,5.883032706361671,Lebanese,expanded
harissa,7.581241381168366,0.0337149583840212,5.415490627990479,African,expanded
labneh,7.70992371726036,0.045353367769428,5.1357791369752,Lebanese,expanded
gozleme,7.829094552993775,0.1698328688860818,3.830787314843808,Turkish,expanded
simit,7.836113430204845,0.2085930123056449,3.6261132105333,Turkish,expanded
sfeeha,7.909607156117757,0.3120068417868014,3.232808278947876,Lebanese,expanded
biltong,7.936849236488342,0.5032713534949004,2.7581421590788824,African,expanded
