category,from_dish,to_dish,E_reduction_pct,H_change,E_from,E_to,H_from,H_to
Protein Main,beef_bourguignon,buffalo_wings,52.680036086521355,-0.5830000000000002,0.8163411367437777,0.386292331318037,7.344,6.761
Protein Main,beef_bourguignon,butter_chicken,69.94118257139881,-0.0470000000000006,0.8163411367437777,0.2453824918883798,7.344,7.297
Protein Main,beef_bourguignon,ceviche,95.17131444401544,-0.04300000000000015,0.8163411367437777,0.039418546557507,7.344,7.301
Protein Main,beef_bourguignon,chicken_salad,91.65031227948089,-0.391,0.8163411367437777,0.0681619356522414,7.344,6.953
Protein Main,beef_bourguignon,chicken_sandwich,71.75870248278655,-0.601,0.8163411367437777,0.2305453291832126,7.344,6.743
Protein Main,beef_bourguignon,fish_and_chips,60.14290362672923,-0.5430000000000001,0.8163411367437777,0.3253698736066217,7.344,6.801
Protein Main,beef_bourguignon,fried_chicken,51.79352108337108,-0.29600000000000026,0.8163411367437777,0.393529317972158,7.344,7.048
Protein Main,beef_bourguignon,hamburger,32.590275146762835,-0.6320000000000006,0.8163411367437777,0.5502933141427692,7.344,6.712
Protein Main,beef_bourguignon,kebab,47.45765789907684,-0.05800000000000072,0.8163411367437777,0.4289247527784806,7.344,7.286
Protein Main,beef_bourguignon,kung_pao_chicken,70.50767375231828,-0.8550000000000004,0.8163411367437777,0.2407579913425084,7.344,6.489
Protein Main,beef_bourguignon,orange_chicken,54.64019769057933,-0.9060000000000006,0.8163411367437777,0.3702907257974551,7.344,6.438
Protein Main,beef_bourguignon,pulled_pork,49.807219692882526,-0.3719999999999999,0.8163411367437777,0.4097443133224298,7.344,6.972
Protein Main,beef_bourguignon,ribs,33.34738711345864,-0.34000000000000075,0.8163411367437777,0.5441126977074214,7.344,7.004
Protein Main,beef_bourguignon,satay,71.19979439947046,-0.27800000000000047,0.8163411367437777,0.2351079257839079,7.344,7.066
Protein Main,beef_bourguignon,tandoori_chicken,65.81611054710324,-0.28300000000000036,0.8163411367437777,0.2790571517430138,7.344,7.061
Protein Main,beef_bourguignon,ackee_saltfish,81.87312686266894,-0.0040475965347965825,0.8163411367437777,0.1479771222253908,7.344,7.339952403465204
Protein Main,beef_bourguignon,beef_tartare,41.80297554983096,0.25747830986976616,0.8163411367437777,0.4750862509475642,7.344,7.6014783098697665
Protein Main,beef_bourguignon,carnitas,46.461329300674876,-0.09857979869842559,0.8163411367437777,0.4370581929843786,7.344,7.245420201301575
Protein Main,beef_bourguignon,doner_kebab,51.210489401569795,-0.03623510813713171,0.8163411367437777,0.3982888454309511,7.344,7.307764891862869
Protein Main,beef_bourguignon,escovitch_fish,64.53234857812862,0.015685101160189063,0.8163411367437777,0.2895370287936256,7.344,7.359685101160189
Protein Main,beef_bourguignon,fish_tacos,81.52689033449468,-0.1645992343425755,0.8163411367437777,0.1508035934353108,7.344,7.179400765657425
Protein Main,beef_bourguignon,iskender_kebab,55.01801756389171,0.15905340513586985,0.8163411367437777,0.3672064267488129,7.344,7.50305340513587
Protein Main,beef_bourguignon,jerk_chicken,66.86887246212295,-0.6413928108215332,0.8163411367437777,0.2704630231587363,7.344,6.702607189178467
