family,platform,n_dishes,alpha,r_squared,p_value
Beef,Yelp,6,0.4188058859746214,0.10245467056572143,0.5362690056463914
Beef,Google,6,0.789149322704976,0.4167483513348612,0.16617739485940272
Beef,TripAdvisor,6,0.8329972019071278,0.7535964050768306,0.024949299126196332
Rice Dish,Yelp,5,0.1732400520591431,0.06817126829914821,0.6713786069478285
Rice Dish,Google,5,-0.31460917023922425,0.05911412778549767,0.6935098176619428
Rice Dish,TripAdvisor,5,-0.04165584358178382,0.0052417200652920435,0.9078984037567683
Dessert,Yelp,7,-0.11740127093399688,0.6130273448550158,0.037354392896655306
Dessert,Google,7,-0.07048334714692085,0.09329332017872223,0.5053150688470787
Dessert,TripAdvisor,7,-0.04327812634950152,0.07889719200914196,0.5417385787742974
Curry,Yelp,8,0.24552724847664742,0.5235458273714736,0.042466860611538315
Curry,Google,8,0.09835228385216285,0.057110661055834115,0.5686835262197983
Curry,TripAdvisor,8,0.07520813886326558,0.042493401617296984,0.6242987202640641
Salad/Cold,Yelp,5,0.050901071289733646,0.030161982910542767,0.779990555558082
Salad/Cold,Google,5,0.08795815431612095,0.07735185540176001,0.6505037966532181
Salad/Cold,TripAdvisor,5,0.1071095653741422,0.13942915727560162,0.5358611927417049
Seafood,Yelp,5,-0.14846412709737164,0.6444489862687174,0.10197404446880447
Seafood,Google,5,-0.11073786933122547,0.9060485294819258,0.012585009690650696
Seafood,TripAdvisor,5,-0.06441192149311482,0.22048913222766853,0.42489557595028127
Chicken,Yelp,7,0.3214142970978699,0.05770034189128465,0.6038709275853157
Chicken,Google,7,0.796411723421437,0.5411741424275495,0.05949404962238738
Chicken,TripAdvisor,7,0.16158572152332773,0.11557937264272204,0.4556164329662687
Noodle/Pasta,Yelp,8,0.15362480446919918,0.029388508652908506,0.6848094026411258
Noodle/Pasta,Google,8,0.37392769769317213,0.06760890322971404,0.5339965402151343
Noodle/Pasta,TripAdvisor,8,-0.14051388387650993,0.039960774450007154,0.6350495028659888
Soup,Yelp,5,-0.22790937572884612,0.5992281150652792,0.12442860950745756
Soup,Google,5,-0.17330515005216166,0.4761300688888666,0.1972548981237944
Soup,TripAdvisor,5,-0.2967191252854781,0.876144329335776,0.019236629191032844
Bread/Pastry,Yelp,3,0.9475991140067784,0.41694074581007856,0.5531234280639183
Bread/Pastry,Google,3,1.8446325166064075,0.9025490903778198,0.2021125653466292
Bread/Pastry,TripAdvisor,3,-2.477876034805815,0.9951774153217146,0.044245564790543354
Wrapped/Dumpling,Yelp,3,-0.11660834432303101,0.02409792641421687,0.9007730034399503
Wrapped/Dumpling,Google,3,-0.3100703769288801,0.8043355565836631,0.29170290168110014
Wrapped/Dumpling,TripAdvisor,3,-0.33390566214403256,0.9662917527711063,0.11754896828784088
Vegetable/Legume,Yelp,3,0.18377171298522182,0.7027437329487333,0.3671017896281574
Vegetable/Legume,Google,3,0.2238251951844645,0.5003540276492099,0.4997746189797155
Vegetable/Legume,TripAdvisor,3,0.07813700927245172,0.4604160506163908,0.5252263230249347
Pork,Yelp,3,-0.34042177867744494,0.7332157117776905,0.34553944043338497
Pork,Google,3,1.3248942151287932,0.7441440094520848,0.3376215555218086
Pork,TripAdvisor,3,1.8875103272308653,0.7834978538064249,0.30810560060445574
