cuisine,n_restaurants,avg_stars,total_reviews
Other,31126,3.6912870269228297,1338632
American,15775,3.3578446909667194,1790744
Italian,9198,3.4421069797782127,676622
Mexican,4638,3.494286330314791,420177
Chinese,3250,3.4033846153846152,219688
Japanese,2012,3.7706262425447314,241895
Mediterranean,1221,3.9344799344799344,102194
Vietnamese,1007,3.2944389275074477,62408
Indian,794,3.8299748110831233,72990
Thai,559,3.9239713774597496,62837
French,484,3.875,88810
Spanish,283,3.9452296819787986,29177
Korean,270,3.9722222222222223,22486
