dish_id,cuisine,H_mean,E_composite,is_pareto
brisket,American,7.046,0.9792094431862688,False
buffalo_wings,American,6.761,0.386292331318037,False
chicken_sandwich,American,6.743,0.2305453291832126,False
clam_chowder,American,6.858,0.1957745939328879,False
club_sandwich,American,6.95,0.0745333152011155,True
coleslaw,American,6.704,0.013196413963922,True
cornbread,American,6.978,0.2367189718162237,False
french_fries,American,6.585,0.247277363637544,False
fried_chicken,American,7.048,0.393529317972158,False
grilled_cheese,American,7.194,0.1882054209607936,False
hamburger,American,6.712,0.5502933141427692,False
lobster_roll,American,7.177,0.1997214767272574,False
mac_and_cheese,American,6.986,0.3013898684318615,False
pancake,American,7.162,0.1740145033925502,True
pulled_pork,American,6.972,0.4097443133224298,False
ribs,American,7.004,0.5441126977074214,False
steak,American,6.761,0.7815011469219191,False
waffle,American,7.266,0.1785825277098203,True
char_siu,Chinese,7.017,0.3230840935392318,False
chow_fun,Chinese,7.171,0.372484261208624,False
chow_mein,Chinese,6.051,0.19426553805153,False
congee,Chinese,6.984,0.1429436030199488,False
dan_dan_noodles,Chinese,7.243,0.1768632843021446,True
dim_sum,Chinese,6.977,0.1486246479702183,False
dumplings,Chinese,7.08,0.1552253181381092,False
fried_rice,Chinese,6.66,0.2050187887838639,False
general_tso,Chinese,6.649,0.3714217975765348,False
hot_and_sour_soup,Chinese,6.726,0.1340866392818403,True
kung_pao_chicken,Chinese,6.489,0.2407579913425084,False
lo_mein,Chinese,6.505,0.1958151798842702,False
mapo_tofu,Chinese,6.879,0.2133064982371322,False
orange_chicken,Chinese,6.438,0.3702907257974551,False
peking_duck,Chinese,7.07,0.3637668649375477,False
scallion_pancake,Chinese,6.964,0.145579254449721,False
spring_rolls,Chinese,6.845,0.2903988081034614,False
sweet_and_sour,Chinese,6.416,0.3685525819004364,False
wonton_soup,Chinese,6.753,0.1715262451683963,False
xiao_long_bao,Chinese,7.102,0.1355547936033021,True
beef_bourguignon,French,7.344,0.8163411367437777,False
coq_au_vin,French,7.166,0.433244547442996,False
creme_brulee,French,7.324,0.2801526093771747,True
crepe,French,7.239,0.1703383946222554,False
