dish_id,cuisine,H_mean,E_composite,log_DEI,NDI,log_NDI,log_DEI_N,calorie_kcal,protein_g,meal_role,rank_DEI,rank_DEI_N,rank_shift_N,is_pareto_3d
rojak,Indonesian,7.084948704792903,0.00285504702091,7.816639599482666,5.46689643808107,1.6987110766350437,8.665995137800188,187.39999999999998,6.57,Side/Snack,1.0,1.0,0,True
som_tam,Thai,7.152893104486996,0.0035871560812386,7.597912473212097,6.444002234324814,1.8631498120441548,8.529487379234174,155.0,5.859999999999999,Side/Snack,2.0,2.0,0,True
kimchi,Korean,7.178,0.0107893163244967,6.500219656400783,22.254291622446637,3.1025348719206396,8.051487092361103,118.7,5.75,Side/Snack,3.0,3.0,0,True
papaya_salad,Thai,7.193,0.0108332800613693,6.49824072662393,6.584247563699618,1.8846800634727998,7.44058075836033,146.0,5.715,Side/Snack,4.0,4.0,0,True
coleslaw,American,6.704,0.013196413963922,6.230514518878259,5.497732075406327,1.7043356572726938,7.082682347514606,279.05,2.61,Light Main,5.0,5.0,0,False
raita,Indian,6.859,0.0280594219823921,5.49899246238172,16.06481082445208,2.7766312168652534,6.887308070814347,111.5,15.926,Side/Snack,8.0,6.0,-2,False
fattoush,Lebanese,7.547246973752975,0.0210290629331569,5.883032706361671,4.028981926242201,1.3935137202825938,6.579789566502969,219.0,3.56,Light Main,6.0,7.0,1,True
ceviche,Mexican,7.301,0.039418546557507,5.221530173698543,12.992279082724012,2.564355264309605,6.503707805853345,205.65,31.475,Light Main,15.0,8.0,-7,True
tzatziki,Greek,7.154381897687912,0.0328547225145804,5.383384806239002,8.738381171646058,2.1677249518765214,6.467247282177263,194.8,15.795,Side/Snack,11.0,9.0,-2,False
harissa,African,7.581241381168366,0.0337149583840212,5.415490627990479,8.011402935983941,2.0808658938065507,6.455923574893754,358.0,7.904999999999999,Light Main,10.0,10.0,0,True
gado_gado,Indonesian,7.284128943005124,0.0368416990578821,5.286822812671161,7.577166799416988,2.0251393566196945,6.299392490981009,397.3,22.78,Light Main,14.0,11.0,-3,False
gazpacho,Spanish,7.436,0.0402863263051759,5.21807623510148,8.208870617389495,2.105215352173521,6.27068391118824,258.25,4.96,Light Main,16.0,12.0,-4,True
thai_iced_tea,Thai,7.216,0.0243759548418201,5.690458872628042,2.8233372687918146,1.037919613899893,6.209418679577989,165.0,2.64,Side/Snack,7.0,13.0,6,False
