dish_id,rank_original,rank_mc_mean,rank_mc_median,rank_mc_p5,rank_mc_p95,rank_mc_p25,rank_mc_p75,rank_90CI_width,rank_IQR,p_top_tercile,p_bottom_tercile,p_top10,p_bottom10
papaya_salad,2.0,1.7056,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0
kimchi,1.0,1.7003,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0
coleslaw,3.0,2.6456,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0
thai_iced_tea,4.0,4.8131,4.0,4.0,7.0,4.0,5.0,3.0,1.0,1.0,0.0,0.9985,0.0
raita,5.0,6.0533,5.0,4.0,11.0,4.0,7.0,7.0,3.0,1.0,0.0,0.9484,0.0
guacamole,7.0,7.6174,7.0,4.0,12.0,6.0,9.0,8.0,3.0,1.0,0.0,0.8756,0.0
ca_phe_sua_da,6.0,7.7182,7.0,5.0,12.0,6.0,9.0,7.0,3.0,1.0,0.0,0.871,0.0
ceviche,8.0,9.1053,8.0,4.0,17.0,6.0,11.0,13.0,5.0,0.9998,0.0,0.6885,0.0
gazpacho,9.0,8.5975,8.0,6.0,12.0,7.0,10.0,6.0,3.0,1.0,0.0,0.8493,0.0
tabbouleh,10.0,9.2907,9.0,6.0,13.0,8.0,11.0,7.0,3.0,1.0,0.0,0.7326,0.0
fresh_spring_roll,11.0,12.8857,12.0,7.0,20.0,10.0,15.0,13.0,5.0,0.9997,0.0001,0.2863,0.0
caesar_salad,12.0,13.1694,13.0,9.0,17.0,12.0,15.0,8.0,3.0,1.0,0.0,0.1251,0.0
onigiri,13.0,13.3312,13.0,8.0,19.0,11.0,15.0,11.0,4.0,1.0,0.0,0.1916,0.0
sashimi,15.0,15.4337,15.0,6.0,26.0,11.0,19.0,20.0,8.0,0.9939,0.0001,0.2388,0.0
gelato,14.0,14.9012,15.0,11.0,19.0,13.0,17.0,8.0,4.0,1.0,0.0,0.0442,0.0
chicken_salad,17.0,16.3954,16.0,10.0,22.0,14.0,19.0,12.0,5.0,0.9996,0.0,0.0509,0.0
sushi,16.0,15.667,16.0,10.0,21.0,13.0,18.0,11.0,5.0,1.0,0.0,0.0535,0.0
panna_cotta,18.0,17.1748,17.0,11.0,23.0,14.0,20.0,12.0,6.0,0.9994,0.0,0.0393,0.0
club_sandwich,19.0,18.0013,18.0,13.0,22.0,16.0,20.0,9.0,4.0,1.0,0.0,0.0039,0.0
ice_cream,20.0,19.1378,19.0,14.0,24.0,17.0,21.0,10.0,4.0,0.9996,0.0,0.0022,0.0
hummus,21.0,20.9659,21.0,17.0,26.0,19.0,22.0,9.0,3.0,0.9998,0.0,0.0,0.0
tiramisu,22.0,23.32,22.0,19.0,32.0,21.0,24.0,13.0,3.0,0.9975,0.0,0.0,0.0
caprese,24.0,25.5057,23.0,17.0,44.0,21.0,27.0,27.0,6.0,0.9764,0.0003,0.0001,0.0
miso_soup,23.0,27.7939,26.0,19.0,43.0,23.0,30.0,24.0,7.0,0.9844,0.0,0.0002,0.0
kimbap,28.0,31.9967,27.0,21.0,60.0,24.0,36.0,39.0,12.0,0.9135,0.0012,0.0,0.0
edamame,25.0,30.7233,28.0,21.0,48.0,25.0,34.0,27.0,9.0,0.9714,0.0,0.0,0.0
minestrone,26.0,32.9946,30.0,22.0,53.0,26.0,38.0,31.0,12.0,0.9495,0.0,0.0,0.0
tamale,30.0,34.3504,31.0,23.0,55.0,27.0,39.0,32.0,12.0,0.9378,0.0006,0.0,0.0
xiao_long_bao,31.0,35.0868,32.0,23.0,57.0,27.0,40.0,34.0,13.0,0.9224,0.0002,0.0,0.0
ratatouille,27.0,34.062,32.0,23.0,52.0,27.0,39.0,29.0,12.0,0.9517,0.0,0.0,0.0
soup,29.0,35.4361,33.0,23.0,56.0,28.0,41.0,33.0,13.0,0.9286,0.0,0.0,0.0
penne_arrabbiata,32.0,36.8278,35.0,25.0,56.0,29.0,42.0,31.0,13.0,0.9218,0.0,0.0,0.0
dolma,33.0,37.1775,35.0,25.0,56.0,30.0,43.0,31.0,13.0,0.9228,0.0001,0.0,0.0
hot_and_sour_soup,34.0,37.9787,36.0,25.0,59.0,30.0,44.0,34.0,14.0,0.8977,0.0,0.0,0.0
congee,35.0,39.7603,38.0,26.0,60.0,32.0,46.0,34.0,14.0,0.8763,0.0,0.0,0.0
udon,37.0,40.6293,39.0,26.0,61.0,32.0,47.0,35.0,15.0,0.8529,0.0,0.0,0.0
mango_sticky_rice,41.0,40.11,39.0,27.0,58.0,33.0,46.0,31.0,13.0,0.8867,0.0,0.0,0.0
gnocchi,36.0,40.4786,39.0,26.0,61.0,33.0,47.0,35.0,14.0,0.8671,0.0,0.0,0.0
dumplings,45.0,43.09,40.0,26.0,70.0,32.0,51.0,44.0,19.0,0.7826,0.0017,0.0,0.0
