dish_id,original_tier,tier_stability,rank_mc_median,rank_90CI_width,p_top_tercile,p_bottom_tercile
papaya_salad,Top,0.0,2.0,2.0,1.0,0.0
kimchi,Top,0.0,2.0,2.0,1.0,0.0
coleslaw,Top,1.0,3.0,2.0,1.0,0.0
thai_iced_tea,Top,0.0,4.0,3.0,1.0,0.0
raita,Top,0.0,5.0,7.0,1.0,0.0
guacamole,Top,0.0,7.0,8.0,1.0,0.0
ca_phe_sua_da,Top,1.0,7.0,7.0,1.0,0.0
ceviche,Top,0.9998,8.0,13.0,0.9998,0.0
gazpacho,Top,0.0,8.0,6.0,1.0,0.0
tabbouleh,Top,0.0,9.0,7.0,1.0,0.0
fresh_spring_roll,Top,0.0002,12.0,13.0,0.9997,0.0001
caesar_salad,Top,1.0,13.0,8.0,1.0,0.0
onigiri,Top,0.0,13.0,11.0,1.0,0.0
sashimi,Top,0.0001,15.0,20.0,0.9939,0.0001
gelato,Top,0.0,15.0,8.0,1.0,0.0
chicken_salad,Top,0.9996,16.0,12.0,0.9996,0.0
sushi,Top,0.0,16.0,11.0,1.0,0.0
panna_cotta,Top,0.0006,17.0,12.0,0.9994,0.0
club_sandwich,Top,1.0,18.0,9.0,1.0,0.0
ice_cream,Top,0.0004,19.0,10.0,0.9996,0.0
hummus,Top,0.0002,21.0,9.0,0.9998,0.0
tiramisu,Top,0.0,22.0,13.0,0.9975,0.0
caprese,Top,0.9764,23.0,27.0,0.9764,0.0003
miso_soup,Top,0.0156,26.0,24.0,0.9844,0.0
kimbap,Top,0.0853,27.0,39.0,0.9135,0.0012
edamame,Top,0.9714,28.0,27.0,0.9714,0.0
minestrone,Top,0.0505,30.0,31.0,0.9495,0.0
tamale,Top,0.0006,31.0,32.0,0.9378,0.0006
xiao_long_bao,Top,0.0002,32.0,34.0,0.9224,0.0002
ratatouille,Top,0.0,32.0,29.0,0.9517,0.0
soup,Top,0.0,33.0,33.0,0.9286,0.0
penne_arrabbiata,Top,0.0782,35.0,31.0,0.9218,0.0
dolma,Top,0.9228,35.0,31.0,0.9228,0.0001
hot_and_sour_soup,Top,0.1023,36.0,34.0,0.8977,0.0
congee,Top,0.8763,38.0,34.0,0.8763,0.0
udon,Top,0.0,39.0,35.0,0.8529,0.0
mango_sticky_rice,Top,0.1133,39.0,31.0,0.8867,0.0
gnocchi,Top,0.1329,39.0,35.0,0.8671,0.0
dumplings,Top,0.7826,40.0,44.0,0.7826,0.0017
dim_sum,Top,0.821,40.0,39.0,0.821,0.0004
scallion_pancake,Top,0.0003,41.0,42.0,0.7805,0.0003
dal,Top,0.79,42.0,38.0,0.79,0.0
takoyaki,Top,0.0004,42.0,43.0,0.7562,0.0004
tteokbokki,Top,0.0001,42.0,39.0,0.7801,0.0001
tom_yum,Top,0.0033,42.0,48.0,0.7239,0.0033
sundubu_jjigae,Top,0.0001,48.0,39.0,0.65,0.0001
dosa,Top,0.58,50.0,46.0,0.58,0.0019
crepe,Top,0.5735,50.0,44.0,0.5735,0.0006
dan_dan_noodles,Top,0.5408,51.0,43.0,0.5408,0.0008
chana_masala,Middle,0.4844,53.0,43.0,0.4844,0.001
pozole,Middle,0.0122,53.0,57.0,0.4788,0.0122
pancake,Top,0.002,53.0,45.0,0.4918,0.002
waffle,Top,0.0017,54.0,44.0,0.4591,0.0017
elote,Top,0.4427,55.0,53.0,0.4427,0.0051
risotto,Middle,0.0006,55.0,42.0,0.4324,0.0006
tom_kha,Middle,0.0017,56.0,44.0,0.3972,0.0017
wonton_soup,Middle,0.0057,56.0,51.0,0.4153,0.0057
kimchi_jjigae,Middle,0.5762,56.0,50.0,0.419,0.0048
grilled_cheese,Middle,0.6687,59.0,51.0,0.3255,0.0058
ravioli,Middle,0.0028,59.0,46.0,0.2944,0.0028
tapas,Middle,0.0045,60.0,47.0,0.2963,0.0045
okonomiyaki,Middle,0.7271,62.0,50.0,0.2634,0.0095
lobster_roll,Middle,0.6675,63.0,68.0,0.2821,0.0504
ramen,Middle,0.0113,64.0,51.0,0.2165,0.0113
palak_paneer,Middle,0.0213,65.0,55.0,0.2052,0.0213
clam_chowder,Middle,0.2004,66.0,57.0,0.2004,0.0303
pasta_carbonara,Middle,0.8403,67.0,48.0,0.1473,0.0124
lo_mein,Middle,0.8897,72.0,51.0,0.0789,0.0314
fried_rice,Middle,0.8966,74.0,51.0,0.0651,0.0383
mapo_tofu,Middle,0.9043,75.0,51.0,0.0538,0.0419
larb,Middle,0.7864,75.0,68.0,0.1106,0.103
naan,Middle,0.7889,75.0,67.0,0.1096,0.1015
vindaloo,Middle,0.1434,76.0,75.0,0.1264,0.1434
bruschetta,Middle,0.0899,77.0,66.0,0.0899,0.11
baba_ganoush,Middle,0.0749,78.0,63.049999999999955,0.0749,0.1094
chow_mein,Middle,0.0342,79.0,54.0,0.0342,0.0756
tikka_masala,Middle,0.0968,80.0,56.0,0.0354,0.0968
yakitori,Middle,0.1142,81.0,60.0,0.043,0.1142
butter_chicken,Middle,0.0313,81.0,56.0,0.0313,0.0988
pita,Middle,0.1491,81.0,67.0,0.0581,0.1491
korma,Middle,0.8504,83.0,57.0,0.0216,0.128
escargot,Middle,0.7925,83.0,65.0,0.0448,0.1627
quesadilla,Middle,0.1174,83.0,56.0,0.0241,0.1174
satay,Middle,0.1321,85.0,56.0,0.023,0.1321
chicken_sandwich,Middle,0.0184,87.0,58.0,0.0184,0.176
green_curry,Middle,0.8242,88.0,52.0,0.0089,0.1669
pad_see_ew,Middle,0.8532,88.0,51.0,0.0091,0.1377
fajita,Middle,0.7819,89.0,58.0,0.0133,0.2048
pad_thai,Middle,0.7915,90.0,54.0,0.0061,0.2024
red_curry,Middle,0.1921,90.0,51.0,0.0059,0.1921
cornbread,Middle,0.0151,90.0,62.0,0.0151,0.2373
paella,Middle,0.7982,91.0,50.0,0.0031,0.1987
croissant,Middle,0.0115,92.0,60.0,0.0115,0.2627
banh_mi,Middle,0.0104,94.0,61.0,0.0104,0.3106
kung_pao_chicken,Middle,0.7034,94.0,57.049999999999955,0.0054,0.2912
samosa,Middle,0.347,95.0,70.0,0.0191,0.347
bun_cha,Middle,0.0042,96.0,58.0,0.0042,0.3305
samgyeopsal,Middle,0.388,98.0,70.0,0.0143,0.388
donburi,Middle,0.0012,98.0,52.0,0.0012,0.3434
japchae,Bottom,0.577,99.0,74.0,0.0147,0.4083
french_onion_soup,Bottom,0.5844,99.0,68.0,0.0064,0.4092
spanakopita,Middle,0.3962,100.0,56.0,0.0025,0.3962
baklava,Middle,0.0011,100.5,54.0,0.0011,0.4101
creme_brulee,Middle,0.0021,103.0,57.0,0.0021,0.4639
tandoori_chicken,Bottom,0.4628,103.0,58.0,0.0017,0.4628
french_fries,Middle,0.0106,103.0,71.0,0.0106,0.4792
paneer_tikka,Bottom,0.5026,104.0,61.0,0.0028,0.4946
burrito,Bottom,0.0001,106.0,47.0,0.0001,0.5403
patatas_bravas,Middle,0.5227,106.0,63.0,0.003,0.5227
nachos,Bottom,0.4602,106.0,56.0,0.0005,0.5393
souffle,Bottom,0.5758,108.0,52.0,0.0003,0.5758
com_tam,Bottom,0.0002,111.0,53.0,0.0002,0.6413
pizza_margherita,Bottom,0.6409,111.0,54.0,0.0002,0.6409
shawarma,Bottom,0.6828,113.0,54.0,0.0001,0.6828
teriyaki,Bottom,0.6958,113.0,51.0,0.0002,0.6958
falafel,Bottom,0.0004,114.0,55.0,0.0004,0.6957
mac_and_cheese,Bottom,0.2588,115.0,50.0,0.0,0.7412
enchilada,Bottom,0.0002,116.0,50.0,0.0002,0.7526
spring_rolls,Bottom,0.7252,116.0,58.0,0.0007,0.7252
churro,Bottom,0.0001,118.0,50.0,0.0001,0.7931
churros_spanish,Bottom,0.0001,119.0,51.0,0.0001,0.81
char_siu,Bottom,0.0,121.0,57.0,0.0,0.8032
pizza,Bottom,0.876,122.0,47.0,0.0,0.876
chile_relleno,Bottom,0.0,124.0,49.0,0.0,0.8856
quiche,Bottom,0.9421,126.0,39.0,0.0,0.9421
fish_and_chips,Bottom,0.0,127.0,47.0,0.0,0.9102
brownie,Bottom,0.0,127.0,41.0,0.0,0.9349
biryani,Bottom,0.0,127.0,40.0,0.0,0.94
tempura,Bottom,0.8948,127.0,49.0,0.0,0.8948
chow_fun,Bottom,0.0001,127.0,57.0,0.0001,0.8603
pasta_bolognese,Bottom,0.8531,130.0,62.0,0.0002,0.8531
peking_duck,Bottom,0.9385,130.0,43.0,0.0,0.9385
pho,Bottom,0.8811,132.0,59.0,0.0002,0.8811
bibimbap,Bottom,0.0,135.0,45.0,0.0,0.9536
katsu,Bottom,0.0234,136.0,39.0,0.0,0.9766
gyro,Bottom,0.0389,136.0,44.0,0.0,0.9611
general_tso,Bottom,0.0088,137.0,34.0,0.0,0.9912
kebab,Bottom,0.0636,137.0,52.0,0.0,0.9364
fried_chicken,Bottom,0.0111,137.0,34.0,0.0,0.9889
taco,Bottom,0.9482,137.0,48.0,0.0,0.9482
cheesecake,Bottom,0.0,138.0,32.0,0.0,0.9933
orange_chicken,Bottom,0.0044,139.0,31.0,0.0,0.9956
buffalo_wings,Bottom,0.0,139.0,32.0,0.0,0.993
bun_bo_hue,Bottom,0.0001,139.0,47.0,0.0001,0.956
sweet_and_sour,Bottom,0.9916,139.0,34.0,0.0,0.9916
pulled_pork,Bottom,0.9913,141.0,35.0,0.0,0.9913
coq_au_vin,Bottom,0.0,142.0,29.0,0.0,0.9978
korean_fried_chicken,Bottom,0.0014,144.0,26.0,0.0,0.9986
moussaka,Bottom,0.0007,148.0,24.0,0.0,0.9993
massaman_curry,Bottom,0.0062,149.0,31.0,0.0,0.9938
hamburger,Bottom,0.0025,150.0,26.0,0.0,0.9975
ribs,Bottom,0.9998,151.0,15.0,0.0,0.9998
bulgogi,Bottom,0.0,152.0,24.0,0.0,0.9975
lasagna,Bottom,0.0,152.0,14.0,0.0,1.0
beef_bourguignon,Bottom,0.0,155.0,8.0,0.0,1.0
steak,Bottom,0.9999,155.0,12.0,0.0,0.9999
osso_buco,Bottom,0.0,157.0,6.0,0.0,1.0
brisket,Bottom,0.0,157.0,4.0,0.0,1.0
