dish_id,family
ackee_saltfish,
adobo,Pork
aji_de_gallina,
al_pastor,
aloo_gobi,Curry
anticucho,Beef
arancini,
arepa,
arroz_con_pollo,Rice Dish
asado,
baba_ganoush,
bacalhau,
bak_kut_teh,
baklava,
banh_mi,
banh_xeo,
beef_bourguignon,Beef
beef_tartare,
bibimbap,Rice Dish
biltong,
birria,
biryani,Rice Dish
blini,
boat_noodles,
borek,
borscht,Soup
bossam,
bouillabaisse,Seafood
bratwurst,
brisket,Beef
brownie,Dessert
bruschetta,
budae_jjigae,
buffalo_wings,
bulgogi,Beef
bun_bo_hue,
bun_cha,
bun_rieu,
burrito,
butter_chicken,Curry
ca_phe_sua_da,
caesar_salad,Salad/Cold
caldo_verde,
callaloo,
cannoli,
caprese,Salad/Cold
carnitas,Pork
causa,
ceviche,Seafood
chana_masala,Curry
char_kway_teow,
char_siu,
char_siu_bao,
cheesecake,Dessert
chicken_salad,
chicken_sandwich,Chicken
chilaquiles,
chile_relleno,
chili,
chimichurri,
chole_bhature,
chow_fun,
chow_mein,Noodle/Pasta
churrasco,Beef
churro,
churros_mexican,
churros_spanish,
clam_chowder,Soup
club_sandwich,
cobb_salad,Salad/Cold
coleslaw,Salad/Cold
com_tam,
conch_fritters,
congee,
coq_au_vin,Chicken
coquito,
cornbread,
couscous,
coxinha,
creme_brulee,Dessert
crepe,
croissant,Bread/Pastry
croquetas,
cubano_sandwich,
currywurst,
dakgalbi,
dal,Curry
dan_dan_noodles,Noodle/Pasta
dan_tat,
dim_sum,
dim_sum_items,
dolma,
donburi,
doner_kebab,Kebab/Grilled
doro_wot,
dosa,
duck_confit,
dumplings,Wrapped/Dumpling
eclair,
edamame,
eggplant_parm,
eggs_benedict,Egg Dish
egusi_soup,
elote,
enchilada,
escargot,
escovitch_fish,
fajita,
falafel,Vegetable/Legume
fattoush,Salad/Cold
feijoada,
fesenjan,
fish_and_chips,Seafood
fish_tacos,Seafood
focaccia,Bread/Pastry
fondue,
french_fries,
french_onion_soup,Soup
fresh_spring_roll,
fried_chicken,Chicken
fried_rice,Rice Dish
fufu,
ful_medames,
gado_gado,
galaktoboureko,
galette,
gambas_al_ajillo,Seafood
gazpacho,Soup
gelato,Dessert
general_tso,
ghormeh_sabzi,
gnocchi,
gozleme,
green_curry,Curry
grilled_cheese,
guacamole,Vegetable/Legume
gulab_jamun,
gyro,
gyudon,
halloumi,
halo_halo,
hamburger,Beef
harissa,
horiatiki,
hot_and_sour_soup,
hot_dog,
hu_tieu,
hummus,Vegetable/Legume
ice_cream,Dessert
idli,
injera,
iskender_kebab,Kebab/Grilled
jalebi,
japchae,
jerk_chicken,Chicken
jjajangmyeon,
jokbal,
jollof_rice,Rice Dish
karaage,
kare_kare,
katsu,
katsu_curry,
kebab,Kebab/Grilled
keftedes,
khao_man_gai,
kibbeh,
kimbap,
kimchi,
kimchi_jjigae,
kitfo,
kofte,Kebab/Grilled
koobideh,
korean_fried_chicken,Chicken
korma,Curry
kunefe,
kung_pao_chicken,Chicken
labneh,
lagman,
lahmacun,
laksa,
larb,
lasagna,Noodle/Pasta
lo_mein,Noodle/Pasta
lobster_roll,
lomo_saltado,
loukoumades,
lumpia,Wrapped/Dumpling
mac_and_cheese,
macarons,
mafe,
malai_kofta,
manakish,
mango_sticky_rice,
manti_turkish,
manty,
mapo_tofu,
massaman_curry,Curry
meatloaf,
mee_goreng,
minestrone,
miso_soup,Soup
mofongo,
mole,
moussaka,
muhammara,
mujaddara,
naan,Bread/Pastry
nachos,
nasi_goreng,Rice Dish
nasi_lemak,
nasi_padang,
nicoise_salad,Salad/Cold
okonomiyaki,
onigiri,
orange_chicken,
osso_buco,Beef
oxtail_stew,
pad_see_ew,
pad_thai,Noodle/Pasta
paella,Rice Dish
pajeon,Egg Dish
palak_paneer,
pancake,
paneer_butter,
paneer_tikka,
panna_cotta,Dessert
pao_de_queijo,
papaya_salad,Salad/Cold
pasta_bolognese,Noodle/Pasta
pasta_carbonara,Noodle/Pasta
pasteis_de_nata,
pastelitos,
pastitsio,
patatas_bravas,
pav_bhaji,
peking_duck,
penne_arrabbiata,
pernil,
pho,
picanha,
pide,
pierogi,
piri_piri,Chicken
pita,Bread/Pastry
pizza,
pizza_margherita,
plantain,
plov,Rice Dish
polenta,
pot_roast,
poutine,
pozole,
pretzel,Bread/Pastry
profiterole,
prosciutto,
pulled_pork,Pork
pupusa,Wrapped/Dumpling
quesadilla,
quiche,
raclette,
raita,
ramen,Noodle/Pasta
ratatouille,
ravioli,
red_curry,Curry
rendang,Curry
ribs,Pork
rice_and_peas,
risotto,Rice Dish
