dish_id,fat_g,umami_score,sodium_mg,sugar_g,spice_count,protein_g,calorie_kcal,total_g,H_chem,H_chem_scaled
hamburger,32.845,3.6,471.5,4.930499999999999,0,51.365,649.15,300.0,-0.12242396373868028,2.8288820325763684
french_fries,30.2,0.0,799.0,5.1,0,4.0,419.2,232.0,-0.6911037826401804,1.6435598718601967
steak,49.741,4.671532846715329,891.7,0.44220000000000004,2,65.663,745.02,274.0,0.5657313593520252,4.2632317797677555
buffalo_wings,62.75,3.3125,209.0,2.2935,0,62.02,877.2,320.0,-0.044451166512859186,2.991403861930757
mac_and_cheese,47.5,2.32258064516129,621.0,13.273500000000002,0,37.48,934.2,310.0,-0.15876853764422588,2.753127579120914
pulled_pork,28.19,3.586206896551724,147.0,8.864,0,55.45,548.1,290.0,-0.19425531231033008,2.6791610710332403
ribs,42.245000000000005,3.8461538461538463,184.0,13.06725,1,83.08999999999999,814.0,390.0,0.14813298153798804,3.3928147277642995
fried_chicken,71.686,2.9066666666666663,1201.2,4.8012,1,67.738,1048.02,375.0,0.33007805109562793,3.772050135478092
pancake,21.200000000000003,1.4901960784313726,114.0,17.93075,0,17.735000000000003,569.95,255.0,-0.5460100060195981,1.9459846513127042
kung_pao_chicken,50.16,2.921875,885.5,6.244,3,58.24500000000001,751.6500000000002,320.0,0.4750226024070848,4.0741638786321985
fried_rice,25.560000000000002,0.7164179104477612,602.5,9.5325,0,15.32,546.3000000000001,335.0,-0.6084332071949314,1.8158734688218372
dumplings,19.9,1.96,594.0,9.797249999999998,1,36.57,599.2,250.0,-0.26312490492267815,2.5356134162552
spring_rolls,39.025,1.6046511627906976,21.5,6.4327499999999995,0,22.544999999999998,613.9,215.0,-0.5043333046906062,2.032853071870037
mapo_tofu,32.28,3.1166666666666667,883.5,1.8105000000000002,3,32.055,453.19999999999993,300.0,0.3600489843052968,3.8345197539347264
peking_duck,86.355,3.9999999999999996,538.5,14.227249999999998,0,62.56499999999999,1248.3,405.0,0.37597109940977225,3.867706857207117
xiao_long_bao,14.85,2.5949367088607596,584.8,7.07325,1,28.46,447.82,158.0,-0.20766028279455595,2.651220553275125
general_tso,58.25,2.9285714285714284,888.5,20.3305,3,56.38500000000001,946.6000000000001,350.0,0.6249272678396742,4.386616186637819
lo_mein,23.185,1.421875,885.5,17.619,0,40.11500000000001,847.2500000000001,320.0,-0.3918903123237502,2.267222511825069
dan_dan_noodles,28.685000000000002,1.4150943396226414,880.0,18.3435,2,42.065,918.7500000000001,265.0,-0.01460596366857816,3.0536114155427887
sweet_and_sour,64.55,2.447368421052632,156.0,23.357499999999998,0,48.699999999999996,982.3,380.0,-0.050159632128973966,2.9795054780360415
sushi,3.09,1.6194331983805668,802.5,10.3585,0,20.05,304.15000000000003,247.0,-0.5562865973631808,1.9245647397011012
ramen,23.054999999999996,2.1311475409836067,1168.5,14.358,2,45.43,784.5500000000001,305.0,0.1022129500657146,3.297101763956281
tempura,55.41,2.875,24.0,4.645499999999999,0,36.7,749.3,240.0,-0.18941171207395976,2.689256781320463
teriyaki,15.135,2.481012658227848,1177.5,18.8715,2,53.32000000000001,605.1,395.0,0.14204913176797612,3.380133915618033
katsu,69.41,2.314285714285714,182.0,4.9605,0,58.27,996.9,350.0,-0.15928585098617537,2.7520493221688183
miso_soup,6.380000000000001,2.5555555555555554,9.0,1.3275,0,11.52,135.2,90.0,-0.5937427970660045,1.8464932800004052
pizza,39.14,2.6219512195121952,1860.5,18.1455,0,38.18000000000001,996.0,328.0,0.11882718911285697,3.331731488928858
pasta_carbonara,40.775999999999996,3.088235294117647,1128.2,14.015700000000002,1,56.308,978.2199999999999,272.0,0.20414949992897938,3.5095722043057833
lasagna,47.795,3.48235294117647,666.5,13.04475,1,63.81,1042.0500000000002,425.0,0.2190450520211719,3.5406196011082294
risotto,34.45,2.875,589.0,5.043,0,15.500000000000002,502.4,240.0,-0.2119453337486501,2.642289049664716
tiramisu,43.74,1.6585365853658536,20.5,39.759,0,10.765,625.85,205.0,-0.2401518767385912,2.583497020526503
bruschetta,17.843,2.622950819672131,410.3,6.6084,2,8.336,367.14,183.0,-0.05204372646552946,2.975578384624651
