state_1,state_2,n_common,spearman_rho,p_value
PA,FL,158,0.5844249489244081,7.541427007362476e-16
PA,LA,155,0.5419097032000258,3.294020409022227e-13
PA,TN,156,0.3854372461317191,6.738945723239735e-07
PA,MO,157,0.4875433362896073,9.428047394119551e-11
FL,LA,155,0.4948438658116077,5.953956177128794e-11
FL,TN,156,0.407937285644292,1.2506245681071215e-07
FL,MO,157,0.520140908837192,2.918088450412176e-12
LA,TN,154,0.40545602405184955,1.824456306871661e-07
LA,MO,155,0.4720344171957075,5.632253741015686e-10
TN,MO,156,0.2839689589227292,0.00032753268660076844
