dish_id,H_finetuned,H_restaurant_controlled,rank_raw,rank_ctrl,rank_shift
baba_ganoush,7.494730348825454,7.1569591769183205,3.0,22.0,19.0
baklava,7.480218629837037,7.142607563218322,4.0,30.0,26.0
banh_mi,7.249215884208679,7.075674025419262,39.0,70.0,31.0
beef_bourguignon,7.34375483538974,7.067602562362245,19.0,72.0,53.0
bibimbap,7.176191483974457,7.058196697785955,62.0,80.0,18.0
biryani,6.7893765993118285,6.860916102383583,133.0,152.0,19.0
brisket,7.046026602268219,7.131832488637795,95.0,36.0,59.0
brownie,7.362209852695465,7.111382527641689,16.0,49.0,33.0
bruschetta,7.30421360039711,7.120790345592279,31.0,40.0,9.0
buffalo_wings,6.761100242853165,7.064363749403987,138.0,75.0,63.0
bulgogi,7.375190054893493,7.1534692853390265,13.0,23.0,10.0
bun_bo_hue,6.8833929083347325,6.8359970964475645,120.0,156.0,36.0
bun_cha,7.232413867803721,7.191693934889987,46.0,12.0,34.0
burrito,6.82708843255043,6.993020461696615,129.0,123.0,6.0
butter_chicken,7.296981916666031,7.120703738867817,34.0,41.0,7.0
ca_phe_sua_da,7.429808631658554,7.210321017007866,7.0,10.0,3.0
caesar_salad,6.746965309858322,6.9253845589644545,140.0,145.0,5.0
caprese,7.135709910869599,7.022863722526081,71.0,105.0,34.0
ceviche,7.3008384318351744,7.103652985396097,32.0,55.0,23.0
chana_masala,7.131082696199417,7.100392035108789,72.0,56.0,16.0
char_siu,7.016940265178681,7.027268379590355,97.0,102.0,5.0
cheesecake,7.2683516690731045,7.22783210207257,37.0,6.0,31.0
chicken_salad,6.953136897325516,7.115771234483547,110.0,45.0,65.0
chicken_sandwich,6.743452202796936,6.970188593163696,141.0,128.0,13.0
chile_relleno,6.785895975828171,6.984753065629454,134.0,126.0,8.0
chow_fun,7.170736167669296,7.213984662516785,64.0,9.0,55.0
chow_mein,6.050800094127655,6.84493788756859,158.0,154.0,4.0
churro,7.396128391504288,7.1443399941001955,11.0,29.0,18.0
churros_spanish,7.322710609436035,6.966593832795444,25.0,130.0,105.0
clam_chowder,6.857696507453919,7.06275836100034,124.0,76.0,48.0
club_sandwich,6.949709343194962,7.041789576931159,111.0,91.0,20.0
coleslaw,6.703614482402801,6.934527123896109,146.0,144.0,2.0
com_tam,6.941465224742889,7.00052400349376,113.0,118.0,5.0
congee,6.983513193845749,7.0540484970808714,100.0,82.0,18.0
coq_au_vin,7.166124363400242,6.9456679618734265,66.0,141.0,75.0
cornbread,6.978018912315369,7.044251467960727,101.0,88.0,13.0
creme_brulee,7.324001138687134,7.076129812174023,24.0,69.0,45.0
crepe,7.23927464723587,7.033855361570359,44.0,97.0,53.0
croissant,7.299064743518829,7.081056770051975,33.0,66.0,33.0
dal,6.929083550214767,6.902517639301471,116.0,150.0,34.0
dan_dan_noodles,7.242503416776657,7.150057718622042,42.0,25.0,17.0
dim_sum,6.977454904556274,7.14754308240069,102.0,27.0,75.0
dolma,7.406593370199204,7.1714801673351785,9.0,19.0,10.0
donburi,6.081436806201935,6.58227890848407,157.0,158.0,1.0
dosa,6.871645079374313,6.945714048794899,122.0,140.0,18.0
dumplings,7.079741397857666,7.121965683333941,85.0,39.0,46.0
edamame,7.174163466215133,7.149192885936811,63.0,26.0,37.0
elote,7.372278378486634,7.120563488545986,14.0,43.0,29.0
enchilada,6.829557194948197,6.945091455132266,128.0,142.0,14.0
escargot,7.1849992415905,7.042862194212166,58.0,90.0,32.0
fajita,6.671004239320755,6.997329100885772,147.0,120.0,27.0
falafel,7.341277606010437,7.042970835231409,21.0,89.0,68.0
fish_and_chips,6.800981203317642,7.048161868866768,132.0,85.0,47.0
french_fries,6.585307281255722,6.984994259317533,151.0,125.0,26.0
french_onion_soup,7.064659948348999,7.142061289946512,90.0,31.0,59.0
fresh_spring_roll,7.119387711763382,7.092767853707576,75.0,59.0,16.0
fried_chicken,7.047846906423569,7.113382438216065,94.0,46.0,48.0
fried_rice,6.659910928010941,6.966941583961484,148.0,129.0,19.0
gazpacho,7.436058485031128,7.180560097886456,6.0,13.0,7.0
