fold,n_train,n_test,n_train_dishes,n_test_dishes,mention_mae,mention_rmse,mention_r,dish_r,dish_rho,time_sec
1,986,110,141,16,1.0598810369318181,1.4825750156940085,0.7318434999603746,0.8156592727792272,0.7740988114824171,27.908463954925537
2,986,110,141,16,0.9660777698863636,1.365000511497074,0.8109959191947089,0.9019888546998129,0.888235294117647,27.509607553482056
3,987,109,142,15,0.9465936783256881,1.2924754653141912,0.7775473423757551,0.7188812891978197,0.748883230224939,27.76195526123047
4,987,109,142,15,1.126791857798165,1.4925722600657991,0.7601991858587647,0.7372405210552516,0.7627601368825129,27.630422592163086
5,987,109,142,15,0.8523419581422018,1.2162614756452226,0.8360237655115937,0.8805039025554651,0.8279623075562154,27.499346017837524
6,986,110,141,16,0.9162553267045455,1.2532801263787328,0.8322046701369126,0.9308370630080594,0.9441176470588234,27.70267081260681
7,986,110,141,16,1.0496803977272726,1.451245237806681,0.6895834339877555,0.8069594309794588,0.7902871896693118,27.530451774597168
8,986,110,141,16,1.1540482954545455,1.672817564118109,0.6251671036437104,0.6797162326080121,0.6735294117647058,27.648702144622803
9,986,110,141,16,0.9862571022727272,1.3112523874515163,0.7944310154812277,0.7258346904201504,0.7078736279905753,27.678203582763672
10,987,109,141,16,1.0963392345183487,1.5954522698638942,0.7145701362368534,0.5624944316050309,0.5970588235294118,27.863959312438965
