dish_id,baseline_rank,mc_mean_rank,mc_std_rank,pct_within_3
baba_ganoush,71.0,73.767,10.892048062692343,25.1
baklava,100.0,98.498,11.852003881200849,24.099999999999998
banh_mi,92.0,91.139,12.641901716118506,22.6
beef_bourguignon,155.0,155.415,1.002384656706197,99.5
bibimbap,139.0,137.933,7.2284514939231626,35.5
biryani,128.0,126.384,8.774425565243574,36.3
brisket,158.0,157.507,0.7641668665939397,99.8
brownie,129.0,127.157,8.715867770910707,34.8
bruschetta,70.0,72.134,10.868764603210431,23.799999999999997
buffalo_wings,138.0,138.251,6.9081111021754715,36.0
bulgogi,154.0,153.08,1.4844527611210805,94.0
bun_bo_hue,147.0,143.007,5.76462930291272,56.00000000000001
bun_cha,96.0,96.119,13.407044379728143,19.7
burrito,111.0,107.439,12.217785355783592,24.5
butter_chicken,83.0,84.629,12.62700910746484,21.3
ca_phe_sua_da,6.0,6.987,1.298010400574664,96.2
caesar_salad,12.0,12.79,1.5754047099079018,93.89999999999999
caprese,24.0,24.559,2.8129200130824907,86.8
ceviche,8.0,8.261,1.3794488029644303,99.8
chana_masala,54.0,54.327,9.11296170298109,29.7
char_siu,122.0,121.038,10.053982096661999,34.300000000000004
cheesecake,140.0,137.724,7.111246304270441,37.8
chicken_salad,17.0,16.996,1.8804212294057947,94.3
chicken_sandwich,85.0,87.533,12.416074701772699,21.099999999999998
chile_relleno,124.0,122.688,9.651458749847091,31.4
chow_fun,131.0,130.459,8.262948565736083,37.1
chow_mein,78.0,79.097,12.41940381016738,22.3
churro,120.0,116.084,10.011140993912731,29.599999999999998
churros_spanish,121.0,116.51,12.419255211163026,24.2
clam_chowder,65.0,67.27,10.487950228714855,27.6
club_sandwich,19.0,18.426,1.6930812148269792,93.60000000000001
coleslaw,3.0,2.95,0.24392621835300932,100.0
com_tam,114.0,112.296,10.810753165251716,25.2
congee,35.0,37.444,7.464506949558022,35.3
coq_au_vin,146.0,141.35,6.312487623750243,48.6
cornbread,84.0,85.942,12.879620957155533,20.1
creme_brulee,102.0,100.584,12.3721842857274,21.5
crepe,48.0,49.014,9.079746912772404,30.5
croissant,87.0,89.407,12.674279111649703,22.1
dal,44.0,42.494,8.417717267763274,32.4
dan_dan_noodles,50.0,51.741,8.8383210509689,29.2
dim_sum,40.0,40.705,8.024087175498531,32.2
dolma,33.0,35.061,6.681861941105938,39.300000000000004
