dish_id,point_rank,rank_5pct,rank_95pct,rank_iqr
som_tam,1,1,16,7
papaya_salad,2,1,28,13
kimchi,3,1,27,13
rojak,4,1,31,13
fattoush,5,2,45,19
ca_phe_sua_da,6,2,46,20
guacamole,7,2,51,22
ceviche,8,2,53,21
gazpacho,9,2,54,22
thai_iced_tea,10,2,60,24
raita,11,4,65,26
harissa,12,6,92,31
gado_gado,13,5,86,32
coleslaw,14,4,81,32
tabbouleh,15,7,87,32
fresh_spring_roll,16,6,104,38
tzatziki,17,8,113,40
gelato,18,8,115,40
halo_halo,19,11,126,43
causa,20,12,128,44
labneh,21,13,139,48
onigiri,22,15,158,57
prosciutto,23,14,171,62
panna_cotta,24,14,190,61
sashimi,25,17,186,67
coquito,26,16,229,78
horiatiki,27,21,232,82
chimichurri,28,17,221,80
muhammara,29,19,235,75
nicoise_salad,30,22,277,89
hummus,31,25,280,97
sushi,32,29,301,101
ice_cream,33,26,339,117
tiramisu,34,26,358,130
club_sandwich,35,33,458,170
urap,36,33,476,165
kimbap,37,36,539,211
steamed_clams,38,39,553,214
namagashi,39,44,523,215
manj,40,51,643,243
dan_dan_noodles,41,45,623,247
hoppang,42,53,643,260
plecing_kangkung,43,49,673,260
puttu,44,39,710,273
xiao_long_bao,45,50,697,253
germkndel,46,58,735,275
sundubu_jjigae,47,57,711,293
edamame,48,52,720,279
coddled_egg,49,48,719,287
water_chestnut_cake,50,61,744,258
kwacoco,51,48,733,285
hanabiramochi,52,46,743,286
eomandu,53,52,754,293
fa_gao,54,50,775,310
char_siu_bao,55,53,740,276
wandouhuang,56,52,747,300
tingmo,57,51,749,299
tamale,58,45,750,299
sagu,59,54,779,313
khanom_sot_sai,60,51,761,318
cobb_salad,61,65,744,282
gyeranjjim,62,57,768,334
siomay,63,51,754,297
eba,64,56,768,305
lotus_seed_bun,65,44,786,318
har_gow,66,59,761,308
lupis,67,59,776,312
kue_putu,68,46,771,305
tekeli_pitha,69,52,790,311
bupyeon,70,61,780,334
sayur_asem,71,57,799,330
yatsuhashi,72,55,780,296
mandarin_roll,73,61,831,328
gnocchi,74,56,813,334
momiji_manj,75,45,838,338
mochi,76,57,817,320
idiyappam,77,61,798,313
sakuramochi,78,53,848,328
echicha,79,56,782,309
rava_idli,80,60,825,346
dumplings,81,69,808,324
bnh_da_ln,82,50,794,327
stuffed_mussels,83,47,854,349
wagashi,84,61,872,343
couscous,85,60,819,325
caesar_salad,86,61,823,334
mango_sticky_rice,87,60,884,355
callaloo,88,55,861,357
hsi_htamin,89,55,821,351
laksa,90,56,866,365
longevity_peach,91,50,829,338
wotou,92,63,853,353
mantau,93,62,826,343
sevai,94,59,857,381
bnh_bo,95,55,880,386
penne_arrabbiata,96,63,862,346
kuzumochi,97,57,857,370
agar,98,59,857,351
shark_chutney,99,61,806,347
songpyeon,100,69,888,373
khao_tom,101,54,882,339
suama,102,65,881,348
gaobuli,103,63,863,369
dombolo,104,62,878,373
nasi_kucing,105,75,883,356
kozhukkatta,106,65,889,378
scallion_pancake,107,55,905,365
uir,108,59,925,369
caprese,109,60,932,406
klepon,110,57,885,356
bagiya,111,61,889,391
akumaki,112,65,905,382
aloo_gobi,113,75,892,356
guanime,114,74,970,394
nasi_gurih,115,65,881,380
ang_ku_kueh,116,66,919,393
tokoroten,117,60,907,392
raindrop_cake,118,61,883,359
daifuku,119,54,909,366
chwee_kueh,120,62,924,368
okpa,121,54,917,390
sakhu_sai_mu,122,68,907,377
corunda,123,69,955,355
hot_and_sour_soup,124,55,931,394
lobster_stew,125,59,884,363
zhaliang,126,60,951,375
kusa_mochi,127,62,927,372
kutsinta,128,56,974,401
lo_mai_chi,129,74,971,401
bnh_bt_lc,130,63,909,402
dal,131,63,891,398
chawanmushi,132,81,997,377
tom_yum,133,51,905,377
yubeshi,134,61,940,395
osmanthus_cake,135,54,953,385
khanom_sai_bua,136,57,925,415
hishi_mochi,137,63,957,413
janchi_guksu,138,58,941,406
delele,139,64,880,389
bhel_puri,140,64,969,402
rujak_shanghai,141,67,933,379
fufu,142,63,953,395
baba,143,65,921,405
ada,144,79,936,394
nasi_timbel,145,60,942,381
fzelk,146,65,1000,425
purin,147,61,948,389
patrode,148,65,948,402
smen,149,66,994,439
bhakkha,150,74,971,390
hakuto_jelly,151,66,1044,415
tee_long_pan,152,71,936,422
koba,153,70,1040,411
nasi_kuning,154,63,989,391
aloo_tikki,155,75,1023,431
dambou,156,78,1033,442
kakigri,157,69,991,433
egusi_soup,158,63,1005,428
bubur_cha_cha,159,51,996,433
biangbiang_noodles,160,69,980,415
boiled_egg,161,68,996,420
botamochi,162,72,1077,447
takikomi_gohan,163,59,956,421
balut,164,68,1020,414
poached_egg,165,70,1017,447
tofu_skin_roll,166,75,984,433
tangbao,167,64,1054,439
mont_di,168,73,994,438
masi,169,66,1023,429
dolma,170,61,1034,426
sopa_de_fideo,171,74,1059,442
telur_pindang,172,64,1027,413
peppersoup,173,64,1010,457
manda_pitha,174,80,1059,449
jjolmyeon,175,75,1043,414
marghi_special,176,63,1032,436
nasi_uduk,177,73,1069,432
put_chai_ko,178,68,1027,437
qingtuan,179,79,1035,434
oeuf_mayonnaise,180,79,1069,463
mugoyo,181,75,1049,447
liangpi,182,74,1015,459
hot_and_sour_noodles,183,66,1020,458
bn_c,184,76,1041,433
canjica,185,68,1044,456
lucky_tattie,186,81,1038,443
frozen_custard,187,90,1056,442
makizushi,188,77,1124,479
cap_cay,189,82,1057,470
pasta_e_fagioli,190,61,1055,450
elote,191,68,1064,464
kokonte,192,78,1129,469
suman,193,68,1097,480
injeolmi,194,72,1068,467
oden,195,78,1053,433
ugali,196,78,1052,458
gyhi,197,83,1077,466
bnh_c,198,70,1092,447
p_de_moleque,199,75,1078,459
lugaw,200,68,1111,472
tea_egg,201,87,1099,479
shakshuka,202,82,1131,446
dango,203,70,1081,463
anmitsu,204,77,1087,424
budae_jjigae,205,86,1087,462
marillenkndel,206,71,1071,474
sanna,207,81,1113,484
isidudu,208,76,1099,479
crepe,209,70,1104,450
pierogi,210,80,1142,466
risotto,211,76,1115,460
fabes_con_almejas,212,73,1085,482
ldagun,213,66,1133,478
kenkey,214,81,1124,482
ji_dan_gao,215,82,1105,510
morkovcha,216,70,1075,485
tinutuan,217,82,1124,446
queijo_de_azeito,218,90,1110,467
jhalmuri,219,63,1109,470
kue_mangkok,220,78,1095,478
kongguksu,221,79,1105,500
siopao,222,84,1124,476
kamameshi,223,94,1129,492
bnh_t,224,86,1144,498
moin_moin,225,72,1093,464
warabimochi,226,85,1141,511
draw_soup,227,75,1114,483
lo_mai_gai,228,81,1143,481
burasa,229,67,1150,495
hutspot,230,75,1141,474
kutia,231,76,1159,504
ganci,232,92,1122,481
enduri_pitha,233,88,1178,469
vinegret,234,78,1155,505
zabaione,235,81,1162,479
amala,236,78,1146,498
compote,237,72,1160,516
arepa,238,80,1114,507
nanakusanosekku,239,85,1185,517
tamago_kake_gohan,240,75,1176,511
gobi_paratha,241,90,1155,482
hot_dry_noodles,242,82,1176,518
dhokla,243,92,1146,491
sinki,244,74,1124,474
neer_dosa,245,91,1211,489
cong_you_bing,246,87,1170,480
bakpau,247,78,1180,485
bisi_bele_bath,248,80,1163,493
sirutteok,249,84,1189,502
amezaiku,250,78,1170,486
sambar,251,93,1198,538
bibim_guksu,252,88,1138,486
nori,253,93,1174,512
papadzules,254,84,1172,510
jeungpyeon,255,72,1191,502
ohaw,256,79,1150,509
sorrel_soup,257,94,1207,509
nagasari,258,71,1184,504
jjinppang,259,92,1165,532
moche,260,89,1171,520
fishermans_soup,261,66,1199,520
tteok,262,81,1167,534
jambonbeurre,263,82,1187,510
kachumbari,264,80,1234,517
genfo,265,76,1265,559
sapinsapin,266,82,1179,527
sorbet,267,89,1151,508
varenyky,268,93,1208,511
mujigaetteok,269,83,1152,477
tangyuan,270,90,1189,481
curtido,271,73,1203,517
lobster_roll,272,76,1195,538
pindang_patin,273,84,1170,524
burmese_tofu,274,77,1161,525
palitaw,275,88,1196,503
ackee_saltfish,276,73,1202,500
cotoletta_alla_milanese,277,96,1193,527
tiboktibok,278,78,1209,547
nasi_dagang,279,77,1190,502
muhallebi,280,73,1195,525
katemeshi,281,73,1173,510
caldo_de_siete_mares,282,69,1207,542
okinawa_soba,283,87,1229,536
rolex,284,74,1184,510
israeli_couscous,285,86,1187,524
caponata,286,88,1232,499
jeera_bhaat,287,77,1187,509
