wweia_category,n_fndds_items,n_matched,n_dei_dishes,coverage_pct
Meat mixed dishes,233,29,10,12.446351931330472
"Pasta mixed dishes, excludes macaroni and cheese",174,28,4,16.091954022988507
"Chicken, whole pieces",160,32,2,20.0
Other vegetables and combinations,147,0,0,0.0
Eggs and omelets,147,1,1,0.6802721088435374
Poultry mixed dishes,133,39,11,29.32330827067669
Rice mixed dishes,132,31,8,23.484848484848484
Yeast breads,113,7,4,6.1946902654867255
Fish,109,0,0,0.0
Coffee,109,0,0,0.0
Cookies and brownies,102,6,2,5.88235294117647
Seafood mixed dishes,96,5,6,5.208333333333334
Pizza,91,89,1,97.8021978021978
Cakes and pies,89,7,5,7.865168539325842
Nuts and seeds,78,1,1,1.282051282051282
Not included in a food category,77,3,3,3.896103896103896
"Beans, peas, legumes",75,2,2,2.666666666666667
Stir-fry and soy-based sauce mixtures,70,15,8,21.428571428571427
Liquor and cocktails,69,0,0,0.0
"Doughnuts, sweet rolls, pastries",66,11,5,16.666666666666664
Deli and cured meat sandwiches,63,7,2,11.11111111111111
Burgers,62,26,2,41.935483870967744
Ice cream and frozen dairy desserts,60,44,3,73.33333333333333
"Dips, gravies, other sauces",59,9,7,15.254237288135593
Cheese,58,0,0,0.0
Mashed potatoes and white potato mixtures,56,2,2,3.571428571428571
"Crackers, excludes saltines",56,2,2,3.571428571428571
"Pancakes, waffles, French toast",54,44,4,81.48148148148148
Other Mexican mixed dishes,52,41,9,78.84615384615384
Salad dressings and vegetable oils,51,1,1,1.9607843137254901
Other dark green vegetables,50,0,0,0.0
"Formula, prepared from powder",50,0,0,0.0
Fruit drinks,49,0,0,0.0
"White potatoes, baked or boiled",48,16,2,33.33333333333333
Burritos and tacos,48,48,3,100.0
"Biscuits, muffins, quick breads",48,5,2,10.416666666666668
Egg/breakfast sandwiches,47,14,5,29.78723404255319
"Soups, broth-based",47,47,6,100.0
"Turkey, duck, other poultry",46,1,1,2.1739130434782608
Pretzels/snack mix,45,43,1,95.55555555555556
Tea,45,0,0,0.0
Cold cuts and cured meats,44,2,2,4.545454545454546
Fried rice and lo/chow mein,44,31,6,70.45454545454545
French fries and other fried white potatoes,44,16,2,36.36363636363637
Other fruits and fruit salads,42,0,0,0.0
Shellfish,41,1,1,2.4390243902439024
Other starchy vegetables,39,7,2,17.94871794871795
Rolls and buns,37,10,2,27.027027027027028
Turnovers and other grain-based items,36,11,9,30.555555555555557
"Jams, syrups, toppings",36,2,1,5.555555555555555
Vegetable dishes,34,7,5,20.588235294117645
"Beef, excludes ground",34,24,4,70.58823529411765
Cereal bars,33,0,0,0.0
"Tortilla, corn, other chips",32,1,1,3.125
"Olives, pickles, pickled vegetables",30,1,1,3.3333333333333335
Rice,30,1,1,3.3333333333333335
Bagels and English muffins,30,0,0,0.0
Frankfurter sandwiches,29,26,2,89.65517241379311
Mustard and other condiments,28,1,1,3.571428571428571
Potato chips,27,0,0,0.0
Pork,26,7,3,26.923076923076923
Popcorn,26,0,0,0.0
Grits and other cooked cereals,26,1,1,3.8461538461538463
Pudding,26,2,2,7.6923076923076925
Smoothies and grain drinks,25,0,0,0.0
"Egg rolls, dumplings, sushi",25,15,2,60.0
Candy containing chocolate,25,0,0,0.0
"Bean, pea, legume dishes",23,4,4,17.391304347826086
Candy not containing chocolate,23,0,0,0.0
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",22,0,0,0.0
Peanut butter and jelly sandwiches,22,0,0,0.0
Chicken fillet sandwiches,21,20,4,95.23809523809523
Fried vegetables,21,1,1,4.761904761904762
Oatmeal,21,0,0,0.0
Sausages,21,2,1,9.523809523809524
Carrots,20,0,0,0.0
String beans,20,0,0,0.0
Corn,20,0,0,0.0
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",20,0,0,0.0
Meat and BBQ sandwiches,20,8,4,40.0
Seafood sandwiches,20,0,0,0.0
Other red and orange vegetables,20,0,0,0.0
Sport and energy drinks,19,0,0,0.0
Other fruit juice,19,0,0,0.0
Plant-based milk,18,0,0,0.0
Dried fruits,18,0,0,0.0
"Lamb, goat, game",18,1,1,5.555555555555555
Cream and cream substitutes,18,0,0,0.0
Soy and meat-alternative products,18,2,2,11.11111111111111
"Pasta, noodles, cooked grains",18,1,1,5.555555555555555
"Yogurt, regular",17,0,0,0.0
Protein and nutritional powders,17,0,0,0.0
"Coleslaw, non-lettuce salads",17,3,1,17.647058823529413
"Formula, ready-to-feed",17,0,0,0.0
"Gelatins, ices, sorbets",17,0,0,0.0
Macaroni and cheese,16,8,3,50.0
Cottage/ricotta cheese,16,0,0,0.0
Nutritional beverages,15,0,0,0.0
"Chicken patties, nuggets and tenders",15,0,0,0.0
Broccoli,15,0,0,0.0
Ramen and Asian broth-based soups,15,15,6,100.0
Spinach,15,0,0,0.0
Lettuce and lettuce salads,14,1,1,7.142857142857142
Baby food: vegetables,14,0,0,0.0
Baby food: cereals,14,0,0,0.0
"Yogurt, Greek",14,0,0,0.0
Cheese sandwiches,14,7,1,50.0
Baby food: fruit,13,0,0,0.0
Soft drinks,13,0,0,0.0
Nutrition bars,13,0,0,0.0
Milk shakes and other dairy drinks,13,2,1,15.384615384615385
Liver and organ meats,13,1,1,7.6923076923076925
"Soups, cream-based",13,13,3,100.0
Wine,13,0,0,0.0
Diet soft drinks,13,0,0,0.0
"Cream cheese, sour cream, whipped cream",13,0,0,0.0
Baby food: mixtures,12,0,0,0.0
"Flavored milk, reduced fat",12,0,0,0.0
Diet sport and energy drinks,12,0,0,0.0
Tomato-based condiments,12,4,4,33.33333333333333
Bacon,12,0,0,0.0
Citrus juice,12,0,0,0.0
Blueberries and other berries,11,0,0,0.0
Cabbage,11,0,0,0.0
Vegetable sandwiches/burgers,11,2,2,18.181818181818183
Citrus fruits,11,0,0,0.0
Baby food: snacks and sweets,11,0,0,0.0
Baby food: meat and dinners,11,0,0,0.0
"Pasta sauces, tomato-based",11,0,0,0.0
Soy-based condiments,10,2,1,20.0
Sugar substitutes,10,0,0,0.0
Mayonnaise,10,0,0,0.0
Butter and animal fats,10,0,0,0.0
Vegetable juice,9,0,0,0.0
"Flavored milk, nonfat",9,0,0,0.0
Margarine,8,0,0,0.0
Vegetables on a sandwich,8,0,0,0.0
Sugars and honey,8,0,0,0.0
Beer,8,0,0,0.0
Apples,7,0,0,0.0
"Milk, whole",7,0,0,0.0
Nachos,7,7,1,100.0
Onions,7,0,0,0.0
Tortillas,7,2,1,28.57142857142857
"Flavored milk, lowfat",7,0,0,0.0
Baby juice,6,0,0,0.0
Other diet drinks,6,0,0,0.0
Peaches and nectarines,6,0,0,0.0
Tomatoes,6,0,0,0.0
Mango and papaya,5,0,0,0.0
Pineapple,5,0,0,0.0
Pears,5,0,0,0.0
Saltine crackers,5,0,0,0.0
Ground beef,5,0,0,0.0
Flavored or carbonated water,5,0,0,0.0
Frankfurters,5,5,1,100.0
"Flavored milk, whole",4,0,0,0.0
"Milk, nonfat",4,0,0,0.0
Melons,4,0,0,0.0
"Milk, reduced fat",4,0,0,0.0
Apple juice,3,0,0,0.0
Plant-based yogurt,3,0,0,0.0
Strawberries,3,0,0,0.0
"Milk, lowfat",3,0,0,0.0
Enhanced water,2,0,0,0.0
Tap water,2,0,0,0.0
Baby food: yogurt,2,0,0,0.0
Bananas,2,0,0,0.0
Bottled water,1,0,0,0.0
Baby water,1,0,0,0.0
Grapes,1,0,0,0.0
