fdc_id,fndds_description,wweia_category,matched_dish,match_type
2705448,Tzatziki dip,"Dips, gravies, other sauces",tzatziki,exact
2705461,"Frozen yogurt cone, vanilla, waffle cone",Ice cream and frozen dairy desserts,waffle,exact
2705462,"Frozen yogurt cone, chocolate, waffle cone",Ice cream and frozen dairy desserts,waffle,exact
2705629,"Ice cream, NFS",Ice cream and frozen dairy desserts,ice_cream,exact
2705630,"Ice cream, vanilla",Ice cream and frozen dairy desserts,ice_cream,exact
2705631,"Ice cream, vanilla, with additional ingredients",Ice cream and frozen dairy desserts,ice_cream,exact
2705632,"Ice cream, chocolate",Ice cream and frozen dairy desserts,ice_cream,exact
2705633,"Ice cream, chocolate, with additional ingredients",Ice cream and frozen dairy desserts,ice_cream,exact
2705634,"Ice cream, soft serve, vanilla",Ice cream and frozen dairy desserts,ice_cream,exact
2705635,"Ice cream, soft serve, chocolate",Ice cream and frozen dairy desserts,ice_cream,exact
2705636,"Gelato, vanilla",Ice cream and frozen dairy desserts,gelato,exact
2705637,"Gelato, chocolate",Ice cream and frozen dairy desserts,gelato,exact
2705638,"Ice cream bar, vanilla",Ice cream and frozen dairy desserts,ice_cream,exact
2705639,"Ice cream bar, vanilla, chocolate coated",Ice cream and frozen dairy desserts,ice_cream,exact
2705640,Ice cream candy bar,Ice cream and frozen dairy desserts,ice_cream,exact
2705641,"Ice cream bar, chocolate",Ice cream and frozen dairy desserts,ice_cream,exact
2705642,"Ice cream sandwich, vanilla",Ice cream and frozen dairy desserts,ice_cream,exact
2705643,"Ice cream sandwich, chocolate",Ice cream and frozen dairy desserts,ice_cream,exact
2705644,Ice cream cookie sandwich,Ice cream and frozen dairy desserts,ice_cream,exact
2705645,"Ice cream cone, scooped, vanilla",Ice cream and frozen dairy desserts,ice_cream,exact
2705646,"Ice cream cone, scooped, vanilla, waffle cone",Ice cream and frozen dairy desserts,ice_cream,exact
2705646,"Ice cream cone, scooped, vanilla, waffle cone",Ice cream and frozen dairy desserts,waffle,exact
2705647,"Ice cream cone, NFS",Ice cream and frozen dairy desserts,ice_cream,exact
2705648,"Ice cream cone, scooped, chocolate",Ice cream and frozen dairy desserts,ice_cream,exact
2705649,"Ice cream cone, scooped, chocolate, waffle cone",Ice cream and frozen dairy desserts,ice_cream,exact
2705649,"Ice cream cone, scooped, chocolate, waffle cone",Ice cream and frozen dairy desserts,waffle,exact
2705650,"Ice cream cone, soft serve, vanilla",Ice cream and frozen dairy desserts,ice_cream,exact
2705651,"Ice cream cone, soft serve, chocolate",Ice cream and frozen dairy desserts,ice_cream,exact
2705652,"Ice cream cone, soft serve, vanilla, waffle cone",Ice cream and frozen dairy desserts,ice_cream,exact
2705652,"Ice cream cone, soft serve, vanilla, waffle cone",Ice cream and frozen dairy desserts,waffle,exact
2705653,"Ice cream cone, soft serve, chocolate, waffle cone",Ice cream and frozen dairy desserts,ice_cream,exact
2705653,"Ice cream cone, soft serve, chocolate, waffle cone",Ice cream and frozen dairy desserts,waffle,exact
2705654,"Ice cream cone, vanilla, prepackaged",Ice cream and frozen dairy desserts,ice_cream,exact
2705655,"Ice cream cone, chocolate, prepackaged",Ice cream and frozen dairy desserts,ice_cream,exact
2705656,"Ice cream soda, flavors other than chocolate",Milk shakes and other dairy drinks,ice_cream,exact
2705657,"Ice cream soda, chocolate",Milk shakes and other dairy drinks,ice_cream,exact
