from_dish,to_dish,category,E_reduction_pct,H_change,from_protein_g,to_protein_g,from_cal,to_cal,protein_ratio
onigiri,som_tam,Salad/Cold,93.55907430977513,2.3481000000000005,10.29,5.859999999999999,257.4,155.0,0.5694849368318756
guacamole,som_tam,Salad/Cold,89.66614429478315,0.021500000000001407,4.025,5.859999999999999,266.00999999999993,155.0,1.455900621118012
patatas_bravas,harissa,Mixed/Other,88.06146424245954,1.0213,5.59,7.904999999999999,554.35,358.0,1.4141323792486582
croquetas,causa,Mixed/Other,86.89350115934135,0.2679,23.68,19.21,730.6,440.0,0.8112331081081081
tostones,harissa,Mixed/Other,86.87863222910354,-0.7891000000000004,2.52,7.904999999999999,539.0500000000001,358.0,3.1369047619047614
plantain,harissa,Mixed/Other,86.86573166869428,3.6651,2.75,7.904999999999999,487.7,358.0,2.8745454545454545
samosa,harissa,Mixed/Other,86.8551288025883,0.3235999999999999,8.113999999999999,7.904999999999999,551.91,358.0,0.9742420507764359
lahmacun,fresh_spring_roll,Mixed/Other,86.69715307307875,-0.8205,29.76,19.890000000000004,515.9499999999999,315.3,0.6683467741935485
french_fries,harissa,Mixed/Other,86.36552982931339,2.4982999999999995,4.0,7.904999999999999,419.2,358.0,1.9762499999999998
poutine,causa,Mixed/Other,86.26590841604558,2.9635000000000002,19.135,19.21,503.35,440.0,1.003919519205644
eggplant_parm,causa,Mixed/Other,85.87921320179316,-0.7191999999999998,23.82,19.21,607.5,440.0,0.8064651553316541
lumpia,causa,Mixed/Other,85.8123886704273,1.3699000000000003,21.08,19.21,574.1999999999999,440.0,0.9112903225806452
patatas_bravas,causa,Mixed/Other,85.76086039394058,-0.6857999999999995,5.59,19.21,554.35,440.0,3.4364937388193204
spanakopita,causa,Mixed/Other,85.33111189738642,0.48050000000000015,28.53,19.21,652.5999999999999,440.0,0.6733263231685944
baba_ganoush,harissa,Mixed/Other,85.23428714311292,-0.3836000000000004,6.065,7.904999999999999,309.00000000000006,358.0,1.3033800494641383
patatas_bravas,tabbouleh,Mixed/Other,85.0222445082805,0.7940000000000005,5.59,7.3,554.35,426.1,1.3059033989266546
plantain,causa,Mixed/Other,84.3347053448507,1.9580000000000002,2.75,19.21,487.7,440.0,6.985454545454545
lahmacun,prosciutto,Mixed/Other,83.7731683208521,0.47220000000000084,29.76,29.54,515.9499999999999,353.70000000000005,0.9926075268817204
french_fries,causa,Mixed/Other,83.73811259957591,0.7911999999999999,4.0,19.21,419.2,440.0,4.8025
plantain,tabbouleh,Mixed/Other,83.52211162037345,3.4378,2.75,7.3,487.7,426.1,2.6545454545454543
samosa,tabbouleh,Mixed/Other,83.50880955894215,0.09630000000000027,8.113999999999999,7.3,551.91,426.1,0.8996795661819079
pao_de_queijo,causa,Mixed/Other,83.43859489840703,1.9580000000000002,18.55,19.21,419.9,440.0,1.035579514824798
chile_relleno,fresh_spring_roll,Mixed/Other,83.30109706679153,-0.4203999999999999,23.89,19.890000000000004,594.3,315.3,0.8325659271661785
croissant,tabbouleh,Mixed/Other,83.27337381623899,-0.14309999999999956,12.05,7.3,807.0,426.1,0.6058091286307054
manti_turkish,fresh_spring_roll,Mixed/Other,83.20828804133879,0.8034999999999997,32.305,19.890000000000004,592.95,315.3,0.6156941649899398
fattoush,som_tam,Salad/Cold,82.94191190239547,-0.20639999999999858,3.56,5.859999999999999,219.0,155.0,1.646067415730337
french_fries,tabbouleh,Mixed/Other,82.89457228063296,2.271,4.0,7.3,419.2,426.1,1.825
pide,club_sandwich,Mixed/Other,82.81508703995513,-0.12009999999999987,41.0,37.540000000000006,717.1,592.1999999999999,0.9156097560975611
mofongo,fresh_spring_roll,Mixed/Other,82.63651700347357,-0.8205,19.22,19.890000000000004,514.9,315.3,1.0348595213319463
poutine,caesar_salad,Mixed/Other,82.06328389035917,0.5387,19.135,13.96,503.35,337.35,0.7295531748105566
poutine,fresh_spring_roll,Mixed/Other,81.85401537291571,4.908899999999999,19.135,19.890000000000004,503.35,315.3,1.0394564933368176
spring_rolls,fresh_spring_roll,Mixed/Other,81.70463486684912,0.13379999999999992,22.545,19.890000000000004,613.9,315.3,0.8822355289421159
baba_ganoush,tabbouleh,Mixed/Other,81.47534661512326,-0.6109,6.065,7.3,309.00000000000006,426.1,1.2036273701566362
eggplant_parm,fresh_spring_roll,Mixed/Other,81.34309949833472,1.2261999999999995,23.82,19.890000000000004,607.5,315.3,0.8350125944584385
lumpia,fresh_spring_roll,Mixed/Other,81.25480848094455,3.3152999999999997,21.08,19.890000000000004,574.1999999999999,315.3,0.9435483870967745
patatas_bravas,fresh_spring_roll,Mixed/Other,81.18672743552028,1.2595999999999998,5.59,19.890000000000004,554.35,315.3,3.558139534883722
mujaddara,gado_gado,Plant Protein,80.91686277265012,3.8251,28.76,22.78,682.8,397.3,0.7920723226703755
onigiri,papaya_salad,Salad/Cold,80.54828106822116,-0.4980000000000002,10.29,5.715,257.4,146.0,0.5553935860058309
plantain,chimichurri,Mixed/Other,80.46311636421358,-0.4607000000000001,2.75,1.87,487.7,392.2000000000001,0.68
rice_and_peas,gado_gado,Plant Protein,80.0202716861094,0.43269999999999964,19.94,22.78,595.0500000000001,397.3,1.1424272818455365
churro,gelato,Dessert,79.96291268398387,-0.4886999999999997,13.435,8.73,1020.55,520.6,0.6497953107554894
churros_spanish,gelato,Dessert,79.96291268398387,0.5167000000000002,13.435,8.73,1020.55,520.6,0.6497953107554894
chile_relleno,prosciutto,Mixed/Other,79.63065435450252,0.872300000000001,23.89,29.54,594.3,353.70000000000005,1.236500627877773
plantain,caesar_salad,Mixed/Other,79.5411337338422,-0.4668000000000001,2.75,13.96,487.7,337.35,5.076363636363637
manti_turkish,prosciutto,Mixed/Other,79.51744577271545,2.0962000000000005,32.305,29.54,592.95,353.70000000000005,0.914409534127844
tostones,fresh_spring_roll,Mixed/Other,79.32276844446868,-0.5508000000000006,2.52,19.890000000000004,539.0500000000001,315.3,7.892857142857144
plantain,fresh_spring_roll,Mixed/Other,79.30243917091761,3.9033999999999995,2.75,19.890000000000004,487.7,315.3,7.232727272727274
okonomiyaki,causa,Mixed/Other,79.2989259219609,0.9205000000000005,32.66,19.21,640.1999999999999,440.0,0.5881812614819352
samosa,fresh_spring_roll,Mixed/Other,79.2857307056529,0.5618999999999996,8.113999999999999,19.890000000000004,551.91,315.3,2.451318708405226
banh_xeo,causa,Mixed/Other,79.25284061442039,-0.0,27.588,19.21,521.94,440.0,0.6963172393794403
sfeeha,prosciutto,Mixed/Other,79.22883139813148,0.11030000000000051,30.01,29.54,605.3,353.70000000000005,0.9843385538153948
mofongo,prosciutto,Mixed/Other,78.8199986441858,0.47220000000000084,19.22,29.54,514.9,353.70000000000005,1.5369406867845994
ful_medames,gado_gado,Plant Protein,78.73994760367795,3.4936999999999996,33.484,22.78,671.1,397.3,0.6803249313104767
poutine,horiatiki,Mixed/Other,78.66555545455294,3.8991000000000002,19.135,11.77,503.35,381.2000000000001,0.6151032140057485
french_fries,fresh_spring_roll,Mixed/Other,78.51419899367619,2.7365999999999993,4.0,19.890000000000004,419.2,315.3,4.972500000000001
spring_rolls,horiatiki,Mixed/Other,78.48992706136607,-0.8759999999999994,22.545,11.77,613.9,381.2000000000001,0.5220669771567975
pao_de_queijo,caesar_salad,Mixed/Other,78.37081398007545,-0.4668000000000001,18.55,13.96,419.9,337.35,0.7525606469002696
coleslaw,rojak,Salad/Cold,78.36497832884385,-0.4039999999999999,2.61,6.57,279.05,187.4,2.517241379310345
cannoli,gelato,Dessert,78.24884940853093,4.3306000000000004,7.439999999999999,8.73,766.8,520.6,1.1733870967741937
escovitch_fish,sashimi,Seafood Main,78.24615557399525,0.05489999999999995,41.11,31.73,526.5999999999999,317.3,0.7718316711262466
