dish_id,rank_equal,shift_equal,rank_carbon_200,shift_carbon_200,rank_water_scarce,shift_water_scarce,rank_planetary,shift_planetary,rank_energy_only,shift_energy_only,rank_carbon_only,shift_carbon_only,rank_water_only,shift_water_only
baba_ganoush,71.0,0.0,53.0,18.0,54.0,17.0,51.0,20.0,109.0,38.0,17.0,54.0,32.0,39.0
baklava,100.0,0.0,85.0,15.0,94.0,6.0,89.0,11.0,110.0,10.0,59.0,41.0,97.0,3.0
banh_mi,92.0,0.0,75.0,17.0,81.0,11.0,76.0,16.0,119.0,27.0,49.0,43.0,60.0,32.0
beef_bourguignon,155.0,0.0,155.0,0.0,155.0,0.0,155.0,0.0,153.0,2.0,155.0,0.0,155.0,0.0
bibimbap,139.0,0.0,145.0,6.0,146.0,7.0,146.0,7.0,77.0,62.0,145.0,6.0,147.0,8.0
biryani,128.0,0.0,126.0,2.0,128.0,0.0,126.0,2.0,135.0,7.0,127.0,1.0,124.0,4.0
brisket,158.0,0.0,158.0,0.0,158.0,0.0,158.0,0.0,157.0,1.0,157.0,1.0,156.0,2.0
brownie,129.0,0.0,127.0,2.0,129.0,0.0,129.0,0.0,113.0,16.0,120.0,9.0,139.0,10.0
bruschetta,70.0,0.0,52.0,18.0,50.0,20.0,46.0,24.0,116.0,46.0,24.0,46.0,20.0,50.0
buffalo_wings,138.0,0.0,137.0,1.0,137.0,1.0,137.0,1.0,147.0,9.0,131.0,7.0,131.0,7.0
bulgogi,154.0,0.0,154.0,0.0,154.0,0.0,154.0,0.0,91.0,63.0,154.0,0.0,153.0,1.0
bun_bo_hue,147.0,0.0,149.0,2.0,148.0,1.0,149.0,2.0,63.0,84.0,149.0,2.0,150.0,3.0
bun_cha,96.0,0.0,96.0,0.0,105.0,9.0,98.0,2.0,94.0,2.0,89.0,7.0,110.0,14.0
burrito,111.0,0.0,112.0,1.0,119.0,8.0,115.0,4.0,103.0,8.0,104.0,7.0,115.0,4.0
butter_chicken,83.0,0.0,105.0,22.0,103.0,20.0,104.0,21.0,33.0,50.0,115.0,32.0,116.0,33.0
ca_phe_sua_da,6.0,0.0,6.0,0.0,7.0,1.0,6.0,0.0,5.0,1.0,10.0,4.0,14.0,8.0
caesar_salad,12.0,0.0,11.0,1.0,14.0,2.0,11.0,1.0,23.0,11.0,30.0,18.0,38.0,26.0
caprese,24.0,0.0,61.0,37.0,34.0,10.0,56.0,32.0,14.0,10.0,114.0,90.0,65.0,41.0
ceviche,8.0,0.0,10.0,2.0,6.0,2.0,10.0,2.0,10.0,2.0,37.0,29.0,8.0,0.0
chana_masala,54.0,0.0,45.0,9.0,73.0,19.0,57.0,3.0,47.0,7.0,15.0,39.0,101.0,47.0
char_siu,122.0,0.0,117.0,5.0,126.0,4.0,120.0,2.0,128.0,6.0,91.0,31.0,121.0,1.0
cheesecake,140.0,0.0,141.0,1.0,140.0,0.0,141.0,1.0,118.0,22.0,142.0,2.0,138.0,2.0
chicken_salad,17.0,0.0,16.0,1.0,19.0,2.0,18.0,1.0,19.0,2.0,40.0,23.0,50.0,33.0
chicken_sandwich,85.0,0.0,86.0,1.0,88.0,3.0,85.0,0.0,105.0,20.0,81.0,4.0,90.0,5.0
chile_relleno,124.0,0.0,118.0,6.0,101.0,23.0,109.0,15.0,146.0,22.0,118.0,6.0,53.0,71.0
chow_fun,131.0,0.0,142.0,11.0,138.0,7.0,142.0,11.0,78.0,53.0,144.0,13.0,141.0,10.0
chow_mein,78.0,0.0,77.0,1.0,83.0,5.0,78.0,0.0,95.0,17.0,71.0,7.0,88.0,10.0
churro,120.0,0.0,99.0,21.0,106.0,14.0,97.0,23.0,136.0,16.0,76.0,44.0,87.0,33.0
churros_spanish,121.0,0.0,102.0,19.0,107.0,14.0,99.0,22.0,139.0,18.0,77.0,44.0,89.0,32.0
