dish_id,price_tier,n_mentions,H_mean,H_std
baba_ganoush,1,115,7.366582464135211,1.3861620531208048
baba_ganoush,2,317,7.501359401065092,1.2139600718655672
baba_ganoush,3,38,7.785474789770026,0.5885072398308485
baba_ganoush,4,6,7.33245309193929,1.0421479203326833
baklava,1,119,7.394218848532989,1.3274025369061142
baklava,2,329,7.448817804229296,1.3180296611724593
baklava,3,20,7.936824655532837,0.13649148041705314
banh_mi,1,233,7.3491246091449725,1.3816290544692684
banh_mi,2,236,7.147952859179449,1.6190939938384414
beef_bourguignon,2,191,7.349365132017286,1.3188350592228661
beef_bourguignon,3,167,7.308480174955494,1.5045474354689432
bibimbap,1,74,7.525079192341985,0.9756352986998238
bibimbap,2,405,7.094165667192436,1.6003796681319775
biryani,1,36,6.76739588048723,1.8978892726061516
biryani,2,428,6.760233343761658,1.9705655965456648
biryani,3,6,6.77820352713267,2.007645052810018
brisket,1,40,7.47146400809288,1.2246380423325247
brisket,2,434,7.015443529401507,1.7453824213868645
brisket,3,6,5.733011364936829,2.4681052412392015
brownie,1,140,7.3258937180042265,1.4459679419080955
brownie,2,302,7.357184536409694,1.3793379821153617
brownie,3,32,7.385314643383026,1.3216253572193493
brownie,4,6,7.657073418299357,0.3105616914252923
bruschetta,1,15,7.715181605021159,0.8513120525306622
bruschetta,2,412,7.2375318914362525,1.5239863809553509
bruschetta,3,50,7.456709098815918,1.2099308860267366
buffalo_wings,1,86,6.736153294873792,1.9503706040738467
buffalo_wings,2,379,6.7493473536735475,1.9563967265741042
buffalo_wings,3,7,7.47639833177839,1.2860336571973832
bulgogi,1,75,7.666716744105021,0.9180554418185396
bulgogi,2,378,7.26374213216166,1.3785223789483416
bulgogi,3,17,7.672613845152013,0.7551285635060861
bun_bo_hue,1,183,6.912770398327561,1.6914425971162115
bun_bo_hue,2,305,6.849428270683914,1.700477282972257
bun_cha,1,54,7.347583015759786,1.3308810404739497
bun_cha,2,67,7.1636100491481045,1.5553009148570396
burrito,1,217,6.682251552832291,1.980293788136873
burrito,2,252,6.949593895484531,1.834884503539444
butter_chicken,1,19,7.2104071692416545,1.4807742569282143
butter_chicken,2,402,7.302423129923901,1.5822944746912018
butter_chicken,3,28,7.269985948290143,1.4913655216904298
ca_phe_sua_da,1,226,7.445224315719267,1.3175229631910248
