family,n_dishes,alpha,alpha_ci_lo,alpha_ci_hi,r_squared,E_min,E_max,E_range_ratio,H_min,H_max,H_range,refinement_efficiency,base_dish
Beef,8,6.023144583731502,-2.060203488190881,12.764847773774324,0.23146032063621003,0.5502933141427692,0.9792094431862688,1.7794318375676663,2.798,8.9939,6.1959,14.445481483331271,hamburger
Bread/Pastry,6,2.1844017018740267,-53.52919976677494,20.969347580424067,0.0076490860659360616,0.207120970625836,0.2528773599570321,1.2209162558138789,3.2794,7.9826,4.7032,102.78783069960073,pretzel
Chicken,9,4.81783811912764,-0.7286016276334691,9.760488518992599,0.3960828012820924,0.2305453291832126,0.433244547442996,1.8792163301590894,2.0123,8.3333,6.321,31.18413605275418,chicken_sandwich
Curry,10,0.4945870050788602,-2.448773001042037,1.5740020994793513,0.0396350146931449,0.1261275381026411,0.8130001292883734,6.445857435406085,4.6754,9.4037,4.728300000000001,6.88380940028142,aloo_gobi
Dessert,7,-1.0320280413583627,-2.706794155274905,1.1153597350228386,0.19877908654778598,0.0648149325917145,0.4162269009143125,6.421774802054181,3.8751,9.1606,5.285500000000001,15.040751244840598,gelato
Egg Dish,5,-16.539035978604826,-33.00514072382953,13.4754714548721,0.5121892268313082,0.1557918010710155,0.1919485336685301,1.2320836677472715,3.2587,8.6612,5.402499999999999,149.4189217852989,tamagoyaki
Kebab/Grilled,6,-2.130266139020265,-8.815268610824855,2.6895159478486375,0.20653023122420178,0.253680020757254,0.5200499512413249,2.050023291897157,4.9488,8.5603,3.6114999999999995,13.558212045319317,satay_indonesian
Noodle/Pasta,10,0.7440952632562415,-17.71623262969309,4.442312925637523,0.009364602028760105,0.1706561372336773,0.5943961798471784,3.4830050034079885,1.0,10.0,9.0,21.239437142854634,wonton_noodle
Pork,5,6.558324965883782,0.29687290806791033,29.07007791334008,0.5080014111187422,0.274564609930532,0.5441126977074214,1.9817291742190961,3.6628,8.5646,4.901800000000001,18.185252362306954,samgyeopsal
Rice Dish,9,-1.6963185806824268,-6.854218271953118,4.966912637914843,0.04727571155480448,0.1798937436216193,0.4103771234250521,2.2812195419548416,3.1966,8.4772,5.2806,22.910979544397286,risotto
Salad/Cold,9,-1.0097803913671417,-2.2430297527400875,0.43116289742429353,0.24853728281050602,0.0035871560812386,0.1118488797934876,31.180377229325238,2.6572,8.6612,6.004,55.458196988976006,som_tam
Seafood,8,-1.1022994639250017,-2.9273009115546245,1.1779380409140228,0.18277487755766986,0.039418546557507,0.3320592974999239,8.423935596293198,2.9929,9.6743,6.6814,22.831406693986725,ceviche
Soup,6,0.06728875772809907,-1.411914417324254,6.047846972941027,0.0005530592637355003,0.0402863263051759,0.2794902450794066,6.937595723229256,3.5943,9.1606,5.5663,23.2701037195535,gazpacho
Vegetable/Legume,3,-1.6058521875130696,-2.315471977262328,0.0,0.9275057600638131,0.0347126588909858,0.3067878357769481,8.837923846179786,4.9737,8.4333,3.459599999999999,12.715603237299582,guacamole
Wrapped/Dumpling,5,-4.063320527264968,-10.037363244464885,2.0047176050661712,0.450609980223146,0.1552253181381092,0.2903988081034614,1.8708211494537497,3.8468,7.9968,4.15,30.70128618461898,dumplings
