category,from_dish,to_dish,from_E,to_E,E_reduction,E_ratio,from_H,to_H,H_change,from_cuisine,to_cuisine,sub_score
Bread/Pastry,croissant,pancake,0.2528773599570321,0.1740145033925502,0.07886285656448189,1.453197032586297,7.299,7.162,-0.13700000000000045,French,American,1.2541090391219738
Bread/Pastry,croissant,waffle,0.2528773599570321,0.1785825277098203,0.07429483224721178,1.416025202465125,7.299,7.266,-0.03300000000000036,French,American,1.3692963707837753
Dessert,baklava,gelato,0.28131109410514,0.0648149325917145,0.2164961615134255,4.340220422308993,7.48,7.564,0.08399999999999963,Mediterranean,Italian,4.704798937782947
Dessert,baklava,mango_sticky_rice,0.28131109410514,0.1575942646055001,0.12371682949963989,1.7850338323500266,7.48,7.382,-0.09800000000000075,Mediterranean,Thai,1.6101005167797227
Dessert,baklava,panna_cotta,0.28131109410514,0.0769170517835727,0.20439404232156727,3.6573306904259173,7.48,7.57,0.08999999999999986,Mediterranean,Italian,3.9864904525642495
Dessert,baklava,tiramisu,0.28131109410514,0.1078809838214075,0.1734301102837325,2.607605938882045,7.48,7.448,-0.03200000000000003,Mediterranean,Italian,2.5241625488378197
Dessert,brownie,creme_brulee,0.3645830754384144,0.2801526093771747,0.08443046606123972,1.3013731203465944,7.362,7.324,-0.038000000000000256,Other,French,1.2519209417734234
Dessert,brownie,gelato,0.3645830754384144,0.0648149325917145,0.2997681428466999,5.62498579972326,7.362,7.564,0.20199999999999996,Other,Italian,6.761232931267358
Dessert,brownie,mango_sticky_rice,0.3645830754384144,0.1575942646055001,0.2069888108329143,2.3134285778169765,7.362,7.382,0.019999999999999574,Other,Thai,2.359697149373315
Dessert,brownie,panna_cotta,0.3645830754384144,0.0769170517835727,0.2876660236548417,4.73995124597689,7.362,7.57,0.20800000000000018,Other,Italian,5.725861105140084
Dessert,brownie,tiramisu,0.3645830754384144,0.1078809838214075,0.2567020916170069,3.379493424364451,7.362,7.448,0.0860000000000003,Other,Italian,3.670129858859795
Dessert,cheesecake,baklava,0.4162269009143125,0.28131109410514,0.13491580680917253,1.4795964668167256,7.268,7.48,0.21200000000000063,Other,Mediterranean,1.7932709177818724
Dessert,cheesecake,creme_brulee,0.4162269009143125,0.2801526093771747,0.13607429153713785,1.485714881755531,7.268,7.324,0.05600000000000005,Other,French,1.5689149151338408
Dessert,cheesecake,gelato,0.4162269009143125,0.0648149325917145,0.351411968322598,6.421774802054181,7.268,7.564,0.29600000000000026,Other,Italian,8.32262014346222
Dessert,cheesecake,mango_sticky_rice,0.4162269009143125,0.1575942646055001,0.2586326363088124,2.6411297514934184,7.268,7.382,0.11399999999999988,Other,Thai,2.942218543163668
Dessert,cheesecake,panna_cotta,0.4162269009143125,0.0769170517835727,0.3393098491307398,5.411373567534563,7.268,7.57,0.3020000000000005,Other,Italian,7.045608384930003
Dessert,cheesecake,souffle,0.4162269009143125,0.2974611158696626,0.11876578504464991,1.3992649079440993,7.268,7.419,0.1509999999999998,Other,French,1.610553909043658
Dessert,cheesecake,tiramisu,0.4162269009143125,0.1078809838214075,0.30834591709290504,3.858204534020184,7.268,7.448,0.1800000000000006,Other,Italian,4.5526813501438195
Dessert,churro,gelato,0.3234748223106578,0.0648149325917145,0.25865988971894327,4.990745332534814,7.396,7.564,0.16800000000000015,Mexican,Italian,5.829190548400664
Dessert,churro,mango_sticky_rice,0.3234748223106578,0.1575942646055001,0.16588055770515767,2.052579915394766,7.396,7.382,-0.014000000000000234,Mexican,Thai,2.023843796579239
Dessert,churro,panna_cotta,0.3234748223106578,0.0769170517835727,0.24655777052708505,4.205502093616942,7.396,7.57,0.17400000000000038,Mexican,Italian,4.937259457906292
Dessert,churro,tiramisu,0.3234748223106578,0.1078809838214075,0.2155938384892503,2.9984415311428467,7.396,7.448,0.05200000000000049,Mexican,Italian,3.154360490762276
Dessert,churros_spanish,gelato,0.3234748223106578,0.0648149325917145,0.25865988971894327,4.990745332534814,7.323,7.564,0.24099999999999966,Spanish,Italian,6.193514957675703
Dessert,churros_spanish,mango_sticky_rice,0.3234748223106578,0.1575942646055001,0.16588055770515767,2.052579915394766,7.323,7.382,0.058999999999999275,Spanish,Thai,2.173682130403056
Dessert,churros_spanish,panna_cotta,0.3234748223106578,0.0769170517835727,0.24655777052708505,4.205502093616942,7.323,7.57,0.2469999999999999,Spanish,Italian,5.244261110740326
Dessert,churros_spanish,tiramisu,0.3234748223106578,0.1078809838214075,0.2155938384892503,2.9984415311428467,7.323,7.448,0.125,Spanish,Italian,3.3732467225357023
Dessert,creme_brulee,gelato,0.2801526093771747,0.0648149325917145,0.21533767678546017,4.322346690413553,7.324,7.564,0.2400000000000002,French,Italian,5.359709896112806
