K,Delta,H_contribution_mean,H_contribution_std
100,0.0,3.0128425123288065,0.023098882478169196
100,0.5,3.045084677297055,0.04586660900298735
100,1.0,3.1565545373794417,0.08234910469561509
100,1.5,3.366111381757491,0.12483114699558792
100,2.0,3.719830007643428,0.15917087979587916
100,2.5,4.17801782486458,0.21361572224131556
100,3.0,4.9336062305530035,0.30698942478173147
250,0.0,2.8591744685070672,0.030001226089824206
250,0.5,2.918045779331715,0.06395999304666296
250,1.0,3.182358394308804,0.1135315459041348
250,1.5,3.673067330562112,0.18063670676467894
250,2.0,4.437689519900065,0.24082506561759237
250,2.5,5.565072621179729,0.30007278353124384
250,3.0,7.0626950798820545,0.4430410116159179
500,0.0,2.621059592528531,0.04007043260888029
500,0.5,2.755004731738245,0.0774926715019117
500,1.0,3.17118385223087,0.1346699569873688
500,1.5,3.985010305442347,0.2099649058996966
500,2.0,5.3592865330539965,0.2881591354595975
500,2.5,7.192537592485369,0.39092577454156835
500,3.0,9.68750148860284,0.47510268682746626
1000,0.0,2.2555091149759585,0.039090963266616624
1000,0.5,2.4388031113269104,0.0932388145018308
1000,1.0,3.1106021351598576,0.15114092111011618
1000,1.5,4.405102983337521,0.23637178627870714
1000,2.0,6.408939638769138,0.28643701033895086
1000,2.5,9.269744437427361,0.4274152695741922
1000,3.0,12.932255561463768,0.5347612949197539
2000,0.0,1.764661677159816,0.03256680174632238
2000,0.5,2.007102527868152,0.06856389193959767
2000,1.0,2.940881899659356,0.14349142342244278
2000,1.5,4.663148377623678,0.24330890965095503
2000,2.0,7.337170435895619,0.30536234922422034
2000,2.5,10.965696372340103,0.37109486005328585
2000,3.0,15.710495034420873,0.5431550514955485
2563,0.0,1.5720158244196796,0.029097316567212404
2563,0.5,1.8347549666433332,0.07834947193954178
2563,1.0,2.8114075533796266,0.1398369428259569
2563,1.5,4.662105957619915,0.21302080627409992
2563,2.0,7.436053289772456,0.3310466994288718
2563,2.5,11.3384856289563,0.400322574306904
2563,3.0,16.332130191022344,0.509228242486417
