dish_id,slope,r,p_value,n
baba_ganoush,-0.004446600544588342,-0.01191520640855038,0.7904127274210282,500
baklava,0.01931064595396416,0.049468752086660586,0.26956607035164437,500
banh_mi,-0.025494742113619056,-0.051715123544507836,0.24839215149283161,500
beef_bourguignon,0.001824812575396556,0.004300673685914198,0.9314981117477446,402
bibimbap,0.016538820990042075,0.03427743442728038,0.44440665930128864,500
biryani,0.006032309092732995,0.008418435299845716,0.8510537270184757,500
brisket,0.04480844633156984,0.07662855788929947,0.08695279434611894,500
brownie,-0.021510809622491366,-0.05140912040664251,0.2512061981173118,500
bruschetta,0.02836630954942001,0.06297524690399431,0.15971202548354824,500
buffalo_wings,-0.05030701194244713,-0.0776273845069601,0.08290495138782511,500
bulgogi,0.00833657765027278,0.021762224531126497,0.6273517242324848,500
bun_bo_hue,-0.008479140380746108,-0.013756753843142776,0.7589537603221593,500
bun_cha,0.03254680147358919,0.07801153726799963,0.37765612281196337,130
burrito,-0.04974050407123356,-0.08278007345963938,0.06437680913510098,500
butter_chicken,0.013497576941045879,0.026630801541045395,0.5524467184992061,500
ca_phe_sua_da,0.023404021018157615,0.056302917138980536,0.20881970305980424,500
caesar_salad,0.017442318328512667,0.02844683995960891,0.5256716751816347,500
caprese,0.048722794766165395,0.08531364536418654,0.05660179663728466,500
ceviche,0.0156716983117468,0.03319573233986324,0.45892057947933496,500
chana_masala,0.02275800295553885,0.042544761714415014,0.3424280731707944,500
char_siu,-0.0169919406519182,-0.03313563100481518,0.45973469141852974,500
cheesecake,-0.007074058743206918,-0.016101154716860345,0.7194791919316468,500
chicken_salad,-0.046709349629964196,-0.0843173838544018,0.05956075153686107,500
chicken_sandwich,0.023751373676638408,0.035723095540402046,0.4254232475067592,500
chile_relleno,-0.0007318716161759808,-0.001226207427330614,0.978180405388233,500
chow_fun,-0.009102419436295694,-0.021134991736765824,0.6373104188985075,500
chow_mein,0.0024623012435075115,0.0035855235233890584,0.9362576702045933,500
churro,-0.010552048890364726,-0.021683953230869975,0.628590811852407,500
clam_chowder,-0.0135004778654056,-0.024388884605775877,0.5863946659686436,500
club_sandwich,-0.00506307827624264,-0.008688145081585507,0.8463401248417635,500
coleslaw,0.009773041595143202,0.015591194790511775,0.7280067061814022,500
com_tam,-0.019073119206023507,-0.03758479699184059,0.40168568988661746,500
congee,0.0006136534405061295,0.0012100688160699119,0.97846751190657,500
coq_au_vin,-0.04893939927388673,-0.10808630360161538,0.02884291882539126,409
cornbread,-0.020717189045654123,-0.03700707635428284,0.40896571839280527,500
creme_brulee,0.022348742280334667,0.05671820702071885,0.2054763006007524,500
crepe,0.00990936567640622,0.01926207539262382,0.6674321134932646,500
croissant,-0.01201723770736627,-0.025330933385148108,0.5720126204388376,500
dal,0.013106215037285275,0.022878783686114325,0.6097912004311581,500
dan_dan_noodles,0.038915773278919506,0.07724840150302278,0.08442251812157966,500
dim_sum,-0.0032510885083852003,-0.006461563692470236,0.8854018958840557,500
dolma,-0.020913367609076822,-0.048436942839227434,0.2796941205639829,500
donburi,-0.09156513581735184,-0.14419833203329124,0.001224051421145789,500
dosa,-0.020972154538860675,-0.03798711878190131,0.39666202090692826,500
dumplings,0.0165424286136962,0.03134876924067269,0.48430381734747774,500
edamame,0.005570716985768884,0.011835687152049428,0.7917792558318149,500
elote,-0.010014339225032932,-0.018029943889666927,0.6875475643672952,500
enchilada,0.00954607836320903,0.015718479808282546,0.7258750608714817,500
escargot,-0.016102630750864287,-0.033851949783984724,0.4500842760276822,500
fajita,-0.027553120192528743,-0.042972395695279136,0.337594015241101,500
falafel,0.040541890695628004,0.09676491645703858,0.03051098793387476,500
fish_and_chips,0.003669617794918438,0.006064308076135846,0.8924032271417595,500
french_fries,0.02866601067367341,0.04038738886153919,0.36748365207236644,500
french_onion_soup,0.014233579356785552,0.02607426048244019,0.5607837169255465,500
fresh_spring_roll,0.024099688028661016,0.05261713010870414,0.24022536480771411,500
fried_chicken,0.006239503346241166,0.010754228413214186,0.8104256718697112,500
fried_rice,-0.012904369565613217,-0.018098770753164767,0.6864179180082034,500
gazpacho,0.006919899291784725,0.017922107738558,0.689318863235539,500
gelato,0.010589006021815886,0.03297355358956264,0.4619341490502141,500
general_tso,-0.004522216485171101,-0.007008543175944118,0.8757764820094487,500
gnocchi,-0.011375841058432147,-0.02360101687522388,0.5985497001033149,500
green_curry,-0.004938270420957207,-0.010106608131699281,0.8216441858644942,500
grilled_cheese,0.005819876997362743,0.01179371231803083,0.7925008456570911,500
guacamole,-0.01988693574398578,-0.03445640224072935,0.44203076268298935,500
gyro,0.017532670182345632,0.033878175091830214,0.44973314782001683,500
hamburger,-0.018563133125033264,-0.030346326096487266,0.4983919646574777,500
hot_and_sour_soup,-0.015467939159970003,-0.026070278697589166,0.5608435822977296,500
hummus,-0.010328821843909663,-0.02350566310417093,0.600028493571194,500
ice_cream,-0.015080496331991709,-0.03411588031627845,0.44655760495510244,500
japchae,0.019289271235881138,0.03687592086308281,0.4106292860502144,500
katsu,0.049397184314697556,0.0897489218169825,0.04486974915478044,500
kebab,0.021418777023868126,0.043008661431094386,0.3371860810119145,500
kimbap,0.052529930454496734,0.11185819287107283,0.02640252743404772,394
kimchi,-8.777664916061632e-05,-0.0001774342562469041,0.9968422841006817,500
kimchi_jjigae,0.03559945507929026,0.06600192803407878,0.32761810430665006,222
korean_fried_chicken,-0.0985466490841966,-0.14261983449480825,0.0013864641605172325,500
korma,0.026841224678854237,0.05628671680061239,0.20895092005701724,500
kung_pao_chicken,-0.0004619901707694909,-0.0007348847550213609,0.9869221436312905,500
larb,0.01097075574735283,0.020404208409498224,0.648995995602138,500
lasagna,0.032178011840105984,0.055316620348228686,0.2169172491713747,500
lo_mein,-0.05243170048147265,-0.07434716227638857,0.09679561966110875,500
lobster_roll,-0.013420375465208826,-0.02620489836057165,0.5588213141938589,500
mac_and_cheese,-0.014151708805190986,-0.022240099543070428,0.6198094536098104,500
mango_sticky_rice,0.017343955530723196,0.038032519494767415,0.3960974995004378,500
mapo_tofu,0.06759585009719432,0.11783789810681669,0.008351087727260354,500
massaman_curry,0.015247828901147837,0.032062159954350515,0.4744105810070979,500
minestrone,-0.0014516819355593668,-0.002334902248587281,0.9584654294473662,500
miso_soup,0.022252513583287527,0.04128961682975567,0.35686979809349917,500
moussaka,-0.010384065895338409,-0.020871838428628484,0.6415082137403504,500
naan,0.017242563383281683,0.03680509804680225,0.4115292618709231,500
nachos,-0.013496524116684798,-0.021048156957469224,0.638694325039509,500
okonomiyaki,-0.008950448220993234,-0.019564749036535715,0.7049451969845097,377
onigiri,-0.005689416151696789,-0.010568288533939625,0.8136427844117493,500
orange_chicken,-0.00261115775515997,-0.003718150927112193,0.9339051494141613,500
osso_buco,-0.012691939418358776,-0.025059028843317194,0.5761465326443758,500
pad_see_ew,0.05634931283042006,0.09739524799766038,0.029439382555974218,500
pad_thai,0.010332680199173843,0.016849107641067413,0.7070349544634457,500
paella,0.025790373538411532,0.05131391915537657,0.2520861876019168,500
palak_paneer,0.04367190493841572,0.09628450879381663,0.031349984736436805,500
pancake,-0.02449820992190172,-0.04875488161741893,0.2765461738144981,500
paneer_tikka,0.014567622031351552,0.02512090552010613,0.5752045534532468,500
panna_cotta,0.024930732801740057,0.07878987749477714,0.0783870014135475,500
papaya_salad,-0.021298502985569356,-0.04035216879183672,0.3679019202217233,500
pasta_bolognese,-0.025283756041059396,-0.0483275676691813,0.28078264803806297,500
pasta_carbonara,0.039485546228637314,0.06901381301458402,0.12327509691011473,500
patatas_bravas,0.020935480283196167,0.055772807718830655,0.21314435953940175,500
peking_duck,0.02251056984047673,0.049957542394435776,0.2648568563729862,500
penne_arrabbiata,0.042105374185717,0.09790370531884417,0.17556330291516273,193
pho,0.002655428372864179,0.004870919050819906,0.9134839884558632,500
pita,0.04009128346519093,0.07790769207279405,0.08179675209566915,500
pizza,-0.023948740438156518,-0.03954560841826738,0.3775612529018436,500
pizza_margherita,0.0029736275164955798,0.005930060110194792,0.8947711658494101,500
pozole,0.011899782681101848,0.024610724070770664,0.5829928807535205,500
pulled_pork,-0.0589792974561916,-0.10157256669643164,0.023121305376025577,500
quesadilla,-0.06740658145590858,-0.1084882272233159,0.015225687901344542,500
quiche,0.01797119412441934,0.03657638725002406,0.4144435459596668,500
raita,0.00020352613579103045,0.00038060471629240564,0.9932266162956964,500
ramen,0.03789544414377347,0.04981888987082407,0.26618691395572397,500
ratatouille,-0.01575677397857012,-0.03545593880845528,0.42889537333308636,500
ravioli,0.029801623318195625,0.06359846841420715,0.1556125021417991,500
red_curry,0.034275647516825984,0.07164424270881758,0.10958505555783427,500
ribs,-0.02230164421442628,-0.03977287191853414,0.37482391440705376,500
risotto,-0.0207894568780442,-0.04016470335540651,0.37013320093845314,500
samgyeopsal,0.040790942418716204,0.07908116683974563,0.07728679754050914,500
samosa,0.00998329913901348,0.024248984040536638,0.5885446702341162,500
sashimi,0.022844291719014743,0.044683509440433075,0.31869122657132065,500
satay,-0.008952278169584077,-0.017295886472817292,0.6996383841578404,500
scallion_pancake,0.00013716565831901092,0.00026132495991074503,0.9953493339595525,500
shawarma,0.04052470827954572,0.0667274513102068,0.13622483937697935,500
souffle,-0.012677438087897522,-0.03520626692673114,0.4321550564080845,500
soup,0.0025354464414971164,0.004040319529680639,0.9281930179432378,500
spanakopita,-0.004756279750170587,-0.010783626022531249,0.8099173281461014,500
spring_rolls,0.0015338744304153372,0.0026576744889819145,0.9527300679433084,500
steak,-0.022593893619228863,-0.03715983035143878,0.4070332463541009,500
sundubu_jjigae,0.049525849418473454,0.11687934811688525,0.05073462406837421,280
sushi,0.00849944904100259,0.016558084673609245,0.7118678603234623,500
sweet_and_sour,0.023270552948969927,0.032421074452453666,0.4694753534476682,500
tabbouleh,0.0025691358369086524,0.005841124029245247,0.8963403851607056,500
taco,-0.038177808654051945,-0.0658034523265994,0.14174601042093263,500
takoyaki,0.030568263518584233,0.05873924112487171,0.1897583287886769,500
tamale,0.04117664213746919,0.08344266569164975,0.06226313101437253,500
