var1,var2,pearson_r,spearman_rho,p_pearson,p_spearman,n
H_text,E,0.1272367829915075,0.16533861610645925,4.41749154218667e-10,4.3028863620963264e-16,2387
H_chem,E,0.5655894341274311,0.6064523796072432,6.454162118896504e-202,9.156493478105622e-240,2387
H_text,H_chem,0.18632758295064833,0.23424421016593874,4.346241093544466e-20,4.110381058283198e-31,2387
H_text,log_E,0.13470721058009014,0.16533861610645925,3.8935510888256704e-11,4.3028863620963264e-16,2387
H_chem,log_E,0.5702200583282745,0.6064523796072432,6.104880898310286e-206,9.156493478105622e-240,2387
fat_g,E,0.4514071752740598,0.610213587826672,3.5265082834605836e-120,,2387
protein_g,E,0.6324718052228752,0.6007976182459207,6.9093127877418015e-267,,2387
calorie_kcal,E,0.3888696488338368,0.5442997579133813,5.137766839670431e-87,,2387
umami_score,E,0.41693805270661327,0.3717239265836131,4.930620558069129e-101,,2387
sodium_mg,E,0.23269969053809525,0.27275960893960616,1.0274364951143917e-30,,2387
sugar_g,E,0.009531613804220707,0.02810108596868675,0.6416077496485172,,2387
spice_count,E,0.24349936347255013,0.2087961649742259,1.4748196330000237e-33,,2387
fat_g,H_text,0.14573829356893264,0.21543038123211788,8.377820230808659e-13,,2387
protein_g,H_text,0.14358803420827856,0.22497000502404255,1.8131531085895275e-12,,2387
calorie_kcal,H_text,0.08902894829133522,0.12034803905931077,1.3242743130756953e-05,,2387
umami_score,H_text,0.16618312077967518,0.24215579973653845,3.0375075769559423e-16,,2387
sodium_mg,H_text,-0.06455800915630439,-0.05439398955863172,0.0016008793838116083,,2387
sugar_g,H_text,-0.010854831854835096,-0.01366520062717487,0.5960622666735063,,2387
spice_count,H_text,0.209577710407485,0.2352684784904212,4.224534196193331e-25,,2387
