dish_id,category_recipe,H_mean,E_composite,log_DEI,within_rank,n_in_category,protein_g,calorie_kcal
ca_phe_sua_da,Beverage,9.6366,0.0363340634140795,5.580567940972262,1,4,1.995,114.15
coquito,Beverage,4.3571,0.0536235508357889,4.3975736245844494,4,4,9.283,451.53
halo_halo,Beverage,3.2587,0.0321684610849158,4.618097118679327,3,4,6.085000000000001,330.0
thai_iced_tea,Beverage,5.6406,0.0243759548418201,5.444148532698144,2,4,2.64,165.0
borek,Dairy Main,4.6633,0.2701911221855115,2.8483490624730123,13,14,28.12,728.5
caprese,Dairy Main,4.8561,0.1118488797934876,3.7708422529791914,1,14,23.640000000000004,455.35
escargot,Dairy Main,8.1233,0.22905787543792,3.568517051743843,4,14,4.02,477.05000000000007
fondue,Dairy Main,2.798,0.2317808476658305,2.490867852125807,14,14,44.75,858.0
halloumi,Dairy Main,8.4884,0.2737251146473554,3.4343314329361188,7,14,37.5,692.9
mac_and_cheese,Dairy Main,6.1067,0.3013898684318615,3.0087371374566847,12,14,37.48,934.2
malai_kofta,Dairy Main,8.1087,0.3646055679806885,3.1018767047243108,10,14,30.86,874.1000000000001
palak_paneer,Dairy Main,7.4454,0.2075051881169707,3.5801953286770924,3,14,32.862,726.0400000000001
paneer_butter,Dairy Main,8.4548,0.25735879951274,3.492018388113342,6,14,39.690000000000005,983.85
paneer_tikka,Dairy Main,8.7381,0.2850173554547919,3.422897978965171,8,14,43.622,773.09
quesadilla,Dairy Main,7.8093,0.2259953170821839,3.5425563319533504,5,14,41.505,677.4000000000001
raclette,Dairy Main,5.2167,0.2387250995474016,3.084307618223822,11,14,32.22,568.5999999999999
saganaki,Dairy Main,8.1087,0.2233837961242186,3.591801487341321,2,14,26.61,637.3000000000001
tiropita,Dairy Main,7.4181,0.2824712241123217,3.268101554832287,9,14,29.96,727.1
baklava,Dessert,7.628,0.28131109410514,3.3001198133063427,11,23,15.54,1113.1999999999998
brownie,Dessert,3.8751,0.3645830754384144,2.363572306271536,23,23,15.31,1135.4
cannoli,Dessert,4.6633,0.2979839265015034,2.750439083866755,21,23,7.439999999999999,766.8
cheesecake,Dessert,6.6002,0.4162269009143125,2.763624684129798,19,23,50.43000000000001,1591.8
churro,Dessert,9.4826,0.3234748223106578,3.3780925373617268,10,23,13.435,1020.55
churros_mexican,Dessert,5.9359,0.2804111037345016,3.052517184343981,17,23,11.915,872.65
churros_spanish,Dessert,8.4772,0.3234748223106578,3.266014203694541,13,23,13.435,1020.55
creme_brulee,Dessert,9.1606,0.2801526093771747,3.4873324695240537,6,23,10.712,759.1199999999999
dan_tat,Dessert,7.5688,0.2439112050491028,3.43498556806289,8,23,13.579999999999998,626.6
eclair,Dessert,3.2587,0.281867411612305,2.447646833038295,22,23,13.14,713.9000000000001
galaktoboureko,Dessert,8.1087,0.258852796943443,3.4444332897729004,7,23,17.52,751.3
gelato,Dessert,8.9939,0.0648149325917145,4.932765830704492,1,23,8.73,520.6
gulab_jamun,Dessert,6.5556,0.2775554568444898,3.162054167484784,15,23,7.435,723.1499999999999
ice_cream,Dessert,6.2072,0.0838113240686453,4.304897057137147,3,23,8.94,699.1999999999999
jalebi,Dessert,5.7087,0.2667636352741989,3.063383600796201,16,23,10.0,800.4000000000001
kunefe,Dessert,8.4548,0.284870239117631,3.3904558311648048,9,23,26.27,872.0000000000001
loukoumades,Dessert,7.0959,0.269907763552017,3.269192147283504,12,23,10.58,811.6000000000001
macarons,Dessert,7.2606,0.3030896685319408,3.17618905155406,14,23,17.939999999999998,780.1999999999999
mango_sticky_rice,Dessert,8.5646,0.1575942646055001,3.995368923310236,5,23,6.77,528.4
panna_cotta,Dessert,7.8093,0.0769170517835727,4.620343018496323,2,23,4.8,664.1
pasteis_de_nata,Dessert,5.2167,0.2510483708520002,3.033974663933259,18,23,12.74,720.0
profiterole,Dessert,4.3571,0.277099260390222,2.755186194668694,20,23,12.97,721.1
tiramisu,Dessert,7.9892,0.1078809838214075,4.304817290770716,4,23,10.765,625.85
eggs_benedict,Egg Dish,5.9359,0.1708245348553931,3.5481370206115197,2,6,33.035000000000004,663.25
quiche,Egg Dish,6.3562,0.3547504593313247,2.8857713826503755,5,6,47.85,1270.4
shakshuka,Egg Dish,8.6612,0.1566349541233384,4.0126905950292615,1,6,15.644000000000002,347.7
souffle,Egg Dish,5.7318,0.2974611158696626,2.9585013830198266,4,6,31.76,637.5999999999999
tamagoyaki,Egg Dish,4.9488,0.1557918010710155,3.458379894583536,3,6,15.385,237.8
tortilla_espanola,Egg Dish,3.2587,0.1919485336685301,2.8318563395383203,6,6,17.040000000000003,578.2
aloo_gobi,Mixed/Other,8.5603,0.1261275381026411,4.217596913071585,8,62,5.971,275.81
baba_ganoush,Mixed/Other,7.3074,0.2283327510889237,3.465838812705772,26,62,6.065,309.00000000000006
banh_xeo,Mixed/Other,5.2167,0.1938191426312755,3.2926948272902345,37,62,27.588,521.94
budae_jjigae,Mixed/Other,8.2292,0.1505586489631374,4.001091381214948,14,62,23.87,452.55
caesar_salad,Mixed/Other,2.7919,0.0525168062162769,3.9733444098460335,15,62,13.96,337.35
causa,Mixed/Other,5.2167,0.0402119664414746,4.86545567305338,5,62,19.21,440.0
chilaquiles,Mixed/Other,3.6628,0.1701742379834779,3.069160319750176,47,62,22.8,490.8
chile_relleno,Mixed/Other,7.5825,0.3181617528849141,3.1710383292338147,43,62,23.89,594.3
chimichurri,Mixed/Other,2.798,0.0501501265330493,4.021639117728954,13,62,1.87,392.2000000000001
club_sandwich,Mixed/Other,4.8287,0.0745333152011155,4.171086349944055,9,62,37.540000000000006,592.1999999999999
cobb_salad,Mixed/Other,2.798,0.0988467138988748,3.3430898494706804,34,62,43.43,524.8
crepe,Mixed/Other,8.3893,0.1703383946222554,3.896925348203504,16,62,15.735,497.15
croissant,Mixed/Other,6.8396,0.2528773599570321,3.297579901425747,36,62,12.05,807.0
croquetas,Mixed/Other,4.9488,0.3068093693849809,2.780673793839537,55,62,23.68,730.6
dim_sum,Mixed/Other,4.1359,0.1486246479702183,3.326036251515292,35,62,33.730000000000004,415.9
eggplant_parm,Mixed/Other,5.9359,0.2847714296386164,3.037087081118562,49,62,23.82,607.5
french_fries,Mixed/Other,4.4255,0.247277363637544,2.884627909088265,52,62,4.0,419.2
fresh_spring_roll,Mixed/Other,7.1621,0.0531295222848464,4.90382576405775,3,62,19.890000000000004,315.3
fufu,Mixed/Other,4.0401,0.0927179836270745,3.7744622712329328,17,62,4.0,215.0
gnocchi,Mixed/Other,8.9517,0.1493656341086219,4.093201517173916,11,62,21.075,601.2499999999999
