dish_id,functional_category,H_mean,E_composite,is_pareto,log_DEI
croissant,Bread/Pastry,7.299,0.2528773599570321,True,3.3625880035029416
naan,Bread/Pastry,7.203,0.2138116130018896,False,3.517157570645899
pancake,Bread/Pastry,7.162,0.1740145033925502,True,3.717405901986755
pita,Bread/Pastry,7.042,0.2214726334827755,False,3.4593484687306755
waffle,Bread/Pastry,7.266,0.1785825277098203,True,3.705910378296673
baklava,Dessert,7.48,0.28131109410514,False,3.280526917554556
brownie,Dessert,7.362,0.3645830754384144,False,3.0053324723044224
cheesecake,Dessert,7.268,0.4162269009143125,False,2.860005883060168
churro,Dessert,7.396,0.3234748223106578,False,3.1295733106191377
churros_spanish,Dessert,7.323,0.3234748223106578,False,3.119654077173192
creme_brulee,Dessert,7.324,0.2801526093771747,False,3.263577417612048
gelato,Dessert,7.564,0.0648149325917145,True,4.759619411737459
mango_sticky_rice,Dessert,7.382,0.1575942646055001,False,3.846776098925454
panna_cotta,Dessert,7.57,0.0769170517835727,True,4.589220754792154
souffle,Dessert,7.419,0.2974611158696626,False,3.2165160427053348
tiramisu,Dessert,7.448,0.1078809838214075,False,4.234672201136602
bibimbap,Noodle/Rice Dish,7.176,0.4103771234250521,False,2.861420853577409
biryani,Noodle/Rice Dish,6.789,0.3345396378994281,False,3.010303562801858
bun_bo_hue,Noodle/Rice Dish,6.883,0.4268114422342925,False,2.780467553971432
chow_fun,Noodle/Rice Dish,7.171,0.372484261208624,False,2.957605608744521
chow_mein,Noodle/Rice Dish,6.051,0.19426553805153,False,3.438752850604325
dan_dan_noodles,Noodle/Rice Dish,7.243,0.1768632843021446,True,3.712413735152621
donburi,Noodle/Rice Dish,6.081,0.2347841626076021,False,3.254257800004935
fried_rice,Noodle/Rice Dish,6.66,0.2050187887838639,False,3.480773135991656
japchae,Noodle/Rice Dish,7.318,0.2850385521038225,True,3.245467903919008
lasagna,Noodle/Rice Dish,6.885,0.5943961798471784,False,2.449554344685682
lo_mein,Noodle/Rice Dish,6.505,0.1958151798842702,False,3.5031551363564706
mac_and_cheese,Noodle/Rice Dish,6.986,0.3013898684318615,False,3.143258754763064
pad_see_ew,Noodle/Rice Dish,6.887,0.2391870645940731,False,3.360144912714453
pad_thai,Noodle/Rice Dish,6.777,0.2390955383002528,False,3.344426591238025
paella,Noodle/Rice Dish,7.111,0.2576096497632017,False,3.317952706094061
pasta_bolognese,Noodle/Rice Dish,7.058,0.3871269799507092,False,2.9031642514551943
pasta_carbonara,Noodle/Rice Dish,7.116,0.20538029673412,False,3.545237682211284
pho,Noodle/Rice Dish,6.974,0.395002904915845,False,2.8710511081441874
ramen,Noodle/Rice Dish,6.942,0.1942964691225439,False,3.5759600125012225
risotto,Noodle/Rice Dish,7.082,0.1798937436216193,False,3.672945269298309
bun_cha,Other,7.232,0.2664993860833531,False,3.3008989620959595
chana_masala,Other,7.131,0.1795333304373007,False,3.681845880449806
chicken_salad,Other,6.953,0.0681619356522414,False,4.625042219327415
chicken_sandwich,Other,6.743,0.2305453291832126,False,3.375812709739652
club_sandwich,Other,6.95,0.0745333152011155,False,4.535250729222659
com_tam,Other,6.941,0.2925279261245002,False,3.166640999295103
congee,Other,6.984,0.1429436030199488,False,3.888926929525424
cornbread,Other,6.978,0.2367189718162237,False,3.3836439571238817
dal,Other,6.929,0.1513163041255206,False,3.824098406390801
dim_sum,Other,6.977,0.1486246479702183,False,3.848950317508264
dolma,Other,7.407,0.1463439103506557,True,3.924221375917714
dosa,Other,6.872,0.1613769949862088,False,3.751467252149477
escargot,Other,7.185,0.22905787543792,False,3.445776095720072
french_fries,Other,6.585,0.247277363637544,False,3.2820389778567147
fresh_spring_roll,Other,7.119,0.0531295222848464,True,4.897789796120436
gnocchi,Other,7.211,0.1493656341086219,False,3.876965696724799
grilled_cheese,Other,7.194,0.1882054209607936,False,3.643468593264111
guacamole,Other,6.93,0.0347126588909858,True,5.29651066221946
ice_cream,Other,7.338,0.0838113240686453,True,4.472253474472635
