category,n_dishes,H_cv_pct,E_cv_pct,H_contribution_pct,mean_logDEI
Poultry Main,156,18.278783627269473,31.055370027009488,37.176053324420224,3.1309780100181976
Starch/Carb,714,10.385151158090473,30.102710927911307,9.63778715736366,3.3679966610359995
Red Meat Main,308,9.118406997793436,26.80222920568384,9.50768095101797,2.539486597917318
Mixed/Other,88,18.824046729973116,45.02658283754308,8.419319845112511,3.537901440128032
Beverage,6,20.19157913793987,78.62644756970104,7.5503111582048685,4.581482825775583
Soup/Stew,58,11.276444575099935,45.76423550827042,7.487600058853411,3.3475088323719886
Plant Protein,119,9.222404454742533,36.994964036336306,6.560602405896514,3.488758888556157
Pork Main,193,10.72616948777485,31.97072277034812,6.33060302246634,3.085742301267442
Dairy Main,72,9.381151271114382,26.323072049601002,3.483028467889112,3.1903237801967936
Seafood Main,132,10.095101272304225,37.397942625819304,3.182066660147783,3.388176110243336
Dessert,566,7.75156598191077,33.65601867475769,1.1927276013694077,3.264827359155421
Salad/Cold,65,12.181478158049442,59.10670154995361,-0.4185896033962042,3.9093816207456284
Egg Dish,86,7.732404675548055,43.89175259156461,-1.6851439910256898,3.4207013685535714
