family,dish_1,dish_2,H_1,H_2,H_diff,n_1,n_2,t_stat,p_value,cohens_d,effect_category,significant_005,significant_bonf
Beef,beef_bourguignon,brisket,7.34375483538974,7.046026602268219,0.2977282331215214,402,500,2.883826647738759,0.004022415268086257,0.1910203510870603,negligible,True,False
Beef,beef_bourguignon,bulgogi,7.34375483538974,7.375190054893493,0.031435219503753054,402,500,0.350336024213761,0.7261760762392955,0.02357858124070006,negligible,False,False
Beef,beef_bourguignon,hamburger,7.34375483538974,6.7116592979431156,0.6320955374466246,402,500,5.684530542871969,1.7787715227224898e-08,0.3740432336845356,small,True,True
Beef,beef_bourguignon,osso_buco,7.34375483538974,7.166162472009659,0.17759236338008133,402,500,1.7878507419980791,0.07413875777643363,0.11888750457056316,negligible,False,False
Beef,beef_bourguignon,steak,7.34375483538974,6.761370492219925,0.5823843431698155,402,500,5.317882127213086,1.3275748558765242e-07,0.3503647200022427,small,True,True
Beef,brisket,bulgogi,7.046026602268219,7.375190054893493,0.32916345262527447,500,500,3.4499479448330117,0.0005861051385326741,0.21819386629378487,small,True,True
Beef,brisket,hamburger,7.046026602268219,6.7116592979431156,0.3343673043251032,500,500,2.8867142454258166,0.003978186411395434,0.1825718393919976,negligible,True,False
Beef,brisket,osso_buco,7.046026602268219,7.166162472009659,0.12013586974144008,500,500,1.1496884909106673,0.2505490749061181,0.07271268461918999,negligible,False,False
Beef,brisket,steak,7.046026602268219,6.761370492219925,0.28465611004829405,500,500,2.4922489281017417,0.012856693625684945,0.15762366217829452,negligible,True,False
Beef,bulgogi,hamburger,7.375190054893493,6.7116592979431156,0.6635307569503777,500,500,6.382128514535625,2.8506352465695676e-10,0.4036412485167922,small,True,True
Beef,bulgogi,osso_buco,7.375190054893493,7.166162472009659,0.20902758288383438,500,500,2.2927648937911025,0.02207874325911154,0.14500718407307858,negligible,True,False
Beef,bulgogi,steak,7.375190054893493,6.761370492219925,0.6138195626735685,500,500,6.0080192951199285,2.7544453746279026e-09,0.37998050397636646,small,True,True
Beef,hamburger,osso_buco,6.7116592979431156,7.166162472009659,0.4545031740665433,500,500,4.045040125070524,5.651180143182375e-05,0.25583080043990447,small,True,True
Beef,hamburger,steak,6.7116592979431156,6.761370492219925,0.049711194276809145,500,500,0.40929779488678497,0.6824090135117944,0.02588626546253319,negligible,False,False
